Plant,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Arkansas Nuclear One,73.5,91.4,87.6,84.0,80.8,79.6,85.4,94.9,85.5,88.6
Beaver Valley,92.0,91.9,91.8,95.8,96.6,92.5,97.6,96.9,90.8,93.2
Braidwood Generation Station,96.4,99.2,96.2,96.8,97.4,94.5,99.0,99.2,95.1,98.5
Browns Ferry,92.2,92.2,95.5,90.2,96.0,80.8,89.3,86.8,96.8,91.5
Byron Generating Station,96.9,95.6,96.6,96.9,95.0,99.6,99.8,96.6,99.2,97.9
Callaway,80.3,88.8,100.2,90.2,79.7,102.2,88.2,70.7,39.3,85.1
Calvert Cliffs Nuclear Power Plant,94.8,96.0,97.8,98.4,100.9,99.2,100.3,99.5,100.2,99.0
Catawba,96.9,93.2,91.6,97.2,97.4,92.8,96.8,95.4,91.8,93.6
Clinton Power Station,87.8,97.2,92.9,95.3,89.5,89.5,89.6,101.1,89.5,100.3
Columbia Generating Station,85.3,95.4,80.4,94.6,78.8,95.3,87.0,93.2,84.4,97.7
Comanche Peak,97.4,88.6,94.9,96.7,80.8,97.5,91.8,92.4,92.0,93.6
Davis Besse,98.1,74.4,100.8,81.4,100.6,94.2,100.1,92.0,99.3,82.9
Diablo Canyon,91.8,86.6,94.3,96.1,91.2,92.8,82.4,82.6,83.9,89.6
Donald C Cook,89.8,97.2,86.6,84.8,91.6,93.2,84.6,95.4,94.8,87.0
Dresden Generating Station,100.6,97.1,96.5,97.8,98.2,98.7,95.8,98.0,95.0,97.9
Edwin I Hatch,89.8,94.2,94.1,94.6,94.3,93.4,90.4,90.4,92.0,94.5
Fermi,69.4,79.1,74.5,92.6,87.0,74.2,98.9,60.6,93.7,66.7
Grand Gulf,87.4,83.1,95.5,47.9,60.0,56.4,89.9,52.6,95.9,70.1
H B Robinson,87.7,86.2,88.2,98.8,91.3,81.3,98.2,91.9,96.7,85.6
Harris,84.7,99.0,89.5,92.2,101.0,89.9,90.1,97.7,94.6,92.4
James A Fitzpatrick,92.0,78.1,100.7,79.9,82.6,87.9,99.0,88.4,99.1,90.8
Joseph M Farley,92.8,94.3,92.8,88.6,96.5,91.6,92.2,95.1,95.4,82.8
LaSalle Generating Station,94.0,94.2,93.9,94.1,95.1,97.5,98.0,99.0,93.3,96.9
Limerick,97.2,97.2,96.4,98.4,94.5,98.4,98.5,98.2,98.4,97.6
McGuire,95.6,87.4,96.3,97.8,92.6,97.9,96.6,93.6,96.9,95.9
Millstone,93.7,84.8,94.3,91.4,90.1,91.4,92.8,86.8,93.3,90.6
Nine Mile Point Nuclear Station,99.2,91.8,93.3,92.8,93.8,92.8,91.8,100.1,95.8,93.2
North Anna,90.8,95.8,98.2,91.0,97.3,96.8,92.4,95.1,92.8,86.0
Oconee,94.6,94.7,98.1,94.4,97.4,95.2,97.8,96.0,99.3,94.4
PSEG Hope Creek Generating Station,88.2,101.0,91.6,93.3,103.5,93.0,85.0,102.9,88.4,89.6
PSEG Salem Generating Station,94.3,79.8,91.2,76.8,88.2,92.6,89.2,80.5,95.2,95.6
Palo Verde,91.1,93.7,94.3,93.6,93.8,90.2,92.5,91.3,91.7,92.6
Peach Bottom,95.6,95.6,96.4,106.5,101.2,101.0,99.8,97.2,99.8,99.3
Perry,76.7,96.3,87.3,95.7,90.3,100.7,84.4,100.9,89.3,95.1
Point Beach Nuclear Plant,96.1,90.4,95.6,96.6,92.4,96.7,95.3,92.9,95.4,96.2
Prairie Island,84.6,92.0,81.0,90.4,96.0,98.6,100.4,99.4,99.9,100.4
Quad Cities Generating Station,97.6,96.6,97.6,98.0,96.6,97.1,97.2,98.4,98.8,94.9
R E Ginna Nuclear Power Plant,98.1,91.5,94.2,99.2,92.1,92.0,98.2,84.8,93.1,99.1
River Bend,88.8,96.1,81.6,83.0,83.0,82.6,75.8,94.0,87.8,98.0
Seabrook,100.1,93.1,86.8,98.2,91.3,91.8,99.6,90.0,90.1,99.9
Sequoyah,92.9,94.6,82.8,86.3,91.4,88.8,90.6,95.4,88.4,94.4
South Texas Project,79.5,92.1,86.5,96.4,96.2,92.2,98.1,97.0,92.3,97.0
St Lucie,84.1,91.8,87.5,90.2,95.4,90.3,86.8,97.2,82.1,94.4
Surry,97.6,97.6,80.3,99.2,98.3,90.1,96.6,97.4,90.0,94.8
Turkey Point,77.6,85.8,92.8,97.4,90.5,94.8,97.3,84.7,93.4,97.4
V C Summer,98.4,81.3,83.7,101.5,81.3,86.6,97.0,90.6,76.5,100.4
Vogtle,94.6,89.6,95.9,98.2,95.1,99.0,97.6,93.3,98.1,96.8
Waterford 3,92.3,89.8,82.5,99.1,82.1,99.4,74.1,87.5,96.1,77.0
Watts Bar Nuclear Plant,101.3,89.2,85.9,62.6,69.0,93.9,89.8,89.2,89.8,85.4
Wolf Creek Generating Station,69.6,83.1,83.8,79.9,99.2,85.4,86.2,98.3,79.9,83.7
