LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
AK: FAIRBANKS,01/01/2023 00:19:00,40.00,1162.00,752.00,230.00,144.00,81.00,123.00,62.00,40.00,APPROVED
AK: FAIRBANKS,01/01/2023 01:20:00,41.00,1166.00,754.00,231.00,144.00,80.00,119.00,64.00,42.00,APPROVED
AK: FAIRBANKS,01/01/2023 02:20:00,41.00,1164.00,757.00,229.00,147.00,81.00,119.00,64.00,40.00,APPROVED
AK: FAIRBANKS,01/01/2023 03:20:00,42.00,1153.00,765.00,227.00,145.00,82.00,121.00,65.00,41.00,APPROVED
AK: FAIRBANKS,01/01/2023 04:20:00,42.00,1153.00,759.00,228.00,146.00,81.00,121.00,62.00,39.00,APPROVED
AK: FAIRBANKS,01/01/2023 05:20:00,40.00,1155.00,757.00,229.00,148.00,81.00,121.00,63.00,42.00,APPROVED
AK: FAIRBANKS,01/01/2023 06:21:00,40.00,1152.00,754.00,229.00,144.00,80.00,120.00,63.00,41.00,APPROVED
AK: FAIRBANKS,01/01/2023 07:21:00,38.00,1157.00,750.00,230.00,146.00,81.00,120.00,62.00,41.00,APPROVED
AK: FAIRBANKS,01/01/2023 08:21:00,40.00,1150.00,752.00,229.00,147.00,82.00,120.00,65.00,40.00,APPROVED
AK: FAIRBANKS,01/01/2023 09:21:00,40.00,1128.00,732.00,225.00,142.00,77.00,118.00,61.00,41.00,APPROVED
AK: FAIRBANKS,01/01/2023 10:21:00,40.00,1134.00,735.00,224.00,142.00,83.00,121.00,63.00,40.00,APPROVED
AK: FAIRBANKS,01/01/2023 11:22:00,41.00,1101.00,720.00,216.00,140.00,79.00,119.00,64.00,41.00,APPROVED
