LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
AK: JUNEAU,01/01/2023 00:56:00,38.00,1194.00,649.00,204.00,121.00,78.00,85.00,53.00,32.00,APPROVED
AK: JUNEAU,01/01/2023 02:01:00,35.00,1113.00,588.00,182.00,107.00,73.00,77.00,49.00,31.00,APPROVED
AK: JUNEAU,01/01/2023 03:02:00,37.00,1102.00,570.00,178.00,102.00,72.00,74.00,49.00,32.00,APPROVED
AK: JUNEAU,01/01/2023 04:06:00,34.00,1095.00,569.00,178.00,103.00,72.00,75.00,49.00,32.00,APPROVED
AK: JUNEAU,01/01/2023 05:12:00,36.00,1088.00,564.00,177.00,102.00,71.00,74.00,48.00,30.00,APPROVED
AK: JUNEAU,01/01/2023 06:18:00,36.00,1100.00,567.00,182.00,104.00,72.00,74.00,48.00,31.00,APPROVED
AK: JUNEAU,01/01/2023 07:25:00,37.00,1137.00,599.00,188.00,111.00,73.00,77.00,50.00,32.00,APPROVED
AK: JUNEAU,01/01/2023 08:31:00,37.00,1157.00,607.00,186.00,113.00,77.00,79.00,52.00,32.00,APPROVED
AK: JUNEAU,01/01/2023 09:37:00,38.00,1157.00,618.00,197.00,114.00,76.00,80.00,51.00,32.00,APPROVED
AK: JUNEAU,01/01/2023 10:43:00,36.00,1144.00,608.00,195.00,112.00,76.00,80.00,51.00,32.00,APPROVED
AK: JUNEAU,01/01/2023 11:49:00,34.00,1083.00,557.00,176.00,102.00,71.00,74.00,48.00,30.00,APPROVED
AK: JUNEAU,01/01/2023 12:52:00,34.00,1053.00,526.00,172.00,96.00,71.00,70.00,46.00,29.00,APPROVED
AK: JUNEAU,01/01/2023 13:58:00,35.00,1054.00,531.00,172.00,92.00,68.00,71.00,48.00,31.00,APPROVED
AK: JUNEAU,01/01/2023 15:03:00,35.00,1053.00,523.00,169.00,94.00,71.00,70.00,47.00,30.00,APPROVED
AK: JUNEAU,01/01/2023 16:09:00,33.00,1027.00,513.00,169.00,91.00,70.00,70.00,45.00,30.00,APPROVED
AK: JUNEAU,01/01/2023 17:14:00,35.00,1046.00,518.00,168.00,91.00,70.00,71.00,47.00,29.00,APPROVED
AK: JUNEAU,01/01/2023 18:20:00,34.00,1041.00,521.00,167.00,89.00,72.00,69.00,46.00,30.00,APPROVED
AK: JUNEAU,01/01/2023 19:23:00,35.00,1061.00,535.00,173.00,92.00,71.00,69.00,47.00,30.00,APPROVED
AK: JUNEAU,01/01/2023 20:26:00,36.00,1086.00,548.00,174.00,96.00,72.00,74.00,48.00,31.00,APPROVED
AK: JUNEAU,01/01/2023 21:33:00,36.00,1070.00,543.00,172.00,95.00,71.00,74.00,49.00,31.00,APPROVED
AK: JUNEAU,01/01/2023 22:39:00,36.00,1082.00,546.00,175.00,96.00,72.00,72.00,48.00,30.00,APPROVED
AK: JUNEAU,01/01/2023 23:45:00,36.00,1091.00,548.00,179.00,96.00,71.00,74.00,49.00,29.00,APPROVED
AK: JUNEAU,01/02/2023 00:51:00,36.00,1093.00,556.00,178.00,98.00,73.00,74.00,50.00,30.00,APPROVED
AK: JUNEAU,01/02/2023 01:56:00,38.00,1100.00,565.00,179.00,96.00,74.00,75.00,49.00,31.00,APPROVED
AK: JUNEAU,01/02/2023 02:59:00,35.00,1127.00,590.00,184.00,101.00,76.00,77.00,51.00,32.00,APPROVED
AK: JUNEAU,01/02/2023 04:06:00,36.00,1126.00,584.00,192.00,101.00,77.00,77.00,49.00,31.00,APPROVED
AK: JUNEAU,01/02/2023 05:11:00,37.00,1125.00,584.00,186.00,101.00,75.00,78.00,52.00,31.00,APPROVED
AK: JUNEAU,01/02/2023 06:11:00,37.00,1127.00,582.00,190.00,103.00,78.00,77.00,51.00,31.00,APPROVED
AK: JUNEAU,01/02/2023 07:18:00,37.00,1138.00,594.00,186.00,105.00,77.00,77.00,51.00,32.00,APPROVED
AK: JUNEAU,01/02/2023 08:22:00,37.00,1154.00,610.00,192.00,107.00,78.00,80.00,53.00,32.00,APPROVED
AK: JUNEAU,01/02/2023 09:26:00,39.00,1173.00,629.00,200.00,113.00,80.00,81.00,55.00,32.00,APPROVED
AK: JUNEAU,01/02/2023 10:30:00,37.00,1209.00,655.00,205.00,114.00,84.00,84.00,54.00,32.00,APPROVED
AK: JUNEAU,01/02/2023 11:32:00,40.00,1224.00,659.00,209.00,118.00,82.00,86.00,56.00,32.00,APPROVED
AK: JUNEAU,01/02/2023 12:38:00,40.00,1211.00,644.00,204.00,115.00,82.00,85.00,55.00,32.00,APPROVED
AK: JUNEAU,01/02/2023 13:43:00,38.00,1161.00,609.00,192.00,105.00,79.00,80.00,52.00,32.00,APPROVED
AK: JUNEAU,01/02/2023 14:46:00,38.00,1137.00,583.00,191.00,100.00,76.00,76.00,52.00,30.00,APPROVED
AK: JUNEAU,01/02/2023 15:50:00,36.00,1145.00,591.00,186.00,100.00,78.00,78.00,51.00,30.00,APPROVED
AK: JUNEAU,01/02/2023 16:56:00,40.00,1203.00,648.00,207.00,113.00,82.00,84.00,54.00,33.00,APPROVED
AK: JUNEAU,01/02/2023 18:02:00,39.00,1167.00,622.00,197.00,108.00,79.00,82.00,54.00,32.00,APPROVED
AK: JUNEAU,01/02/2023 19:07:00,38.00,1129.00,580.00,191.00,101.00,77.00,77.00,51.00,31.00,APPROVED
AK: JUNEAU,01/02/2023 20:11:00,36.00,1117.00,569.00,182.00,100.00,74.00,75.00,49.00,30.00,APPROVED
AK: JUNEAU,01/02/2023 21:17:00,36.00,1124.00,567.00,182.00,97.00,77.00,76.00,50.00,29.00,APPROVED
AK: JUNEAU,01/02/2023 22:23:00,39.00,1118.00,565.00,181.00,98.00,76.00,76.00,52.00,31.00,APPROVED
AK: JUNEAU,01/02/2023 23:29:00,37.00,1127.00,565.00,182.00,97.00,74.00,76.00,51.00,30.00,APPROVED
AK: JUNEAU,01/03/2023 00:35:00,37.00,1125.00,578.00,187.00,102.00,77.00,75.00,50.00,31.00,APPROVED
AK: JUNEAU,01/03/2023 01:41:00,37.00,1133.00,579.00,185.00,98.00,76.00,75.00,49.00,31.00,APPROVED
AK: JUNEAU,01/03/2023 02:48:00,37.00,1127.00,577.00,185.00,97.00,76.00,74.00,52.00,30.00,APPROVED
AK: JUNEAU,01/03/2023 03:49:00,37.00,1126.00,575.00,189.00,98.00,75.00,75.00,51.00,30.00,APPROVED
AK: JUNEAU,01/03/2023 04:52:00,36.00,1137.00,585.00,189.00,104.00,79.00,79.00,51.00,31.00,APPROVED
AK: JUNEAU,01/03/2023 05:58:00,39.00,1130.00,582.00,186.00,99.00,74.00,76.00,52.00,31.00,APPROVED
AK: JUNEAU,01/03/2023 07:03:00,37.00,1129.00,567.00,185.00,99.00,74.00,77.00,50.00,31.00,APPROVED
AK: JUNEAU,01/03/2023 08:05:00,34.00,1130.00,570.00,187.00,95.00,75.00,75.00,49.00,30.00,APPROVED
AK: JUNEAU,01/03/2023 09:11:00,37.00,1124.00,574.00,184.00,98.00,75.00,75.00,51.00,31.00,APPROVED
AK: JUNEAU,01/03/2023 10:13:00,38.00,1121.00,575.00,186.00,96.00,73.00,74.00,50.00,31.00,APPROVED
AK: JUNEAU,01/03/2023 11:18:00,37.00,1129.00,573.00,182.00,99.00,73.00,74.00,51.00,30.00,APPROVED
AK: JUNEAU,01/03/2023 12:24:00,36.00,1128.00,573.00,185.00,96.00,76.00,75.00,48.00,32.00,APPROVED
AK: JUNEAU,01/03/2023 13:29:00,37.00,1092.00,541.00,183.00,96.00,71.00,74.00,46.00,29.00,APPROVED
AK: JUNEAU,01/03/2023 14:32:00,35.00,1087.00,546.00,182.00,100.00,70.00,71.00,46.00,29.00,APPROVED
AK: JUNEAU,01/03/2023 15:37:00,38.00,1096.00,546.00,180.00,96.00,68.00,73.00,47.00,30.00,APPROVED
AK: JUNEAU,01/03/2023 16:41:00,36.00,1103.00,544.00,183.00,98.00,71.00,74.00,46.00,30.00,APPROVED
AK: JUNEAU,01/03/2023 17:45:00,38.00,1095.00,542.00,181.00,97.00,67.00,73.00,45.00,30.00,APPROVED
AK: JUNEAU,01/03/2023 18:48:00,37.00,1106.00,547.00,184.00,99.00,70.00,74.00,47.00,29.00,APPROVED
AK: JUNEAU,01/03/2023 19:53:00,36.00,1101.00,549.00,183.00,96.00,69.00,74.00,46.00,30.00,APPROVED
AK: JUNEAU,01/03/2023 20:57:00,38.00,1103.00,545.00,182.00,97.00,68.00,74.00,47.00,30.00,APPROVED
AK: JUNEAU,01/03/2023 22:00:00,37.00,1112.00,555.00,183.00,97.00,69.00,72.00,46.00,29.00,APPROVED
AK: JUNEAU,01/03/2023 23:05:00,37.00,1107.00,564.00,184.00,100.00,73.00,76.00,47.00,29.00,APPROVED
AK: JUNEAU,01/04/2023 00:11:00,37.00,1113.00,556.00,181.00,97.00,71.00,72.00,48.00,30.00,APPROVED
AK: JUNEAU,01/04/2023 01:15:00,36.00,1105.00,549.00,184.00,94.00,70.00,71.00,47.00,29.00,APPROVED
AK: JUNEAU,01/04/2023 02:20:00,35.00,1120.00,571.00,181.00,100.00,71.00,74.00,49.00,30.00,APPROVED
AK: JUNEAU,01/04/2023 03:25:00,35.00,1110.00,554.00,181.00,100.00,72.00,74.00,47.00,29.00,APPROVED
AK: JUNEAU,01/04/2023 04:31:00,36.00,1105.00,550.00,182.00,97.00,69.00,75.00,45.00,29.00,APPROVED
AK: JUNEAU,01/04/2023 05:36:00,36.00,1117.00,560.00,185.00,101.00,70.00,74.00,49.00,30.00,APPROVED
AK: JUNEAU,01/04/2023 06:40:00,37.00,1113.00,554.00,183.00,98.00,70.00,74.00,46.00,29.00,APPROVED
AK: JUNEAU,01/04/2023 07:45:00,35.00,1111.00,563.00,184.00,99.00,71.00,75.00,48.00,30.00,APPROVED
AK: JUNEAU,01/04/2023 08:50:00,36.00,1126.00,565.00,189.00,101.00,72.00,73.00,47.00,32.00,APPROVED
AK: JUNEAU,01/04/2023 09:56:00,35.00,1140.00,576.00,186.00,103.00,73.00,73.00,49.00,30.00,APPROVED
AK: JUNEAU,01/04/2023 11:01:00,36.00,1111.00,556.00,184.00,100.00,68.00,74.00,46.00,29.00,APPROVED
AK: JUNEAU,01/04/2023 12:06:00,35.00,1124.00,575.00,185.00,103.00,74.00,74.00,48.00,31.00,APPROVED
AK: JUNEAU,01/04/2023 13:11:00,34.00,1143.00,581.00,187.00,106.00,74.00,76.00,50.00,30.00,APPROVED
AK: JUNEAU,01/04/2023 22:05:00,38.00,1112.00,548.00,185.00,99.00,71.00,75.00,45.00,29.00,APPROVED
AK: JUNEAU,01/04/2023 23:11:00,38.00,1173.00,604.00,199.00,110.00,71.00,79.00,48.00,31.00,APPROVED
AK: JUNEAU,01/05/2023 00:17:00,38.00,1175.00,610.00,197.00,108.00,74.00,81.00,49.00,31.00,APPROVED
AK: JUNEAU,01/05/2023 01:21:00,36.00,1146.00,580.00,193.00,106.00,72.00,79.00,49.00,30.00,APPROVED
AK: JUNEAU,01/05/2023 02:26:00,39.00,1152.00,590.00,189.00,105.00,74.00,78.00,49.00,30.00,APPROVED
AK: JUNEAU,01/05/2023 03:32:00,36.00,1123.00,564.00,186.00,101.00,69.00,77.00,46.00,30.00,APPROVED
AK: JUNEAU,01/05/2023 04:36:00,36.00,1107.00,546.00,181.00,96.00,69.00,73.00,47.00,30.00,APPROVED
AK: JUNEAU,01/05/2023 05:42:00,35.00,1109.00,552.00,187.00,99.00,70.00,76.00,45.00,31.00,APPROVED
AK: JUNEAU,01/05/2023 06:49:00,35.00,1106.00,559.00,183.00,100.00,69.00,75.00,47.00,30.00,APPROVED
AK: JUNEAU,01/05/2023 07:55:00,36.00,1112.00,556.00,183.00,101.00,69.00,76.00,46.00,29.00,APPROVED
AK: JUNEAU,01/05/2023 09:00:00,36.00,1121.00,564.00,182.00,101.00,71.00,75.00,48.00,30.00,APPROVED
AK: JUNEAU,01/05/2023 10:05:00,37.00,1113.00,563.00,185.00,101.00,70.00,76.00,46.00,30.00,APPROVED
AK: JUNEAU,01/05/2023 11:11:00,37.00,1118.00,568.00,187.00,106.00,68.00,76.00,46.00,30.00,APPROVED
AK: JUNEAU,01/05/2023 12:14:00,38.00,1116.00,569.00,191.00,102.00,71.00,77.00,48.00,30.00,APPROVED
AK: JUNEAU,01/05/2023 13:19:00,34.00,1125.00,570.00,183.00,102.00,71.00,77.00,46.00,29.00,APPROVED
AK: JUNEAU,01/05/2023 14:24:00,38.00,1111.00,556.00,187.00,103.00,69.00,76.00,49.00,31.00,APPROVED
AK: JUNEAU,01/05/2023 15:30:00,36.00,1103.00,561.00,185.00,103.00,68.00,77.00,47.00,30.00,APPROVED
AK: JUNEAU,01/05/2023 16:35:00,37.00,1118.00,564.00,186.00,103.00,69.00,76.00,48.00,30.00,APPROVED
AK: JUNEAU,01/05/2023 17:40:00,38.00,1108.00,560.00,189.00,101.00,71.00,74.00,48.00,31.00,APPROVED
AK: JUNEAU,01/05/2023 18:46:00,37.00,1111.00,555.00,182.00,100.00,67.00,75.00,46.00,30.00,APPROVED
AK: JUNEAU,01/05/2023 19:51:00,38.00,1125.00,560.00,182.00,101.00,69.00,75.00,47.00,30.00,APPROVED
AK: JUNEAU,01/05/2023 20:54:00,37.00,1112.00,549.00,185.00,98.00,69.00,75.00,46.00,31.00,APPROVED
