LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
AR: FORT SMITH,01/01/2023 01:00:00,,1676.00,1107.00,382.00,199.00,131.00,157.00,112.00,42.00,APPROVED
AR: FORT SMITH,01/01/2023 02:00:00,,1690.00,1148.00,382.00,204.00,131.00,162.00,111.00,41.00,APPROVED
AR: FORT SMITH,01/01/2023 03:00:00,,1729.00,1160.00,386.00,204.00,134.00,167.00,114.00,42.00,APPROVED
AR: FORT SMITH,01/01/2023 04:00:00,,1747.00,1189.00,392.00,210.00,136.00,171.00,113.00,43.00,APPROVED
AR: FORT SMITH,01/01/2023 05:00:00,,1778.00,1224.00,400.00,219.00,137.00,169.00,120.00,44.00,APPROVED
AR: FORT SMITH,01/01/2023 06:01:00,,1810.00,1250.00,404.00,222.00,136.00,175.00,116.00,43.00,APPROVED
AR: FORT SMITH,01/01/2023 07:01:00,,1835.00,1265.00,407.00,225.00,140.00,175.00,118.00,44.00,APPROVED
AR: FORT SMITH,01/01/2023 08:01:00,,1833.00,1266.00,402.00,225.00,141.00,171.00,118.00,42.00,APPROVED
AR: FORT SMITH,01/01/2023 09:01:00,,1861.00,1289.00,407.00,226.00,140.00,171.00,118.00,43.00,APPROVED
AR: FORT SMITH,01/01/2023 10:01:00,,1876.00,1311.00,411.00,230.00,142.00,176.00,119.00,43.00,APPROVED
AR: FORT SMITH,01/01/2023 11:02:00,,1891.00,1317.00,416.00,239.00,143.00,177.00,119.00,44.00,APPROVED
AR: FORT SMITH,01/01/2023 12:02:00,,1889.00,1326.00,420.00,242.00,146.00,183.00,123.00,45.00,APPROVED
AR: FORT SMITH,01/01/2023 13:02:00,,1913.00,1345.00,422.00,246.00,146.00,185.00,122.00,46.00,APPROVED
AR: FORT SMITH,01/01/2023 14:02:00,,1923.00,1357.00,422.00,245.00,147.00,183.00,123.00,47.00,APPROVED
AR: FORT SMITH,01/01/2023 15:02:00,,1907.00,1342.00,420.00,239.00,143.00,182.00,119.00,48.00,APPROVED
AR: FORT SMITH,01/01/2023 16:03:00,,1873.00,1305.00,413.00,237.00,143.00,181.00,123.00,45.00,APPROVED
AR: FORT SMITH,01/01/2023 17:03:00,,1807.00,1251.00,407.00,227.00,142.00,177.00,119.00,45.00,APPROVED
AR: FORT SMITH,01/01/2023 18:03:00,,1740.00,1158.00,395.00,204.00,134.00,167.00,110.00,40.00,APPROVED
AR: FORT SMITH,01/01/2023 19:03:00,,1673.00,1106.00,393.00,199.00,135.00,165.00,111.00,43.00,APPROVED
AR: FORT SMITH,01/01/2023 20:03:00,,1679.00,1072.00,392.00,192.00,134.00,167.00,109.00,42.00,APPROVED
AR: FORT SMITH,01/01/2023 21:04:00,,1717.00,1136.00,391.00,203.00,137.00,168.00,113.00,42.00,APPROVED
AR: FORT SMITH,01/01/2023 22:04:00,,1725.00,1142.00,392.00,201.00,133.00,169.00,112.00,43.00,APPROVED
AR: FORT SMITH,01/01/2023 23:04:00,,1724.00,1138.00,393.00,197.00,133.00,166.00,110.00,41.00,APPROVED
