LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
AR: LITTLE ROCK,01/04/2023 12:08:00,93.00,3809.00,2328.00,657.00,344.00,227.00,266.00,176.00,38.00,APPROVED
AR: LITTLE ROCK,01/04/2023 15:09:00,87.00,3738.00,2291.00,655.00,340.00,221.00,260.00,176.00,37.00,APPROVED
AR: LITTLE ROCK,01/04/2023 16:09:00,91.00,3725.00,2276.00,641.00,339.00,221.00,262.00,173.00,35.00,APPROVED
AR: LITTLE ROCK,01/04/2023 17:09:00,92.00,3719.00,2266.00,641.00,335.00,221.00,254.00,174.00,35.00,APPROVED
AR: LITTLE ROCK,01/04/2023 19:09:00,89.00,3682.00,2251.00,638.00,334.00,222.00,253.00,171.00,35.00,APPROVED
AR: LITTLE ROCK,01/04/2023 22:53:00,91.00,3674.00,2201.00,629.00,321.00,219.00,247.00,173.00,32.00,APPROVED
AR: LITTLE ROCK,01/04/2023 23:54:00,91.00,3730.00,2238.00,633.00,324.00,219.00,256.00,173.00,35.00,APPROVED
AR: LITTLE ROCK,01/05/2023 00:54:00,90.00,3719.00,2233.00,637.00,324.00,219.00,253.00,170.00,33.00,APPROVED
AR: LITTLE ROCK,01/05/2023 01:54:00,92.00,3723.00,2234.00,636.00,324.00,219.00,250.00,172.00,33.00,APPROVED
AR: LITTLE ROCK,01/05/2023 02:54:00,91.00,3720.00,2240.00,634.00,326.00,220.00,250.00,169.00,36.00,APPROVED
AR: LITTLE ROCK,01/05/2023 03:54:00,91.00,3738.00,2242.00,634.00,323.00,224.00,253.00,173.00,34.00,APPROVED
AR: LITTLE ROCK,01/05/2023 04:55:00,90.00,3717.00,2240.00,634.00,325.00,219.00,253.00,175.00,34.00,APPROVED
AR: LITTLE ROCK,01/05/2023 05:55:00,89.00,3746.00,2249.00,644.00,330.00,221.00,253.00,173.00,35.00,APPROVED
AR: LITTLE ROCK,01/05/2023 06:55:00,91.00,3752.00,2266.00,640.00,331.00,225.00,258.00,173.00,35.00,APPROVED
AR: LITTLE ROCK,01/05/2023 07:55:00,94.00,3759.00,2274.00,650.00,332.00,221.00,260.00,175.00,34.00,APPROVED
AR: LITTLE ROCK,01/05/2023 08:55:00,88.00,3767.00,2283.00,645.00,335.00,219.00,258.00,174.00,35.00,APPROVED
AR: LITTLE ROCK,01/05/2023 09:56:00,91.00,3778.00,2291.00,641.00,332.00,227.00,255.00,179.00,34.00,APPROVED
AR: LITTLE ROCK,01/05/2023 10:56:00,93.00,3786.00,2286.00,650.00,334.00,224.00,257.00,175.00,37.00,APPROVED
AR: LITTLE ROCK,01/05/2023 11:56:00,93.00,3790.00,2306.00,648.00,341.00,225.00,261.00,176.00,36.00,APPROVED
AR: LITTLE ROCK,01/05/2023 12:56:00,92.00,3792.00,2303.00,655.00,340.00,227.00,259.00,174.00,37.00,APPROVED
AR: LITTLE ROCK,01/05/2023 13:57:00,95.00,3778.00,2315.00,654.00,335.00,225.00,261.00,176.00,36.00,APPROVED
AR: LITTLE ROCK,01/05/2023 14:57:00,90.00,3777.00,2314.00,655.00,345.00,228.00,261.00,175.00,37.00,APPROVED
AR: LITTLE ROCK,01/05/2023 15:57:00,92.00,3781.00,2322.00,654.00,344.00,226.00,265.00,175.00,36.00,APPROVED
AR: LITTLE ROCK,01/05/2023 16:57:00,89.00,3771.00,2312.00,653.00,344.00,228.00,265.00,180.00,37.00,APPROVED
AR: LITTLE ROCK,01/05/2023 17:57:00,90.00,3763.00,2315.00,651.00,342.00,223.00,266.00,178.00,37.00,APPROVED
AR: LITTLE ROCK,01/06/2023 07:24:00,94.00,3815.00,2317.00,659.00,341.00,226.00,265.00,175.00,36.00,APPROVED
AR: LITTLE ROCK,01/06/2023 09:24:00,93.00,3841.00,2344.00,665.00,346.00,226.00,262.00,177.00,37.00,APPROVED
AR: LITTLE ROCK,01/06/2023 10:24:00,93.00,3854.00,2354.00,669.00,348.00,229.00,265.00,182.00,37.00,APPROVED
AR: LITTLE ROCK,01/06/2023 11:24:00,89.00,3856.00,2372.00,663.00,351.00,232.00,269.00,180.00,37.00,APPROVED
AR: LITTLE ROCK,01/06/2023 12:25:00,90.00,3839.00,2350.00,671.00,350.00,229.00,266.00,180.00,37.00,APPROVED
AR: LITTLE ROCK,01/06/2023 13:25:00,91.00,3843.00,2364.00,669.00,356.00,231.00,273.00,180.00,36.00,APPROVED
AR: LITTLE ROCK,01/06/2023 14:25:00,88.00,3813.00,2339.00,664.00,348.00,231.00,269.00,180.00,37.00,APPROVED
AR: LITTLE ROCK,01/06/2023 15:25:00,90.00,3829.00,2378.00,680.00,357.00,229.00,269.00,178.00,39.00,APPROVED
AR: LITTLE ROCK,01/06/2023 16:26:00,91.00,3807.00,2354.00,670.00,354.00,231.00,270.00,181.00,38.00,APPROVED
AR: LITTLE ROCK,01/06/2023 17:26:00,91.00,3790.00,2335.00,657.00,348.00,228.00,264.00,179.00,36.00,APPROVED
AR: LITTLE ROCK,01/06/2023 18:26:00,92.00,3778.00,2307.00,656.00,341.00,230.00,258.00,176.00,36.00,APPROVED
AR: LITTLE ROCK,01/06/2023 19:26:00,90.00,3747.00,2277.00,647.00,338.00,222.00,257.00,174.00,33.00,APPROVED
AR: LITTLE ROCK,01/09/2023 07:06:00,89.00,3849.00,2348.00,665.00,352.00,230.00,266.00,183.00,37.00,APPROVED
AR: LITTLE ROCK,01/09/2023 08:06:00,94.00,3838.00,2356.00,668.00,355.00,227.00,265.00,179.00,40.00,APPROVED
AR: LITTLE ROCK,01/09/2023 09:06:00,93.00,3854.00,2359.00,661.00,356.00,234.00,268.00,181.00,39.00,APPROVED
AR: LITTLE ROCK,01/09/2023 10:06:00,93.00,3850.00,2369.00,674.00,349.00,232.00,268.00,178.00,37.00,APPROVED
AR: LITTLE ROCK,01/09/2023 11:07:00,94.00,3865.00,2382.00,677.00,354.00,230.00,270.00,182.00,38.00,APPROVED
AR: LITTLE ROCK,01/09/2023 12:07:00,92.00,3856.00,2399.00,680.00,359.00,233.00,270.00,182.00,40.00,APPROVED
AR: LITTLE ROCK,01/09/2023 13:07:00,94.00,3876.00,2425.00,681.00,365.00,238.00,273.00,182.00,38.00,APPROVED
AR: LITTLE ROCK,01/09/2023 14:07:00,91.00,3855.00,2416.00,691.00,367.00,240.00,277.00,185.00,40.00,APPROVED
AR: LITTLE ROCK,01/09/2023 15:07:00,91.00,3842.00,2418.00,680.00,375.00,235.00,274.00,182.00,40.00,APPROVED
AR: LITTLE ROCK,01/09/2023 16:08:00,89.00,3824.00,2377.00,675.00,366.00,233.00,273.00,183.00,39.00,APPROVED
