LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
AZ: PHOENIX,01/03/2023 15:22:00,83.00,2830.00,1579.00,467.00,254.00,173.00,189.00,121.00,38.00,APPROVED
AZ: PHOENIX,01/03/2023 16:22:00,81.00,2822.00,1597.00,468.00,261.00,171.00,192.00,118.00,38.00,APPROVED
AZ: PHOENIX,01/03/2023 17:22:00,84.00,2836.00,1597.00,470.00,258.00,173.00,194.00,125.00,37.00,APPROVED
AZ: PHOENIX,01/03/2023 18:22:00,82.00,2838.00,1595.00,473.00,258.00,173.00,194.00,123.00,38.00,APPROVED
AZ: PHOENIX,01/03/2023 19:23:00,83.00,2816.00,1579.00,472.00,261.00,174.00,192.00,123.00,37.00,APPROVED
AZ: PHOENIX,01/03/2023 20:23:00,80.00,2822.00,1593.00,470.00,258.00,174.00,193.00,124.00,37.00,APPROVED
AZ: PHOENIX,01/03/2023 21:23:00,83.00,2810.00,1600.00,473.00,260.00,174.00,192.00,126.00,37.00,APPROVED
AZ: PHOENIX,01/03/2023 22:23:00,80.00,2823.00,1599.00,470.00,262.00,172.00,197.00,124.00,39.00,APPROVED
AZ: PHOENIX,01/03/2023 23:23:00,83.00,2814.00,1599.00,471.00,259.00,168.00,194.00,130.00,38.00,APPROVED
AZ: PHOENIX,01/04/2023 00:24:00,82.00,2794.00,1594.00,468.00,260.00,170.00,192.00,125.00,36.00,APPROVED
AZ: PHOENIX,01/04/2023 01:24:00,80.00,2811.00,1583.00,465.00,256.00,172.00,190.00,123.00,38.00,APPROVED
AZ: PHOENIX,01/04/2023 02:24:00,80.00,2803.00,1566.00,470.00,254.00,170.00,191.00,121.00,37.00,APPROVED
AZ: PHOENIX,01/04/2023 03:24:00,82.00,2821.00,1572.00,465.00,256.00,169.00,192.00,122.00,38.00,APPROVED
AZ: PHOENIX,01/04/2023 04:25:00,83.00,2817.00,1573.00,468.00,258.00,172.00,189.00,123.00,37.00,APPROVED
AZ: PHOENIX,01/04/2023 05:25:00,82.00,2822.00,1575.00,467.00,254.00,173.00,188.00,121.00,36.00,APPROVED
AZ: PHOENIX,01/04/2023 06:25:00,84.00,2813.00,1574.00,465.00,257.00,170.00,190.00,121.00,36.00,APPROVED
AZ: PHOENIX,01/04/2023 19:38:00,81.00,2763.00,1562.00,476.00,255.00,172.00,191.00,124.00,38.00,APPROVED
AZ: PHOENIX,01/04/2023 20:38:00,84.00,2757.00,1583.00,480.00,256.00,172.00,198.00,127.00,39.00,APPROVED
AZ: PHOENIX,01/04/2023 21:38:00,84.00,2763.00,1582.00,482.00,262.00,174.00,194.00,127.00,39.00,APPROVED
AZ: PHOENIX,01/04/2023 22:38:00,82.00,2760.00,1584.00,487.00,259.00,172.00,198.00,126.00,38.00,APPROVED
AZ: PHOENIX,01/04/2023 23:39:00,82.00,2752.00,1578.00,478.00,260.00,169.00,196.00,127.00,39.00,APPROVED
AZ: PHOENIX,01/05/2023 00:39:00,82.00,2755.00,1573.00,477.00,259.00,172.00,198.00,126.00,38.00,APPROVED
AZ: PHOENIX,01/05/2023 01:39:00,83.00,2769.00,1571.00,483.00,259.00,169.00,192.00,125.00,38.00,APPROVED
