LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
AZ: TUCSON,01/09/2023 16:04:00,,3448.00,1766.00,476.00,240.00,148.00,180.00,88.00,30.00,APPROVED
AZ: TUCSON,01/09/2023 17:04:00,,3288.00,1730.00,479.00,251.00,149.00,181.00,95.00,29.00,APPROVED
AZ: TUCSON,01/09/2023 18:04:00,,2957.00,1586.00,471.00,245.00,153.00,184.00,99.00,29.00,APPROVED
AZ: TUCSON,01/09/2023 19:04:00,,2689.00,1455.00,457.00,228.00,146.00,182.00,95.00,29.00,APPROVED
AZ: TUCSON,01/09/2023 20:04:00,,2488.00,1349.00,443.00,223.00,148.00,175.00,96.00,28.00,APPROVED
AZ: TUCSON,01/09/2023 21:05:00,,2436.00,1342.00,432.00,220.00,146.00,169.00,98.00,28.00,APPROVED
AZ: TUCSON,01/09/2023 22:05:00,,2374.00,1300.00,429.00,218.00,146.00,167.00,103.00,29.00,APPROVED
AZ: TUCSON,01/09/2023 23:05:00,,2318.00,1268.00,420.00,216.00,143.00,168.00,102.00,30.00,APPROVED
AZ: TUCSON,01/10/2023 00:05:00,,2341.00,1281.00,426.00,218.00,144.00,163.00,102.00,29.00,APPROVED
AZ: TUCSON,01/10/2023 01:05:00,,2480.00,1382.00,435.00,228.00,150.00,169.00,106.00,29.00,APPROVED
AZ: TUCSON,01/10/2023 02:06:00,,2634.00,1444.00,440.00,233.00,148.00,171.00,103.00,30.00,APPROVED
AZ: TUCSON,01/10/2023 03:06:00,,2785.00,1499.00,457.00,234.00,150.00,172.00,102.00,30.00,APPROVED
AZ: TUCSON,01/10/2023 04:06:00,,2909.00,1561.00,462.00,238.00,153.00,180.00,101.00,29.00,APPROVED
AZ: TUCSON,01/10/2023 05:06:00,,3044.00,1638.00,479.00,246.00,155.00,180.00,100.00,29.00,APPROVED
AZ: TUCSON,01/10/2023 06:06:00,,3166.00,1703.00,494.00,255.00,156.00,193.00,101.00,31.00,APPROVED
AZ: TUCSON,01/10/2023 07:07:00,,3240.00,1737.00,498.00,256.00,160.00,194.00,98.00,31.00,APPROVED
AZ: TUCSON,01/10/2023 08:07:00,,3264.00,1748.00,509.00,257.00,158.00,198.00,96.00,30.00,APPROVED
AZ: TUCSON,01/10/2023 09:07:00,,3291.00,1759.00,502.00,254.00,157.00,197.00,91.00,32.00,APPROVED
AZ: TUCSON,01/10/2023 10:07:00,,3313.00,1765.00,503.00,255.00,159.00,197.00,91.00,32.00,APPROVED
AZ: TUCSON,01/10/2023 11:07:00,,3288.00,1762.00,501.00,253.00,156.00,197.00,91.00,32.00,APPROVED
AZ: TUCSON,01/10/2023 12:07:00,,3258.00,1740.00,494.00,252.00,159.00,198.00,91.00,32.00,APPROVED
AZ: TUCSON,01/10/2023 13:08:00,,3273.00,1744.00,493.00,249.00,158.00,196.00,90.00,31.00,APPROVED
AZ: TUCSON,01/10/2023 14:08:00,,3250.00,1740.00,501.00,249.00,157.00,200.00,89.00,31.00,APPROVED
AZ: TUCSON,01/10/2023 15:08:00,,3290.00,1765.00,506.00,257.00,158.00,199.00,91.00,33.00,APPROVED
AZ: TUCSON,01/10/2023 16:08:00,,3347.00,1806.00,520.00,261.00,163.00,205.00,94.00,33.00,APPROVED
AZ: TUCSON,01/10/2023 17:08:00,,3270.00,1785.00,520.00,262.00,162.00,202.00,93.00,33.00,APPROVED
AZ: TUCSON,01/10/2023 18:09:00,,3048.00,1657.00,496.00,249.00,157.00,198.00,94.00,32.00,APPROVED
AZ: TUCSON,01/10/2023 19:09:00,,2810.00,1522.00,477.00,234.00,152.00,189.00,91.00,31.00,APPROVED
AZ: TUCSON,01/10/2023 20:09:00,,2564.00,1419.00,453.00,227.00,151.00,181.00,94.00,31.00,APPROVED
AZ: TUCSON,01/10/2023 21:09:00,,2381.00,1306.00,437.00,216.00,145.00,169.00,100.00,30.00,APPROVED
AZ: TUCSON,01/10/2023 22:09:00,,2263.00,1242.00,419.00,210.00,143.00,165.00,98.00,28.00,APPROVED
AZ: TUCSON,01/10/2023 23:10:00,,2210.00,1202.00,411.00,206.00,138.00,160.00,99.00,29.00,APPROVED
AZ: TUCSON,01/11/2023 00:10:00,,2251.00,1238.00,413.00,209.00,138.00,162.00,100.00,30.00,APPROVED
AZ: TUCSON,01/11/2023 01:10:00,,2330.00,1277.00,419.00,211.00,139.00,162.00,101.00,29.00,APPROVED
AZ: TUCSON,01/11/2023 02:10:00,,2434.00,1326.00,419.00,213.00,141.00,160.00,100.00,29.00,APPROVED
AZ: TUCSON,01/11/2023 03:10:00,,2539.00,1362.00,425.00,214.00,143.00,161.00,103.00,30.00,APPROVED
AZ: TUCSON,01/11/2023 04:11:00,,2557.00,1385.00,427.00,219.00,143.00,160.00,99.00,29.00,APPROVED
AZ: TUCSON,01/11/2023 05:11:00,,2580.00,1392.00,425.00,218.00,143.00,162.00,97.00,30.00,APPROVED
AZ: TUCSON,01/11/2023 06:11:00,,2701.00,1457.00,444.00,227.00,147.00,169.00,99.00,29.00,APPROVED
AZ: TUCSON,01/11/2023 07:11:00,,2842.00,1541.00,451.00,236.00,148.00,173.00,101.00,30.00,APPROVED
AZ: TUCSON,01/11/2023 08:11:00,,2900.00,1556.00,457.00,240.00,151.00,175.00,98.00,30.00,APPROVED
AZ: TUCSON,01/11/2023 09:12:00,,2941.00,1581.00,465.00,235.00,147.00,175.00,97.00,30.00,APPROVED
AZ: TUCSON,01/11/2023 10:12:00,,2957.00,1571.00,463.00,237.00,149.00,172.00,99.00,30.00,APPROVED
AZ: TUCSON,01/11/2023 11:12:00,,2947.00,1569.00,457.00,232.00,149.00,176.00,97.00,30.00,APPROVED
AZ: TUCSON,01/11/2023 12:12:00,,2990.00,1594.00,464.00,230.00,149.00,177.00,92.00,30.00,APPROVED
AZ: TUCSON,01/11/2023 13:12:00,,3046.00,1620.00,471.00,234.00,150.00,183.00,92.00,31.00,APPROVED
AZ: TUCSON,01/11/2023 14:13:00,,3121.00,1678.00,490.00,245.00,152.00,191.00,91.00,32.00,APPROVED
AZ: TUCSON,01/11/2023 15:13:00,,3158.00,1709.00,498.00,249.00,155.00,195.00,94.00,32.00,APPROVED
AZ: TUCSON,01/11/2023 16:27:00,,3075.00,1593.00,450.00,225.00,145.00,174.00,84.00,28.00,APPROVED
AZ: TUCSON,01/11/2023 17:27:00,,2873.00,1520.00,446.00,226.00,147.00,178.00,87.00,28.00,APPROVED
AZ: TUCSON,01/11/2023 18:27:00,,2614.00,1368.00,426.00,210.00,141.00,170.00,83.00,27.00,APPROVED
AZ: TUCSON,01/11/2023 19:27:00,,2544.00,1328.00,417.00,205.00,141.00,168.00,80.00,27.00,APPROVED
AZ: TUCSON,01/11/2023 20:28:00,,2488.00,1301.00,406.00,202.00,135.00,162.00,83.00,27.00,APPROVED
AZ: TUCSON,01/11/2023 21:28:00,,2472.00,1302.00,410.00,199.00,138.00,160.00,83.00,26.00,APPROVED
AZ: TUCSON,01/11/2023 22:28:00,,2513.00,1304.00,410.00,201.00,137.00,159.00,84.00,28.00,APPROVED
AZ: TUCSON,01/11/2023 23:28:00,,2530.00,1310.00,407.00,205.00,136.00,159.00,83.00,25.00,APPROVED
AZ: TUCSON,01/12/2023 00:28:00,,2644.00,1352.00,407.00,207.00,135.00,162.00,85.00,26.00,APPROVED
AZ: TUCSON,01/12/2023 01:29:00,,2756.00,1401.00,422.00,208.00,140.00,158.00,82.00,27.00,APPROVED
AZ: TUCSON,01/12/2023 02:29:00,,2819.00,1447.00,421.00,208.00,138.00,162.00,85.00,27.00,APPROVED
AZ: TUCSON,01/12/2023 03:29:00,,2870.00,1474.00,427.00,210.00,140.00,163.00,84.00,27.00,APPROVED
AZ: TUCSON,01/12/2023 04:29:00,,2933.00,1493.00,428.00,214.00,140.00,164.00,82.00,27.00,APPROVED
AZ: TUCSON,01/12/2023 05:29:00,,2971.00,1508.00,431.00,212.00,139.00,165.00,84.00,27.00,APPROVED
AZ: TUCSON,01/12/2023 06:29:00,,2988.00,1515.00,432.00,214.00,141.00,168.00,82.00,28.00,APPROVED
AZ: TUCSON,01/12/2023 07:30:00,,3083.00,1577.00,446.00,221.00,143.00,171.00,83.00,28.00,APPROVED
AZ: TUCSON,01/12/2023 08:30:00,,3172.00,1610.00,454.00,225.00,143.00,176.00,84.00,28.00,APPROVED
AZ: TUCSON,01/12/2023 09:30:00,,3268.00,1689.00,474.00,239.00,154.00,183.00,85.00,30.00,APPROVED
AZ: TUCSON,01/12/2023 10:30:00,,3216.00,1682.00,473.00,233.00,150.00,183.00,85.00,30.00,APPROVED
AZ: TUCSON,01/12/2023 11:30:00,,3233.00,1666.00,471.00,234.00,148.00,186.00,83.00,31.00,APPROVED
AZ: TUCSON,01/12/2023 12:31:00,,3310.00,1739.00,489.00,243.00,154.00,194.00,85.00,30.00,APPROVED
AZ: TUCSON,01/12/2023 13:31:00,,3404.00,1819.00,511.00,260.00,160.00,204.00,90.00,31.00,APPROVED
AZ: TUCSON,01/12/2023 14:31:00,,3446.00,1872.00,518.00,266.00,164.00,208.00,94.00,32.00,APPROVED
AZ: TUCSON,01/12/2023 15:31:00,,3388.00,1819.00,517.00,265.00,163.00,203.00,90.00,32.00,APPROVED
AZ: TUCSON,01/12/2023 16:31:00,,3201.00,1711.00,497.00,246.00,158.00,198.00,89.00,31.00,APPROVED
AZ: TUCSON,01/12/2023 17:32:00,,2920.00,1534.00,461.00,229.00,147.00,184.00,86.00,30.00,APPROVED
AZ: TUCSON,01/12/2023 18:32:00,,2692.00,1444.00,449.00,221.00,146.00,178.00,86.00,31.00,APPROVED
AZ: TUCSON,01/12/2023 19:32:00,,2469.00,1318.00,430.00,209.00,141.00,169.00,87.00,29.00,APPROVED
AZ: TUCSON,01/12/2023 20:32:00,,2357.00,1271.00,416.00,207.00,137.00,161.00,93.00,28.00,APPROVED
AZ: TUCSON,01/12/2023 21:32:00,,2328.00,1252.00,410.00,203.00,136.00,160.00,92.00,28.00,APPROVED
AZ: TUCSON,01/12/2023 22:33:00,,2316.00,1261.00,411.00,205.00,138.00,158.00,96.00,28.00,APPROVED
