LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: ANAHEIM,01/01/2023 00:38:00,,2382.00,1311.00,414.00,207.00,155.00,180.00,91.00,42.00,APPROVED
CA: ANAHEIM,01/01/2023 01:38:00,,2390.00,1322.00,417.00,214.00,156.00,174.00,97.00,41.00,APPROVED
CA: ANAHEIM,01/01/2023 02:38:00,,2395.00,1320.00,414.00,213.00,153.00,178.00,98.00,41.00,APPROVED
CA: ANAHEIM,01/01/2023 03:39:00,,2377.00,1319.00,412.00,212.00,154.00,176.00,98.00,40.00,APPROVED
CA: ANAHEIM,01/01/2023 04:39:00,,2379.00,1313.00,408.00,209.00,155.00,174.00,97.00,40.00,APPROVED
CA: ANAHEIM,01/01/2023 05:39:00,,2358.00,1309.00,401.00,206.00,151.00,176.00,97.00,41.00,APPROVED
CA: ANAHEIM,01/01/2023 06:39:00,,2348.00,1303.00,407.00,211.00,151.00,178.00,91.00,41.00,APPROVED
CA: ANAHEIM,01/01/2023 07:40:00,,2371.00,1318.00,415.00,211.00,155.00,182.00,96.00,41.00,APPROVED
CA: ANAHEIM,01/01/2023 08:40:00,,2375.00,1315.00,416.00,212.00,156.00,182.00,92.00,42.00,APPROVED
CA: ANAHEIM,01/01/2023 09:40:00,,2396.00,1337.00,414.00,218.00,154.00,182.00,91.00,41.00,APPROVED
CA: ANAHEIM,01/01/2023 10:40:00,,2374.00,1337.00,414.00,212.00,156.00,179.00,98.00,40.00,APPROVED
CA: ANAHEIM,01/01/2023 11:40:00,,2388.00,1325.00,415.00,213.00,157.00,179.00,98.00,40.00,APPROVED
CA: ANAHEIM,01/01/2023 12:41:00,,2379.00,1330.00,416.00,216.00,157.00,180.00,98.00,40.00,APPROVED
CA: ANAHEIM,01/01/2023 13:41:00,,2432.00,1361.00,428.00,224.00,157.00,181.00,100.00,41.00,APPROVED
CA: ANAHEIM,01/01/2023 14:41:00,,2403.00,1342.00,424.00,214.00,158.00,177.00,97.00,40.00,APPROVED
CA: ANAHEIM,01/01/2023 15:41:00,,2407.00,1337.00,418.00,215.00,155.00,183.00,98.00,40.00,APPROVED
CA: ANAHEIM,01/01/2023 16:41:00,,2414.00,1349.00,423.00,216.00,155.00,181.00,98.00,40.00,APPROVED
CA: ANAHEIM,01/01/2023 17:42:00,,2416.00,1341.00,417.00,214.00,158.00,184.00,95.00,41.00,APPROVED
CA: ANAHEIM,01/01/2023 18:42:00,,2398.00,1340.00,418.00,213.00,156.00,182.00,96.00,40.00,APPROVED
CA: ANAHEIM,01/01/2023 19:42:00,,2403.00,1348.00,425.00,219.00,159.00,179.00,99.00,40.00,APPROVED
CA: ANAHEIM,01/01/2023 20:42:00,,2412.00,1354.00,419.00,218.00,155.00,182.00,100.00,41.00,APPROVED
CA: ANAHEIM,01/01/2023 21:43:00,,2409.00,1343.00,421.00,220.00,158.00,182.00,103.00,41.00,APPROVED
CA: ANAHEIM,01/01/2023 22:43:00,,2444.00,1382.00,429.00,222.00,160.00,187.00,100.00,42.00,APPROVED
CA: ANAHEIM,01/01/2023 23:43:00,,2490.00,1417.00,445.00,231.00,166.00,196.00,101.00,41.00,APPROVED
CA: ANAHEIM,01/02/2023 00:43:00,,2447.00,1380.00,433.00,221.00,158.00,187.00,101.00,42.00,APPROVED
CA: ANAHEIM,01/02/2023 01:43:00,,2429.00,1345.00,421.00,221.00,158.00,185.00,96.00,41.00,APPROVED
CA: ANAHEIM,01/02/2023 02:44:00,,2414.00,1346.00,422.00,216.00,156.00,181.00,100.00,41.00,APPROVED
CA: ANAHEIM,01/02/2023 03:44:00,,2413.00,1342.00,421.00,218.00,153.00,182.00,96.00,41.00,APPROVED
CA: ANAHEIM,01/02/2023 04:44:00,,2423.00,1347.00,423.00,217.00,158.00,182.00,96.00,41.00,APPROVED
CA: ANAHEIM,01/02/2023 05:44:00,,2422.00,1349.00,419.00,217.00,156.00,182.00,97.00,41.00,APPROVED
CA: ANAHEIM,01/02/2023 06:45:00,,2424.00,1349.00,424.00,214.00,157.00,182.00,99.00,39.00,APPROVED
CA: ANAHEIM,01/02/2023 07:45:00,,2420.00,1362.00,421.00,216.00,158.00,184.00,99.00,43.00,APPROVED
CA: ANAHEIM,01/02/2023 08:45:00,,2439.00,1373.00,428.00,219.00,154.00,183.00,102.00,41.00,APPROVED
