LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: BAKERSFIELD,01/01/2023 00:17:00,58.00,2356.00,1223.00,361.00,172.00,113.00,135.00,77.00,29.00,APPROVED
CA: BAKERSFIELD,01/01/2023 01:17:00,57.00,2346.00,1234.00,361.00,173.00,115.00,133.00,77.00,28.00,APPROVED
CA: BAKERSFIELD,01/01/2023 02:18:00,57.00,2345.00,1233.00,358.00,177.00,116.00,139.00,77.00,28.00,APPROVED
CA: BAKERSFIELD,01/01/2023 03:18:00,59.00,2282.00,1189.00,346.00,168.00,113.00,131.00,75.00,27.00,APPROVED
CA: BAKERSFIELD,01/01/2023 04:18:00,58.00,2283.00,1172.00,350.00,167.00,115.00,130.00,73.00,25.00,APPROVED
CA: BAKERSFIELD,01/01/2023 05:18:00,57.00,2281.00,1181.00,346.00,167.00,113.00,127.00,72.00,25.00,APPROVED
CA: BAKERSFIELD,01/01/2023 06:18:00,59.00,2286.00,1176.00,345.00,167.00,114.00,128.00,73.00,27.00,APPROVED
CA: BAKERSFIELD,01/01/2023 07:19:00,58.00,2309.00,1192.00,355.00,169.00,116.00,131.00,74.00,27.00,APPROVED
CA: BAKERSFIELD,01/01/2023 08:19:00,57.00,2315.00,1214.00,354.00,174.00,117.00,131.00,75.00,26.00,APPROVED
CA: BAKERSFIELD,01/01/2023 09:19:00,58.00,2236.00,1150.00,341.00,165.00,112.00,129.00,72.00,27.00,APPROVED
CA: BAKERSFIELD,01/01/2023 10:19:00,58.00,2256.00,1171.00,347.00,166.00,114.00,129.00,73.00,27.00,APPROVED
CA: BAKERSFIELD,01/01/2023 11:19:00,58.00,2273.00,1180.00,354.00,168.00,116.00,131.00,74.00,27.00,APPROVED
CA: BAKERSFIELD,01/01/2023 12:20:00,57.00,2231.00,1136.00,340.00,164.00,113.00,125.00,70.00,26.00,APPROVED
CA: BAKERSFIELD,01/01/2023 13:20:00,56.00,2215.00,1124.00,335.00,160.00,110.00,124.00,69.00,26.00,APPROVED
CA: BAKERSFIELD,01/01/2023 14:20:00,58.00,2224.00,1147.00,340.00,160.00,112.00,125.00,73.00,26.00,APPROVED
CA: BAKERSFIELD,01/01/2023 15:20:00,59.00,2228.00,1126.00,332.00,159.00,112.00,123.00,70.00,26.00,APPROVED
CA: BAKERSFIELD,01/01/2023 16:20:00,56.00,2221.00,1126.00,334.00,158.00,113.00,124.00,72.00,26.00,APPROVED
CA: BAKERSFIELD,01/01/2023 17:21:00,57.00,2226.00,1133.00,333.00,159.00,112.00,127.00,72.00,25.00,APPROVED
CA: BAKERSFIELD,01/01/2023 18:21:00,60.00,2238.00,1155.00,335.00,162.00,110.00,127.00,70.00,25.00,APPROVED
CA: BAKERSFIELD,01/01/2023 19:21:00,54.00,2216.00,1139.00,339.00,160.00,110.00,127.00,71.00,26.00,APPROVED
CA: BAKERSFIELD,01/01/2023 20:21:00,55.00,2199.00,1119.00,328.00,161.00,110.00,120.00,69.00,25.00,APPROVED
CA: BAKERSFIELD,01/01/2023 21:22:00,56.00,2206.00,1118.00,331.00,156.00,109.00,122.00,70.00,26.00,APPROVED
CA: BAKERSFIELD,01/01/2023 22:22:00,57.00,2199.00,1115.00,333.00,157.00,110.00,119.00,70.00,26.00,APPROVED
CA: BAKERSFIELD,01/01/2023 23:22:00,57.00,2193.00,1124.00,333.00,156.00,110.00,121.00,72.00,27.00,APPROVED
CA: BAKERSFIELD,01/02/2023 00:22:00,58.00,2199.00,1113.00,334.00,156.00,109.00,124.00,73.00,27.00,APPROVED
CA: BAKERSFIELD,01/02/2023 01:22:00,56.00,2191.00,1110.00,326.00,158.00,109.00,120.00,70.00,25.00,APPROVED
CA: BAKERSFIELD,01/02/2023 02:23:00,57.00,2196.00,1117.00,328.00,156.00,109.00,121.00,70.00,27.00,APPROVED
CA: BAKERSFIELD,01/02/2023 03:23:00,55.00,2214.00,1117.00,326.00,157.00,108.00,123.00,69.00,25.00,APPROVED
CA: BAKERSFIELD,01/02/2023 04:23:00,57.00,2230.00,1131.00,337.00,156.00,112.00,123.00,70.00,26.00,APPROVED
CA: BAKERSFIELD,01/02/2023 05:23:00,58.00,2265.00,1157.00,337.00,157.00,113.00,126.00,73.00,28.00,APPROVED
CA: BAKERSFIELD,01/02/2023 06:23:00,57.00,2264.00,1164.00,338.00,163.00,110.00,125.00,71.00,27.00,APPROVED
CA: BAKERSFIELD,01/02/2023 07:24:00,57.00,2279.00,1161.00,339.00,165.00,113.00,127.00,73.00,26.00,APPROVED
CA: BAKERSFIELD,01/02/2023 08:24:00,57.00,2274.00,1173.00,339.00,166.00,114.00,124.00,74.00,27.00,APPROVED
CA: BAKERSFIELD,01/02/2023 09:24:00,60.00,2285.00,1174.00,341.00,164.00,113.00,127.00,77.00,28.00,APPROVED
CA: BAKERSFIELD,01/02/2023 10:24:00,57.00,2286.00,1178.00,342.00,168.00,112.00,126.00,73.00,27.00,APPROVED
CA: BAKERSFIELD,01/02/2023 11:24:00,60.00,2297.00,1191.00,346.00,168.00,114.00,129.00,73.00,27.00,APPROVED
CA: BAKERSFIELD,01/02/2023 12:25:00,59.00,2301.00,1195.00,340.00,168.00,114.00,128.00,75.00,28.00,APPROVED
CA: BAKERSFIELD,01/02/2023 13:25:00,60.00,2335.00,1214.00,352.00,169.00,117.00,131.00,74.00,27.00,APPROVED
CA: BAKERSFIELD,01/02/2023 14:25:00,62.00,2331.00,1216.00,352.00,173.00,117.00,131.00,75.00,26.00,APPROVED
CA: BAKERSFIELD,01/02/2023 15:25:00,60.00,2308.00,1199.00,348.00,173.00,114.00,128.00,74.00,28.00,APPROVED
CA: BAKERSFIELD,01/02/2023 16:26:00,64.00,2341.00,1236.00,353.00,178.00,115.00,136.00,77.00,29.00,APPROVED
CA: BAKERSFIELD,01/02/2023 17:26:00,61.00,2308.00,1204.00,350.00,172.00,118.00,130.00,74.00,27.00,APPROVED
CA: BAKERSFIELD,01/02/2023 18:26:00,59.00,2262.00,1169.00,345.00,161.00,110.00,126.00,71.00,26.00,APPROVED
CA: BAKERSFIELD,01/02/2023 19:26:00,58.00,2243.00,1154.00,340.00,163.00,111.00,126.00,74.00,26.00,APPROVED
CA: BAKERSFIELD,01/02/2023 20:26:00,55.00,2238.00,1150.00,337.00,164.00,112.00,123.00,71.00,25.00,APPROVED
CA: BAKERSFIELD,01/02/2023 21:27:00,58.00,2244.00,1145.00,341.00,161.00,113.00,124.00,71.00,26.00,APPROVED
CA: BAKERSFIELD,01/02/2023 22:27:00,57.00,2221.00,1142.00,335.00,158.00,110.00,124.00,73.00,27.00,APPROVED
CA: BAKERSFIELD,01/02/2023 23:27:00,58.00,2265.00,1162.00,338.00,163.00,114.00,124.00,72.00,26.00,APPROVED
CA: BAKERSFIELD,01/03/2023 00:27:00,60.00,2338.00,1220.00,361.00,177.00,117.00,131.00,76.00,26.00,APPROVED
CA: BAKERSFIELD,01/03/2023 01:27:00,64.00,2364.00,1243.00,377.00,179.00,117.00,137.00,77.00,28.00,APPROVED
CA: BAKERSFIELD,01/03/2023 02:28:00,61.00,2306.00,1213.00,360.00,175.00,117.00,136.00,76.00,28.00,APPROVED
CA: BAKERSFIELD,01/03/2023 03:28:00,57.00,2223.00,1137.00,336.00,159.00,110.00,124.00,70.00,25.00,APPROVED
CA: BAKERSFIELD,01/03/2023 04:28:00,59.00,2206.00,1129.00,331.00,157.00,109.00,123.00,70.00,26.00,APPROVED
CA: BAKERSFIELD,01/03/2023 05:28:00,60.00,2263.00,1162.00,343.00,162.00,116.00,128.00,74.00,27.00,APPROVED
CA: BAKERSFIELD,01/03/2023 06:28:00,60.00,2313.00,1203.00,353.00,173.00,114.00,135.00,74.00,28.00,APPROVED
CA: BAKERSFIELD,01/03/2023 07:29:00,59.00,2277.00,1174.00,351.00,166.00,114.00,127.00,73.00,26.00,APPROVED
CA: BAKERSFIELD,01/03/2023 08:29:00,62.00,2310.00,1196.00,349.00,169.00,115.00,130.00,73.00,29.00,APPROVED
CA: BAKERSFIELD,01/03/2023 09:29:00,58.00,2291.00,1178.00,345.00,168.00,116.00,129.00,73.00,26.00,APPROVED
CA: BAKERSFIELD,01/03/2023 10:29:00,57.00,2286.00,1175.00,343.00,166.00,115.00,129.00,72.00,27.00,APPROVED
CA: BAKERSFIELD,01/03/2023 11:30:00,58.00,2301.00,1189.00,349.00,170.00,114.00,128.00,72.00,27.00,APPROVED
CA: BAKERSFIELD,01/03/2023 12:30:00,60.00,2278.00,1176.00,340.00,166.00,112.00,130.00,71.00,26.00,APPROVED
CA: BAKERSFIELD,01/03/2023 13:30:00,61.00,2266.00,1160.00,340.00,165.00,112.00,127.00,74.00,27.00,APPROVED
CA: BAKERSFIELD,01/03/2023 14:30:00,61.00,2293.00,1199.00,342.00,169.00,115.00,128.00,75.00,28.00,APPROVED
CA: BAKERSFIELD,01/03/2023 15:30:00,62.00,2322.00,1210.00,349.00,171.00,116.00,130.00,74.00,27.00,APPROVED
CA: BAKERSFIELD,01/03/2023 17:31:00,62.00,2327.00,1218.00,349.00,175.00,114.00,132.00,75.00,26.00,APPROVED
CA: BAKERSFIELD,01/03/2023 18:31:00,58.00,2298.00,1190.00,350.00,171.00,114.00,130.00,75.00,27.00,APPROVED
CA: BAKERSFIELD,01/03/2023 19:31:00,59.00,2244.00,1156.00,341.00,160.00,113.00,128.00,72.00,26.00,APPROVED
CA: BAKERSFIELD,01/03/2023 20:31:00,60.00,2227.00,1139.00,338.00,160.00,109.00,126.00,71.00,27.00,APPROVED
CA: BAKERSFIELD,01/03/2023 21:32:00,56.00,2235.00,1133.00,341.00,162.00,111.00,122.00,71.00,26.00,APPROVED
CA: BAKERSFIELD,01/03/2023 22:32:00,58.00,2225.00,1146.00,338.00,160.00,109.00,124.00,72.00,26.00,APPROVED
CA: BAKERSFIELD,01/03/2023 23:32:00,55.00,2223.00,1133.00,339.00,160.00,109.00,124.00,71.00,26.00,APPROVED
CA: BAKERSFIELD,01/04/2023 00:32:00,59.00,2240.00,1139.00,340.00,159.00,110.00,126.00,72.00,28.00,APPROVED
CA: BAKERSFIELD,01/04/2023 02:33:00,57.00,2238.00,1145.00,336.00,161.00,110.00,125.00,70.00,27.00,APPROVED
CA: BAKERSFIELD,01/04/2023 03:33:00,58.00,2226.00,1132.00,335.00,160.00,110.00,125.00,71.00,27.00,APPROVED
