LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: EUREKA,01/12/2023 22:43:00,38.00,1411.00,916.00,286.00,148.00,93.00,104.00,67.00,31.00,APPROVED
CA: EUREKA,01/12/2023 23:44:00,40.00,1428.00,925.00,286.00,143.00,91.00,103.00,69.00,31.00,APPROVED
CA: EUREKA,01/13/2023 00:44:00,37.00,1427.00,922.00,290.00,148.00,94.00,104.00,67.00,30.00,APPROVED
CA: EUREKA,01/13/2023 01:44:00,39.00,1428.00,923.00,292.00,151.00,96.00,104.00,70.00,31.00,APPROVED
CA: EUREKA,01/13/2023 02:44:00,38.00,1439.00,934.00,292.00,148.00,96.00,103.00,71.00,31.00,APPROVED
CA: EUREKA,01/13/2023 03:44:00,39.00,1442.00,921.00,286.00,146.00,94.00,104.00,69.00,31.00,APPROVED
CA: EUREKA,01/13/2023 04:45:00,40.00,1450.00,937.00,293.00,149.00,96.00,105.00,67.00,31.00,APPROVED
CA: EUREKA,01/13/2023 05:45:00,40.00,1442.00,934.00,295.00,145.00,95.00,103.00,67.00,31.00,APPROVED
CA: EUREKA,01/13/2023 06:45:00,37.00,1455.00,940.00,298.00,147.00,92.00,103.00,67.00,31.00,APPROVED
CA: EUREKA,01/13/2023 07:45:00,40.00,1463.00,941.00,293.00,147.00,94.00,105.00,68.00,31.00,APPROVED
CA: EUREKA,01/13/2023 08:46:00,39.00,1451.00,931.00,292.00,148.00,93.00,105.00,68.00,31.00,APPROVED
CA: EUREKA,01/13/2023 09:46:00,40.00,1453.00,934.00,297.00,148.00,95.00,104.00,66.00,31.00,APPROVED
CA: EUREKA,01/13/2023 10:46:00,42.00,1512.00,987.00,307.00,154.00,94.00,111.00,70.00,32.00,APPROVED
CA: EUREKA,01/13/2023 11:46:00,43.00,1528.00,992.00,306.00,158.00,99.00,111.00,68.00,31.00,APPROVED
CA: EUREKA,01/13/2023 12:46:00,43.00,1503.00,981.00,305.00,155.00,99.00,112.00,69.00,32.00,APPROVED
CA: EUREKA,01/13/2023 13:47:00,44.00,1508.00,977.00,307.00,153.00,96.00,109.00,69.00,31.00,APPROVED
CA: EUREKA,01/13/2023 14:47:00,41.00,1504.00,984.00,305.00,157.00,97.00,110.00,70.00,33.00,APPROVED
CA: EUREKA,01/13/2023 15:47:00,39.00,1499.00,981.00,308.00,156.00,96.00,111.00,67.00,31.00,APPROVED
CA: EUREKA,01/13/2023 16:47:00,39.00,1476.00,962.00,304.00,153.00,98.00,109.00,70.00,31.00,APPROVED
CA: EUREKA,01/13/2023 17:47:00,39.00,1453.00,944.00,299.00,150.00,93.00,109.00,67.00,32.00,APPROVED
CA: EUREKA,01/13/2023 18:48:00,36.00,1434.00,920.00,290.00,146.00,93.00,105.00,67.00,30.00,APPROVED
CA: EUREKA,01/13/2023 19:48:00,36.00,1410.00,916.00,288.00,144.00,92.00,105.00,65.00,29.00,APPROVED
CA: EUREKA,01/13/2023 20:48:00,38.00,1412.00,907.00,289.00,145.00,90.00,103.00,67.00,31.00,APPROVED
CA: EUREKA,01/13/2023 21:48:00,38.00,1410.00,907.00,287.00,145.00,91.00,102.00,65.00,28.00,APPROVED
CA: EUREKA,01/13/2023 22:48:00,40.00,1407.00,907.00,287.00,141.00,92.00,103.00,65.00,30.00,APPROVED
CA: EUREKA,01/13/2023 23:49:00,40.00,1423.00,916.00,286.00,143.00,94.00,103.00,66.00,30.00,APPROVED
CA: EUREKA,01/14/2023 00:49:00,38.00,1413.00,900.00,288.00,145.00,91.00,104.00,64.00,31.00,APPROVED
