LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: LOS ANGELES,01/01/2023 00:14:00,73.00,2829.00,1681.00,498.00,261.00,182.00,193.00,122.00,32.00,APPROVED
CA: LOS ANGELES,01/01/2023 01:14:00,75.00,2809.00,1678.00,499.00,261.00,175.00,190.00,122.00,33.00,APPROVED
CA: LOS ANGELES,01/01/2023 02:14:00,75.00,2826.00,1682.00,497.00,260.00,176.00,193.00,121.00,33.00,APPROVED
CA: LOS ANGELES,01/01/2023 03:14:00,74.00,2821.00,1684.00,497.00,266.00,175.00,194.00,121.00,33.00,APPROVED
CA: LOS ANGELES,01/01/2023 04:14:00,75.00,2804.00,1667.00,496.00,259.00,177.00,193.00,119.00,33.00,APPROVED
CA: LOS ANGELES,01/01/2023 05:15:00,74.00,2812.00,1666.00,493.00,262.00,176.00,193.00,119.00,33.00,APPROVED
CA: LOS ANGELES,01/01/2023 06:15:00,75.00,2841.00,1682.00,496.00,264.00,179.00,193.00,121.00,34.00,APPROVED
CA: LOS ANGELES,01/01/2023 07:15:00,75.00,2862.00,1716.00,505.00,269.00,181.00,198.00,122.00,33.00,APPROVED
CA: LOS ANGELES,01/01/2023 08:15:00,75.00,2859.00,1715.00,509.00,268.00,180.00,201.00,124.00,33.00,APPROVED
CA: LOS ANGELES,01/01/2023 09:15:00,74.00,2857.00,1703.00,505.00,272.00,179.00,199.00,122.00,33.00,APPROVED
CA: LOS ANGELES,01/01/2023 10:16:00,76.00,2831.00,1697.00,494.00,263.00,177.00,198.00,120.00,32.00,APPROVED
CA: LOS ANGELES,01/01/2023 11:16:00,74.00,2826.00,1677.00,501.00,261.00,179.00,194.00,119.00,33.00,APPROVED
CA: LOS ANGELES,01/01/2023 12:16:00,73.00,2830.00,1698.00,498.00,264.00,177.00,198.00,119.00,32.00,APPROVED
CA: LOS ANGELES,01/01/2023 13:16:00,76.00,2856.00,1696.00,494.00,263.00,179.00,199.00,122.00,32.00,APPROVED
CA: LOS ANGELES,01/01/2023 14:16:00,76.00,2863.00,1701.00,500.00,262.00,177.00,196.00,122.00,33.00,APPROVED
CA: LOS ANGELES,01/01/2023 15:17:00,75.00,2862.00,1709.00,507.00,266.00,180.00,198.00,122.00,33.00,APPROVED
CA: LOS ANGELES,01/01/2023 16:17:00,76.00,2853.00,1702.00,502.00,264.00,178.00,199.00,121.00,33.00,APPROVED
CA: LOS ANGELES,01/01/2023 17:17:00,77.00,2861.00,1708.00,505.00,264.00,177.00,197.00,120.00,33.00,APPROVED
CA: LOS ANGELES,01/01/2023 18:17:00,77.00,2864.00,1707.00,506.00,265.00,178.00,197.00,122.00,34.00,APPROVED
CA: LOS ANGELES,01/01/2023 19:18:00,76.00,2858.00,1700.00,505.00,266.00,176.00,197.00,119.00,32.00,APPROVED
CA: LOS ANGELES,01/01/2023 20:18:00,76.00,2849.00,1708.00,507.00,264.00,179.00,201.00,124.00,34.00,APPROVED
