LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: RIVERSIDE,01/01/2023 00:58:00,,3194.00,1876.00,527.00,265.00,181.00,196.00,128.00,45.00,APPROVED
CA: RIVERSIDE,01/01/2023 01:58:00,,3191.00,1860.00,534.00,262.00,176.00,196.00,129.00,44.00,APPROVED
CA: RIVERSIDE,01/01/2023 02:59:00,,3183.00,1854.00,534.00,261.00,175.00,198.00,124.00,47.00,APPROVED
CA: RIVERSIDE,01/01/2023 03:59:00,,3169.00,1839.00,525.00,257.00,177.00,191.00,124.00,44.00,APPROVED
CA: RIVERSIDE,01/01/2023 04:59:00,,3158.00,1827.00,529.00,253.00,176.00,193.00,123.00,44.00,APPROVED
CA: RIVERSIDE,01/01/2023 05:59:00,,3171.00,1822.00,527.00,254.00,173.00,192.00,123.00,44.00,APPROVED
CA: RIVERSIDE,01/01/2023 06:59:00,,3180.00,1844.00,529.00,260.00,175.00,192.00,122.00,44.00,APPROVED
CA: RIVERSIDE,01/01/2023 08:00:00,,3201.00,1865.00,540.00,257.00,175.00,195.00,122.00,45.00,APPROVED
CA: RIVERSIDE,01/01/2023 09:00:00,,3194.00,1838.00,539.00,260.00,177.00,194.00,123.00,45.00,APPROVED
CA: RIVERSIDE,01/01/2023 10:00:00,,3192.00,1844.00,538.00,259.00,173.00,196.00,120.00,44.00,APPROVED
CA: RIVERSIDE,01/01/2023 11:00:00,,3187.00,1855.00,535.00,260.00,176.00,197.00,123.00,45.00,APPROVED
CA: RIVERSIDE,01/01/2023 12:00:00,,3187.00,1857.00,537.00,263.00,179.00,194.00,123.00,46.00,APPROVED
CA: RIVERSIDE,01/01/2023 13:01:00,,3187.00,1834.00,535.00,266.00,177.00,197.00,123.00,44.00,APPROVED
CA: RIVERSIDE,01/01/2023 14:01:00,,3162.00,1838.00,535.00,263.00,180.00,195.00,123.00,46.00,APPROVED
CA: RIVERSIDE,01/01/2023 15:01:00,,3159.00,1825.00,534.00,258.00,178.00,192.00,122.00,45.00,APPROVED
CA: RIVERSIDE,01/01/2023 16:01:00,,3178.00,1831.00,532.00,258.00,180.00,196.00,120.00,45.00,APPROVED
CA: RIVERSIDE,01/01/2023 17:01:00,,3191.00,1853.00,541.00,264.00,176.00,198.00,121.00,43.00,APPROVED
CA: RIVERSIDE,01/01/2023 18:02:00,,3199.00,1859.00,537.00,259.00,177.00,194.00,124.00,46.00,APPROVED
CA: RIVERSIDE,01/01/2023 19:02:00,,3207.00,1869.00,541.00,266.00,181.00,195.00,123.00,45.00,APPROVED
CA: RIVERSIDE,01/01/2023 20:02:00,,3201.00,1873.00,541.00,267.00,182.00,197.00,127.00,47.00,APPROVED
CA: RIVERSIDE,01/01/2023 21:02:00,,3207.00,1869.00,538.00,263.00,179.00,198.00,126.00,44.00,APPROVED
CA: RIVERSIDE,01/01/2023 22:02:00,,3213.00,1880.00,542.00,264.00,179.00,198.00,127.00,45.00,APPROVED
CA: RIVERSIDE,01/01/2023 23:03:00,,3242.00,1905.00,547.00,269.00,181.00,199.00,129.00,46.00,APPROVED
CA: RIVERSIDE,01/02/2023 00:03:00,,3221.00,1874.00,538.00,269.00,180.00,200.00,130.00,45.00,APPROVED
CA: RIVERSIDE,01/02/2023 01:03:00,,3196.00,1887.00,541.00,268.00,181.00,197.00,128.00,47.00,APPROVED
CA: RIVERSIDE,01/02/2023 02:03:00,,3197.00,1858.00,537.00,264.00,181.00,195.00,123.00,45.00,APPROVED
CA: RIVERSIDE,01/02/2023 03:03:00,,3198.00,1847.00,540.00,264.00,179.00,197.00,124.00,46.00,APPROVED
CA: RIVERSIDE,01/02/2023 04:04:00,,3181.00,1849.00,537.00,261.00,179.00,196.00,122.00,44.00,APPROVED
CA: RIVERSIDE,01/02/2023 05:04:00,,3199.00,1842.00,537.00,261.00,179.00,199.00,123.00,44.00,APPROVED
CA: RIVERSIDE,01/02/2023 06:04:00,,3177.00,1841.00,538.00,259.00,179.00,196.00,122.00,44.00,APPROVED
CA: RIVERSIDE,01/02/2023 07:04:00,,3178.00,1862.00,536.00,262.00,177.00,199.00,122.00,44.00,APPROVED
CA: RIVERSIDE,01/02/2023 08:04:00,,3189.00,1852.00,536.00,266.00,182.00,198.00,123.00,44.00,APPROVED
CA: RIVERSIDE,01/02/2023 09:05:00,,3174.00,1848.00,538.00,261.00,178.00,198.00,124.00,45.00,APPROVED
CA: RIVERSIDE,01/02/2023 10:05:00,,3181.00,1847.00,542.00,265.00,179.00,202.00,126.00,46.00,APPROVED
CA: RIVERSIDE,01/02/2023 11:05:00,,3181.00,1850.00,541.00,265.00,181.00,201.00,123.00,44.00,APPROVED
CA: RIVERSIDE,01/02/2023 12:05:00,,3190.00,1867.00,541.00,264.00,179.00,199.00,125.00,46.00,APPROVED
CA: RIVERSIDE,01/02/2023 13:05:00,,3210.00,1876.00,549.00,271.00,180.00,201.00,128.00,46.00,APPROVED
CA: RIVERSIDE,01/02/2023 14:06:00,,3196.00,1894.00,547.00,271.00,183.00,204.00,126.00,46.00,APPROVED
CA: RIVERSIDE,01/02/2023 15:06:00,,3217.00,1880.00,550.00,271.00,184.00,208.00,125.00,46.00,APPROVED
CA: RIVERSIDE,01/02/2023 16:06:00,,3219.00,1895.00,558.00,276.00,184.00,204.00,129.00,47.00,APPROVED
CA: RIVERSIDE,01/02/2023 17:06:00,,3253.00,1924.00,559.00,277.00,183.00,205.00,127.00,45.00,APPROVED
CA: RIVERSIDE,01/02/2023 18:07:00,,3276.00,1927.00,556.00,274.00,184.00,206.00,127.00,46.00,APPROVED
CA: RIVERSIDE,01/02/2023 19:07:00,,3280.00,1928.00,554.00,278.00,182.00,204.00,128.00,45.00,APPROVED
CA: RIVERSIDE,01/02/2023 20:07:00,,3246.00,1924.00,548.00,275.00,181.00,200.00,130.00,45.00,APPROVED
CA: RIVERSIDE,01/02/2023 21:07:00,,3237.00,1923.00,544.00,277.00,183.00,201.00,128.00,46.00,APPROVED
CA: RIVERSIDE,01/02/2023 22:07:00,,3236.00,1912.00,547.00,278.00,183.00,202.00,131.00,46.00,APPROVED
CA: RIVERSIDE,01/02/2023 23:08:00,,3239.00,1908.00,543.00,271.00,179.00,197.00,128.00,46.00,APPROVED
CA: RIVERSIDE,01/03/2023 00:08:00,,3233.00,1885.00,547.00,268.00,181.00,197.00,126.00,44.00,APPROVED
CA: RIVERSIDE,01/03/2023 01:08:00,,3225.00,1880.00,545.00,268.00,180.00,197.00,123.00,44.00,APPROVED
CA: RIVERSIDE,01/03/2023 02:08:00,,3271.00,1927.00,555.00,273.00,182.00,202.00,127.00,46.00,APPROVED
CA: RIVERSIDE,01/03/2023 03:08:00,,3295.00,1927.00,561.00,279.00,185.00,205.00,129.00,45.00,APPROVED
CA: RIVERSIDE,01/03/2023 04:09:00,,3291.00,1932.00,556.00,280.00,187.00,205.00,128.00,46.00,APPROVED
CA: RIVERSIDE,01/03/2023 05:09:00,,3268.00,1900.00,558.00,273.00,182.00,206.00,127.00,45.00,APPROVED
CA: RIVERSIDE,01/03/2023 06:09:00,,3238.00,1879.00,549.00,265.00,181.00,199.00,126.00,44.00,APPROVED
CA: RIVERSIDE,01/03/2023 07:09:00,,3184.00,1864.00,537.00,267.00,178.00,199.00,125.00,45.00,APPROVED
CA: RIVERSIDE,01/03/2023 08:09:00,,3206.00,1850.00,545.00,265.00,180.00,201.00,120.00,43.00,APPROVED
CA: RIVERSIDE,01/03/2023 09:10:00,,3210.00,1869.00,546.00,263.00,181.00,201.00,122.00,46.00,APPROVED
CA: RIVERSIDE,01/03/2023 10:10:00,,3202.00,1870.00,545.00,264.00,179.00,196.00,122.00,45.00,APPROVED
CA: RIVERSIDE,01/03/2023 11:10:00,,3202.00,1863.00,543.00,262.00,176.00,198.00,121.00,44.00,APPROVED
CA: RIVERSIDE,01/03/2023 12:10:00,,3174.00,1850.00,544.00,262.00,179.00,198.00,122.00,44.00,APPROVED
CA: RIVERSIDE,01/03/2023 13:10:00,,3161.00,1843.00,532.00,259.00,178.00,196.00,122.00,46.00,APPROVED
CA: RIVERSIDE,01/03/2023 14:11:00,,3144.00,1811.00,533.00,262.00,174.00,195.00,124.00,44.00,APPROVED
CA: RIVERSIDE,01/03/2023 15:11:00,,3153.00,1825.00,532.00,260.00,177.00,195.00,123.00,45.00,APPROVED
CA: RIVERSIDE,01/03/2023 16:11:00,,3141.00,1826.00,528.00,254.00,182.00,195.00,122.00,45.00,APPROVED
CA: RIVERSIDE,01/03/2023 17:11:00,,3148.00,1817.00,528.00,254.00,174.00,198.00,121.00,43.00,APPROVED
CA: RIVERSIDE,01/03/2023 18:11:00,,3148.00,1819.00,523.00,259.00,174.00,191.00,120.00,45.00,APPROVED
CA: RIVERSIDE,01/03/2023 18:49:00,,3168.00,1820.00,525.00,259.00,177.00,193.00,121.00,46.00,APPROVED
CA: RIVERSIDE,01/03/2023 19:54:00,,3166.00,1822.00,525.00,255.00,176.00,189.00,123.00,44.00,APPROVED
CA: RIVERSIDE,01/03/2023 20:54:00,,3167.00,1836.00,530.00,255.00,175.00,192.00,125.00,44.00,APPROVED
CA: RIVERSIDE,01/03/2023 21:55:00,,3162.00,1846.00,529.00,259.00,175.00,195.00,126.00,44.00,APPROVED
CA: RIVERSIDE,01/03/2023 22:55:00,,3183.00,1857.00,530.00,264.00,176.00,193.00,124.00,44.00,APPROVED
CA: RIVERSIDE,01/03/2023 23:55:00,,3162.00,1846.00,532.00,258.00,176.00,192.00,124.00,45.00,APPROVED
CA: RIVERSIDE,01/04/2023 00:55:00,,3162.00,1840.00,530.00,261.00,177.00,190.00,123.00,45.00,APPROVED
CA: RIVERSIDE,01/04/2023 01:55:00,,3195.00,1856.00,535.00,262.00,177.00,193.00,125.00,44.00,APPROVED
CA: RIVERSIDE,01/04/2023 02:56:00,,3183.00,1844.00,535.00,259.00,175.00,196.00,122.00,43.00,APPROVED
CA: RIVERSIDE,01/04/2023 03:56:00,,3166.00,1834.00,534.00,258.00,175.00,191.00,118.00,43.00,APPROVED
CA: RIVERSIDE,01/04/2023 04:56:00,,3168.00,1824.00,524.00,255.00,173.00,192.00,120.00,44.00,APPROVED
