LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SAN BERNARDINO,01/01/2023 00:28:00,,2589.00,1567.00,449.00,275.00,162.00,182.00,117.00,40.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 01:29:00,,2541.00,1519.00,440.00,263.00,161.00,175.00,113.00,39.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 02:29:00,,2548.00,1522.00,440.00,259.00,162.00,176.00,115.00,41.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 03:29:00,,2604.00,1561.00,450.00,274.00,163.00,178.00,119.00,41.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 04:29:00,,2567.00,1534.00,442.00,261.00,159.00,175.00,115.00,40.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 05:29:00,,2541.00,1519.00,439.00,267.00,160.00,173.00,115.00,40.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 06:30:00,,2595.00,1564.00,444.00,266.00,160.00,179.00,115.00,41.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 07:30:00,,2592.00,1576.00,448.00,269.00,164.00,175.00,119.00,40.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 08:30:00,,2566.00,1552.00,442.00,268.00,162.00,178.00,113.00,41.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 09:30:00,,2592.00,1555.00,444.00,269.00,163.00,181.00,117.00,41.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 10:30:00,,2598.00,1573.00,454.00,275.00,163.00,181.00,115.00,43.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 11:31:00,,2592.00,1551.00,446.00,277.00,166.00,185.00,116.00,40.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 12:31:00,,2564.00,1541.00,446.00,270.00,159.00,177.00,115.00,41.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 13:31:00,,2545.00,1524.00,441.00,267.00,161.00,176.00,115.00,41.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 14:31:00,,2545.00,1515.00,439.00,269.00,158.00,181.00,112.00,39.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 15:32:00,,2555.00,1527.00,440.00,265.00,161.00,180.00,114.00,40.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 16:32:00,,2584.00,1557.00,448.00,274.00,166.00,179.00,116.00,40.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 18:32:00,,2580.00,1557.00,448.00,273.00,163.00,181.00,119.00,42.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 19:32:00,,2586.00,1550.00,447.00,270.00,165.00,181.00,118.00,41.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 20:33:00,,2594.00,1563.00,450.00,269.00,165.00,180.00,114.00,41.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 21:33:00,,2606.00,1572.00,450.00,276.00,164.00,182.00,118.00,40.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 22:33:00,,2605.00,1562.00,449.00,272.00,163.00,181.00,119.00,39.00,APPROVED
CA: SAN BERNARDINO,01/01/2023 23:33:00,,2581.00,1539.00,450.00,267.00,164.00,181.00,116.00,40.00,APPROVED
CA: SAN BERNARDINO,01/02/2023 00:34:00,,2577.00,1553.00,440.00,270.00,163.00,179.00,116.00,40.00,APPROVED
CA: SAN BERNARDINO,01/02/2023 01:34:00,,2588.00,1552.00,445.00,272.00,165.00,182.00,115.00,42.00,APPROVED
CA: SAN BERNARDINO,01/02/2023 02:34:00,,2593.00,1545.00,447.00,270.00,160.00,181.00,115.00,41.00,APPROVED
CA: SAN BERNARDINO,01/02/2023 03:34:00,,2603.00,1547.00,446.00,267.00,164.00,178.00,117.00,43.00,APPROVED
CA: SAN BERNARDINO,01/02/2023 04:34:00,,2606.00,1553.00,451.00,270.00,163.00,182.00,118.00,41.00,APPROVED
CA: SAN BERNARDINO,01/02/2023 05:35:00,,2614.00,1578.00,451.00,273.00,168.00,182.00,116.00,41.00,APPROVED
CA: SAN BERNARDINO,01/02/2023 06:35:00,,2625.00,1586.00,456.00,275.00,163.00,183.00,118.00,40.00,APPROVED
CA: SAN BERNARDINO,01/02/2023 07:35:00,,2631.00,1570.00,456.00,275.00,165.00,184.00,115.00,40.00,APPROVED
CA: SAN BERNARDINO,01/02/2023 08:35:00,,2617.00,1570.00,444.00,274.00,163.00,182.00,117.00,41.00,APPROVED
CA: SAN BERNARDINO,01/02/2023 09:35:00,,2601.00,1570.00,450.00,270.00,164.00,181.00,117.00,41.00,APPROVED
