LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SAN FRANCISCO,01/11/2023 21:10:00,66.00,868.00,506.00,161.00,88.00,66.00,74.00,44.00,23.00,APPROVED
CA: SAN FRANCISCO,01/11/2023 22:10:00,67.00,876.00,509.00,159.00,87.00,66.00,73.00,44.00,22.00,APPROVED
CA: SAN FRANCISCO,01/11/2023 23:11:00,68.00,882.00,525.00,166.00,90.00,68.00,75.00,44.00,22.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 00:11:00,68.00,872.00,513.00,166.00,90.00,66.00,75.00,44.00,22.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 01:11:00,63.00,867.00,508.00,164.00,89.00,67.00,74.00,45.00,21.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 02:11:00,68.00,846.00,489.00,157.00,86.00,64.00,69.00,44.00,23.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 03:12:00,67.00,820.00,468.00,151.00,79.00,63.00,69.00,43.00,21.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 04:12:00,67.00,816.00,470.00,153.00,82.00,63.00,67.00,40.00,21.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 05:12:00,68.00,810.00,459.00,146.00,80.00,63.00,67.00,41.00,20.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 06:12:00,69.00,803.00,455.00,145.00,79.00,62.00,68.00,40.00,21.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 07:12:00,70.00,807.00,458.00,149.00,77.00,64.00,67.00,40.00,20.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 08:13:00,64.00,805.00,453.00,148.00,77.00,62.00,67.00,41.00,21.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 09:13:00,71.00,813.00,455.00,146.00,79.00,62.00,66.00,39.00,21.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 10:13:00,73.00,830.00,475.00,152.00,81.00,63.00,69.00,42.00,21.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 11:13:00,68.00,835.00,482.00,155.00,82.00,63.00,70.00,40.00,22.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 12:13:00,72.00,840.00,483.00,154.00,84.00,66.00,68.00,41.00,21.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 13:14:00,68.00,833.00,487.00,156.00,84.00,66.00,70.00,43.00,21.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 14:14:00,66.00,839.00,492.00,159.00,86.00,63.00,70.00,43.00,22.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 15:14:00,69.00,859.00,496.00,161.00,84.00,64.00,72.00,43.00,22.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 16:14:00,69.00,870.00,512.00,164.00,89.00,66.00,74.00,44.00,22.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 17:14:00,70.00,881.00,514.00,162.00,88.00,68.00,75.00,45.00,22.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 18:15:00,71.00,881.00,516.00,161.00,89.00,65.00,74.00,44.00,21.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 19:15:00,72.00,879.00,509.00,161.00,90.00,67.00,73.00,45.00,23.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 20:15:00,75.00,883.00,519.00,166.00,88.00,66.00,73.00,43.00,22.00,APPROVED
CA: SAN FRANCISCO,01/12/2023 21:15:00,77.00,879.00,518.00,161.00,88.00,66.00,73.00,43.00,22.00,APPROVED
