LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
CA: SAN JOSE,01/01/2023 00:06:00,45.00,1600.00,950.00,278.00,130.00,92.00,151.00,33.00,35.00,APPROVED
CA: SAN JOSE,01/01/2023 01:07:00,48.00,1685.00,1022.00,291.00,136.00,97.00,155.00,33.00,33.00,APPROVED
CA: SAN JOSE,01/01/2023 02:07:00,51.00,1662.00,1009.00,296.00,140.00,104.00,157.00,33.00,34.00,APPROVED
CA: SAN JOSE,01/01/2023 03:07:00,46.00,1641.00,984.00,288.00,139.00,101.00,152.00,34.00,34.00,APPROVED
CA: SAN JOSE,01/01/2023 04:07:00,47.00,1639.00,994.00,286.00,143.00,97.00,155.00,35.00,36.00,APPROVED
CA: SAN JOSE,01/01/2023 05:07:00,49.00,1578.00,973.00,268.00,148.00,89.00,156.00,32.00,50.00,APPROVED
CA: SAN JOSE,01/01/2023 06:08:00,44.00,1556.00,970.00,255.00,147.00,86.00,154.00,25.00,55.00,APPROVED
CA: SAN JOSE,01/01/2023 07:08:00,45.00,1541.00,956.00,259.00,141.00,84.00,150.00,24.00,53.00,APPROVED
CA: SAN JOSE,01/01/2023 08:08:00,43.00,1563.00,970.00,257.00,146.00,83.00,152.00,24.00,53.00,APPROVED
CA: SAN JOSE,01/01/2023 09:08:00,46.00,1621.00,1031.00,278.00,161.00,89.00,160.00,24.00,54.00,APPROVED
CA: SAN JOSE,01/01/2023 10:08:00,45.00,1571.00,975.00,265.00,152.00,89.00,155.00,29.00,48.00,APPROVED
CA: SAN JOSE,01/01/2023 11:09:00,43.00,1541.00,938.00,258.00,140.00,85.00,151.00,32.00,42.00,APPROVED
CA: SAN JOSE,01/01/2023 12:09:00,44.00,1547.00,926.00,261.00,136.00,88.00,146.00,36.00,36.00,APPROVED
CA: SAN JOSE,01/01/2023 13:09:00,42.00,1551.00,926.00,265.00,135.00,88.00,147.00,34.00,36.00,APPROVED
CA: SAN JOSE,01/01/2023 14:09:00,43.00,1560.00,936.00,266.00,135.00,92.00,148.00,36.00,38.00,APPROVED
CA: SAN JOSE,01/01/2023 15:09:00,42.00,1567.00,923.00,267.00,132.00,92.00,147.00,36.00,36.00,APPROVED
CA: SAN JOSE,01/01/2023 16:10:00,44.00,1575.00,969.00,262.00,148.00,89.00,151.00,29.00,49.00,APPROVED
CA: SAN JOSE,01/01/2023 17:10:00,43.00,1572.00,984.00,260.00,150.00,88.00,154.00,25.00,54.00,APPROVED
CA: SAN JOSE,01/01/2023 18:10:00,46.00,1582.00,994.00,262.00,154.00,88.00,156.00,24.00,54.00,APPROVED
CA: SAN JOSE,01/01/2023 19:10:00,44.00,1583.00,1003.00,267.00,155.00,89.00,157.00,25.00,54.00,APPROVED
CA: SAN JOSE,01/01/2023 20:10:00,45.00,1578.00,1010.00,260.00,153.00,87.00,159.00,25.00,52.00,APPROVED
CA: SAN JOSE,01/01/2023 21:11:00,44.00,1566.00,995.00,262.00,156.00,86.00,158.00,24.00,56.00,APPROVED
CA: SAN JOSE,01/01/2023 22:11:00,43.00,1544.00,925.00,254.00,136.00,84.00,150.00,33.00,41.00,APPROVED
CA: SAN JOSE,01/01/2023 23:11:00,41.00,1534.00,895.00,253.00,125.00,86.00,147.00,35.00,36.00,APPROVED
CA: SAN JOSE,01/02/2023 00:11:00,44.00,1522.00,885.00,258.00,120.00,85.00,149.00,33.00,35.00,APPROVED
CA: SAN JOSE,01/02/2023 01:12:00,44.00,1524.00,874.00,253.00,119.00,83.00,146.00,32.00,34.00,APPROVED
CA: SAN JOSE,01/02/2023 02:12:00,42.00,1533.00,894.00,257.00,133.00,85.00,148.00,35.00,37.00,APPROVED
CA: SAN JOSE,01/02/2023 03:12:00,43.00,1533.00,925.00,256.00,138.00,85.00,149.00,32.00,43.00,APPROVED
CA: SAN JOSE,01/02/2023 04:12:00,43.00,1548.00,964.00,256.00,150.00,88.00,151.00,25.00,52.00,APPROVED
CA: SAN JOSE,01/02/2023 05:12:00,44.00,1551.00,964.00,257.00,147.00,87.00,155.00,24.00,54.00,APPROVED
CA: SAN JOSE,01/02/2023 06:13:00,44.00,1544.00,954.00,255.00,143.00,87.00,151.00,25.00,52.00,APPROVED
CA: SAN JOSE,01/02/2023 07:13:00,42.00,1532.00,953.00,256.00,142.00,86.00,150.00,25.00,51.00,APPROVED
CA: SAN JOSE,01/02/2023 08:13:00,42.00,1543.00,921.00,254.00,133.00,85.00,146.00,33.00,40.00,APPROVED
CA: SAN JOSE,01/02/2023 09:13:00,43.00,1542.00,934.00,255.00,137.00,83.00,148.00,30.00,44.00,APPROVED
CA: SAN JOSE,01/02/2023 10:13:00,42.00,1560.00,965.00,254.00,146.00,88.00,153.00,26.00,53.00,APPROVED
CA: SAN JOSE,01/02/2023 11:14:00,44.00,1576.00,992.00,261.00,151.00,88.00,154.00,25.00,55.00,APPROVED
CA: SAN JOSE,01/02/2023 12:14:00,43.00,1583.00,999.00,262.00,152.00,90.00,154.00,25.00,53.00,APPROVED
CA: SAN JOSE,01/02/2023 13:14:00,43.00,1600.00,1017.00,267.00,156.00,91.00,157.00,26.00,51.00,APPROVED
CA: SAN JOSE,01/02/2023 14:14:00,45.00,1589.00,960.00,264.00,145.00,88.00,150.00,35.00,39.00,APPROVED
CA: SAN JOSE,01/02/2023 15:14:00,43.00,1588.00,981.00,261.00,151.00,88.00,156.00,31.00,47.00,APPROVED
CA: SAN JOSE,01/02/2023 16:15:00,44.00,1599.00,1002.00,265.00,156.00,90.00,155.00,27.00,53.00,APPROVED
CA: SAN JOSE,01/02/2023 17:15:00,44.00,1605.00,1013.00,265.00,157.00,89.00,158.00,26.00,55.00,APPROVED
CA: SAN JOSE,01/02/2023 18:15:00,44.00,1601.00,1019.00,266.00,160.00,89.00,160.00,25.00,54.00,APPROVED
CA: SAN JOSE,01/02/2023 19:15:00,42.00,1613.00,1020.00,271.00,160.00,92.00,161.00,24.00,54.00,APPROVED
CA: SAN JOSE,01/02/2023 20:15:00,44.00,1612.00,1020.00,267.00,162.00,91.00,157.00,24.00,53.00,APPROVED
CA: SAN JOSE,01/02/2023 21:16:00,44.00,1611.00,1031.00,271.00,159.00,91.00,156.00,24.00,56.00,APPROVED
CA: SAN JOSE,01/02/2023 22:16:00,44.00,1609.00,1027.00,269.00,161.00,89.00,160.00,24.00,53.00,APPROVED
CA: SAN JOSE,01/02/2023 23:16:00,44.00,1618.00,1017.00,275.00,159.00,91.00,160.00,30.00,47.00,APPROVED
CA: SAN JOSE,01/03/2023 00:16:00,45.00,1608.00,962.00,281.00,137.00,95.00,154.00,36.00,34.00,APPROVED
CA: SAN JOSE,01/03/2023 01:16:00,45.00,1606.00,983.00,276.00,141.00,96.00,152.00,35.00,37.00,APPROVED
CA: SAN JOSE,01/03/2023 02:17:00,45.00,1611.00,1015.00,274.00,156.00,91.00,157.00,30.00,50.00,APPROVED
CA: SAN JOSE,01/03/2023 03:17:00,44.00,1610.00,974.00,269.00,142.00,92.00,148.00,35.00,38.00,APPROVED
CA: SAN JOSE,01/03/2023 04:17:00,44.00,1610.00,1003.00,273.00,152.00,93.00,156.00,34.00,45.00,APPROVED
CA: SAN JOSE,01/03/2023 05:17:00,45.00,1637.00,1048.00,274.00,162.00,90.00,160.00,31.00,51.00,APPROVED
CA: SAN JOSE,01/03/2023 06:18:00,45.00,1605.00,980.00,275.00,147.00,91.00,154.00,36.00,37.00,APPROVED
CA: SAN JOSE,01/03/2023 07:18:00,43.00,1585.00,946.00,276.00,133.00,96.00,148.00,34.00,36.00,APPROVED
CA: SAN JOSE,01/03/2023 08:18:00,45.00,1570.00,945.00,272.00,133.00,95.00,150.00,36.00,35.00,APPROVED
