LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
FL: TALLAHASSEE,01/01/2023 00:13:00,51.00,2084.00,1146.00,336.00,171.00,101.00,105.00,63.00,35.00,APPROVED
FL: TALLAHASSEE,01/01/2023 01:13:00,52.00,2087.00,1162.00,346.00,178.00,101.00,109.00,64.00,35.00,APPROVED
FL: TALLAHASSEE,01/01/2023 02:13:00,50.00,2116.00,1193.00,350.00,183.00,106.00,110.00,64.00,37.00,APPROVED
FL: TALLAHASSEE,01/01/2023 03:14:00,52.00,2147.00,1234.00,365.00,192.00,106.00,118.00,67.00,38.00,APPROVED
FL: TALLAHASSEE,01/01/2023 04:14:00,50.00,2186.00,1284.00,379.00,203.00,115.00,129.00,72.00,40.00,APPROVED
FL: TALLAHASSEE,01/01/2023 05:14:00,53.00,2203.00,1322.00,395.00,220.00,119.00,133.00,76.00,40.00,APPROVED
FL: TALLAHASSEE,01/01/2023 06:14:00,51.00,2242.00,1376.00,409.00,228.00,120.00,141.00,79.00,42.00,APPROVED
FL: TALLAHASSEE,01/01/2023 07:15:00,50.00,2244.00,1352.00,403.00,227.00,123.00,140.00,79.00,42.00,APPROVED
FL: TALLAHASSEE,01/01/2023 08:15:00,52.00,2210.00,1330.00,396.00,220.00,117.00,136.00,77.00,40.00,APPROVED
FL: TALLAHASSEE,01/01/2023 09:15:00,53.00,2214.00,1334.00,398.00,217.00,118.00,133.00,74.00,42.00,APPROVED
FL: TALLAHASSEE,01/01/2023 10:15:00,54.00,2251.00,1360.00,404.00,223.00,120.00,139.00,81.00,42.00,APPROVED
FL: TALLAHASSEE,01/01/2023 11:15:00,51.00,2295.00,1390.00,414.00,227.00,124.00,142.00,78.00,40.00,APPROVED
FL: TALLAHASSEE,01/01/2023 12:16:00,54.00,2324.00,1421.00,423.00,232.00,125.00,145.00,81.00,43.00,APPROVED
FL: TALLAHASSEE,01/01/2023 13:16:00,54.00,2301.00,1408.00,421.00,235.00,128.00,143.00,82.00,42.00,APPROVED
FL: TALLAHASSEE,01/01/2023 14:16:00,53.00,2265.00,1389.00,416.00,232.00,125.00,143.00,82.00,42.00,APPROVED
FL: TALLAHASSEE,01/01/2023 15:16:00,53.00,2201.00,1288.00,386.00,204.00,113.00,127.00,75.00,40.00,APPROVED
