LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
GA: ATLANTA,01/05/2023 16:00:00,93.00,2604.00,1269.00,400.00,201.00,137.00,173.00,56.00,37.00,APPROVED
GA: ATLANTA,01/05/2023 17:01:00,97.00,2646.00,1288.00,403.00,209.00,144.00,181.00,58.00,37.00,APPROVED
GA: ATLANTA,01/05/2023 18:01:00,89.00,2623.00,1287.00,405.00,208.00,140.00,180.00,57.00,36.00,APPROVED
GA: ATLANTA,01/05/2023 19:01:00,80.00,2625.00,1284.00,401.00,208.00,137.00,178.00,58.00,36.00,APPROVED
GA: ATLANTA,01/05/2023 20:01:00,81.00,2641.00,1284.00,412.00,211.00,140.00,179.00,59.00,37.00,APPROVED
GA: ATLANTA,01/05/2023 21:01:00,79.00,2636.00,1289.00,410.00,209.00,141.00,180.00,60.00,36.00,APPROVED
GA: ATLANTA,01/05/2023 22:02:00,78.00,2637.00,1286.00,415.00,210.00,142.00,182.00,58.00,36.00,APPROVED
GA: ATLANTA,01/05/2023 23:02:00,77.00,2630.00,1293.00,409.00,211.00,141.00,179.00,58.00,38.00,APPROVED
GA: ATLANTA,01/06/2023 00:02:00,75.00,2649.00,1293.00,410.00,207.00,145.00,181.00,57.00,37.00,APPROVED
GA: ATLANTA,01/06/2023 01:02:00,72.00,2649.00,1304.00,411.00,210.00,142.00,182.00,58.00,37.00,APPROVED
GA: ATLANTA,01/06/2023 02:03:00,72.00,2650.00,1305.00,410.00,208.00,145.00,184.00,57.00,36.00,APPROVED
GA: ATLANTA,01/06/2023 03:03:00,74.00,2644.00,1301.00,411.00,206.00,139.00,179.00,58.00,35.00,APPROVED
GA: ATLANTA,01/06/2023 04:03:00,75.00,2648.00,1301.00,405.00,209.00,142.00,180.00,57.00,37.00,APPROVED
GA: ATLANTA,01/06/2023 05:03:00,75.00,2655.00,1304.00,411.00,211.00,139.00,183.00,58.00,37.00,APPROVED
GA: ATLANTA,01/06/2023 06:03:00,75.00,2640.00,1292.00,408.00,209.00,140.00,182.00,57.00,37.00,APPROVED
GA: ATLANTA,01/06/2023 07:04:00,74.00,2634.00,1292.00,406.00,210.00,145.00,182.00,56.00,38.00,APPROVED
GA: ATLANTA,01/06/2023 08:04:00,74.00,2627.00,1294.00,410.00,210.00,143.00,180.00,58.00,36.00,APPROVED
GA: ATLANTA,01/06/2023 09:04:00,77.00,2636.00,1286.00,405.00,208.00,140.00,182.00,57.00,36.00,APPROVED
GA: ATLANTA,01/06/2023 10:04:00,75.00,2635.00,1294.00,403.00,211.00,143.00,180.00,57.00,38.00,APPROVED
GA: ATLANTA,01/06/2023 11:04:00,76.00,2640.00,1310.00,405.00,208.00,143.00,187.00,57.00,36.00,APPROVED
GA: ATLANTA,01/06/2023 12:05:00,78.00,2639.00,1302.00,408.00,205.00,143.00,180.00,56.00,38.00,APPROVED
GA: ATLANTA,01/06/2023 13:05:00,79.00,2681.00,1301.00,408.00,209.00,143.00,180.00,54.00,38.00,APPROVED
GA: ATLANTA,01/06/2023 14:05:00,76.00,2678.00,1300.00,409.00,208.00,142.00,180.00,57.00,36.00,APPROVED
GA: ATLANTA,01/06/2023 15:05:00,79.00,2686.00,1314.00,407.00,212.00,143.00,185.00,57.00,37.00,APPROVED
GA: ATLANTA,01/06/2023 16:05:00,78.00,2684.00,1309.00,414.00,206.00,144.00,182.00,57.00,37.00,APPROVED
GA: ATLANTA,01/06/2023 17:06:00,78.00,2642.00,1290.00,412.00,209.00,141.00,181.00,56.00,37.00,APPROVED
GA: ATLANTA,01/06/2023 18:06:00,76.00,2644.00,1305.00,411.00,208.00,140.00,178.00,58.00,37.00,APPROVED
GA: ATLANTA,01/06/2023 19:06:00,76.00,2644.00,1289.00,406.00,209.00,140.00,181.00,59.00,38.00,APPROVED
GA: ATLANTA,01/06/2023 20:06:00,76.00,2630.00,1281.00,402.00,211.00,143.00,177.00,57.00,36.00,APPROVED
GA: ATLANTA,01/06/2023 21:06:00,74.00,2603.00,1271.00,404.00,205.00,139.00,176.00,56.00,39.00,APPROVED
GA: ATLANTA,01/06/2023 22:07:00,73.00,2613.00,1278.00,402.00,208.00,140.00,176.00,59.00,36.00,APPROVED
GA: ATLANTA,01/06/2023 23:07:00,73.00,2617.00,1285.00,403.00,205.00,141.00,179.00,56.00,37.00,APPROVED
GA: ATLANTA,01/07/2023 00:07:00,75.00,2626.00,1290.00,401.00,205.00,141.00,178.00,57.00,36.00,APPROVED
GA: ATLANTA,01/07/2023 01:07:00,79.00,2620.00,1292.00,404.00,205.00,140.00,181.00,57.00,37.00,APPROVED
GA: ATLANTA,01/07/2023 02:07:00,82.00,2590.00,1267.00,402.00,206.00,137.00,177.00,57.00,36.00,APPROVED
GA: ATLANTA,01/07/2023 03:08:00,75.00,2610.00,1266.00,401.00,205.00,137.00,177.00,56.00,37.00,APPROVED
GA: ATLANTA,01/07/2023 04:08:00,77.00,2604.00,1274.00,401.00,209.00,139.00,177.00,56.00,37.00,APPROVED
GA: ATLANTA,01/07/2023 05:08:00,78.00,2608.00,1284.00,404.00,206.00,137.00,177.00,56.00,37.00,APPROVED
GA: ATLANTA,01/07/2023 06:08:00,77.00,2623.00,1281.00,400.00,205.00,139.00,183.00,57.00,37.00,APPROVED
GA: ATLANTA,01/07/2023 07:09:00,80.00,2640.00,1284.00,398.00,207.00,143.00,180.00,55.00,36.00,APPROVED
GA: ATLANTA,01/07/2023 08:09:00,78.00,2614.00,1276.00,409.00,206.00,140.00,180.00,55.00,37.00,APPROVED
GA: ATLANTA,01/07/2023 09:09:00,80.00,2610.00,1266.00,402.00,207.00,138.00,178.00,56.00,38.00,APPROVED
GA: ATLANTA,01/07/2023 10:09:00,78.00,2617.00,1286.00,405.00,210.00,139.00,179.00,55.00,36.00,APPROVED
GA: ATLANTA,01/07/2023 11:09:00,78.00,2615.00,1278.00,403.00,204.00,140.00,178.00,56.00,37.00,APPROVED
GA: ATLANTA,01/07/2023 12:10:00,78.00,2620.00,1282.00,401.00,207.00,138.00,178.00,56.00,38.00,APPROVED
GA: ATLANTA,01/07/2023 13:10:00,80.00,2627.00,1292.00,409.00,206.00,142.00,181.00,57.00,36.00,APPROVED
GA: ATLANTA,01/07/2023 14:10:00,78.00,2627.00,1301.00,398.00,205.00,142.00,182.00,56.00,37.00,APPROVED
GA: ATLANTA,01/07/2023 15:10:00,80.00,2625.00,1291.00,404.00,206.00,139.00,179.00,56.00,37.00,APPROVED
GA: ATLANTA,01/07/2023 16:10:00,83.00,2640.00,1280.00,413.00,209.00,140.00,180.00,57.00,38.00,APPROVED
