LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
IA: MASON CITY,01/07/2023 01:42:00,,2401.00,1566.00,519.00,250.00,166.00,239.00,91.00,48.00,APPROVED
IA: MASON CITY,01/07/2023 02:43:00,,2441.00,1657.00,508.00,290.00,173.00,235.00,122.00,47.00,APPROVED
IA: MASON CITY,01/07/2023 03:43:00,,2447.00,1688.00,520.00,301.00,175.00,236.00,124.00,49.00,APPROVED
IA: MASON CITY,01/07/2023 04:43:00,,2466.00,1726.00,533.00,309.00,181.00,250.00,125.00,49.00,APPROVED
IA: MASON CITY,01/07/2023 05:43:00,,2535.00,1776.00,546.00,322.00,182.00,252.00,128.00,47.00,APPROVED
IA: MASON CITY,01/07/2023 06:44:00,,2558.00,1801.00,559.00,327.00,186.00,258.00,128.00,49.00,APPROVED
IA: MASON CITY,01/07/2023 07:44:00,,2560.00,1816.00,570.00,318.00,188.00,265.00,129.00,49.00,APPROVED
IA: MASON CITY,01/07/2023 08:44:00,,2576.00,1831.00,561.00,329.00,188.00,260.00,130.00,50.00,APPROVED
IA: MASON CITY,01/07/2023 09:44:00,,2548.00,1794.00,555.00,322.00,185.00,257.00,127.00,50.00,APPROVED
IA: MASON CITY,01/07/2023 10:44:00,,2541.00,1793.00,563.00,316.00,183.00,254.00,126.00,49.00,APPROVED
IA: MASON CITY,01/07/2023 11:45:00,,2540.00,1804.00,563.00,321.00,187.00,258.00,130.00,50.00,APPROVED
IA: MASON CITY,01/07/2023 12:45:00,,2575.00,1810.00,573.00,313.00,187.00,263.00,127.00,50.00,APPROVED
IA: MASON CITY,01/07/2023 13:45:00,,2564.00,1798.00,567.00,319.00,182.00,262.00,130.00,50.00,APPROVED
IA: MASON CITY,01/07/2023 14:45:00,,2503.00,1748.00,552.00,306.00,182.00,250.00,126.00,49.00,APPROVED
IA: MASON CITY,01/07/2023 15:45:00,,2470.00,1704.00,538.00,298.00,177.00,242.00,118.00,49.00,APPROVED
IA: MASON CITY,01/07/2023 16:46:00,,2404.00,1646.00,509.00,292.00,170.00,234.00,121.00,48.00,APPROVED
IA: MASON CITY,01/07/2023 18:46:00,,2378.00,1599.00,474.00,291.00,166.00,222.00,122.00,48.00,APPROVED
IA: MASON CITY,01/07/2023 19:46:00,,2370.00,1600.00,474.00,292.00,162.00,219.00,120.00,46.00,APPROVED
IA: MASON CITY,01/07/2023 20:47:00,,2378.00,1612.00,475.00,294.00,164.00,221.00,125.00,47.00,APPROVED
IA: MASON CITY,01/07/2023 21:47:00,,2319.00,1548.00,461.00,285.00,162.00,214.00,118.00,45.00,APPROVED
IA: MASON CITY,01/07/2023 22:47:00,,2267.00,1509.00,454.00,274.00,155.00,205.00,114.00,46.00,APPROVED
IA: MASON CITY,01/07/2023 23:47:00,,2286.00,1517.00,457.00,269.00,159.00,209.00,115.00,45.00,APPROVED
IA: MASON CITY,01/08/2023 00:47:00,,2327.00,1531.00,456.00,274.00,158.00,210.00,115.00,45.00,APPROVED
IA: MASON CITY,01/08/2023 01:48:00,,2315.00,1527.00,462.00,269.00,158.00,213.00,113.00,47.00,APPROVED
IA: MASON CITY,01/08/2023 02:48:00,,2333.00,1562.00,462.00,275.00,160.00,210.00,115.00,46.00,APPROVED
IA: MASON CITY,01/08/2023 03:48:00,,2377.00,1599.00,481.00,280.00,161.00,220.00,118.00,46.00,APPROVED
IA: MASON CITY,01/08/2023 04:48:00,,2425.00,1647.00,497.00,294.00,167.00,227.00,122.00,45.00,APPROVED
IA: MASON CITY,01/08/2023 05:49:00,,2433.00,1651.00,503.00,295.00,170.00,227.00,122.00,44.00,APPROVED
IA: MASON CITY,01/08/2023 06:49:00,,2435.00,1665.00,507.00,300.00,173.00,231.00,122.00,47.00,APPROVED
IA: MASON CITY,01/08/2023 08:49:00,,2430.00,1688.00,516.00,310.00,177.00,238.00,127.00,48.00,APPROVED
