LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
ID: BOISE,01/01/2023 00:23:00,,2741.00,1631.00,421.00,228.00,123.00,151.00,88.00,33.00,APPROVED
ID: BOISE,01/01/2023 01:23:00,,2790.00,1660.00,421.00,230.00,122.00,150.00,91.00,35.00,APPROVED
ID: BOISE,01/01/2023 02:23:00,,2846.00,1695.00,434.00,240.00,126.00,155.00,91.00,35.00,APPROVED
ID: BOISE,01/01/2023 03:23:00,,2893.00,1672.00,442.00,238.00,126.00,153.00,89.00,30.00,APPROVED
ID: BOISE,01/01/2023 04:24:00,,2918.00,1694.00,448.00,238.00,128.00,154.00,91.00,31.00,APPROVED
ID: BOISE,01/01/2023 05:24:00,,2920.00,1698.00,445.00,240.00,128.00,153.00,88.00,29.00,APPROVED
ID: BOISE,01/01/2023 06:24:00,,2908.00,1683.00,444.00,237.00,131.00,153.00,92.00,32.00,APPROVED
ID: BOISE,01/01/2023 07:24:00,,2925.00,1694.00,441.00,237.00,130.00,149.00,87.00,31.00,APPROVED
ID: BOISE,01/01/2023 08:25:00,,2951.00,1705.00,452.00,235.00,130.00,151.00,90.00,32.00,APPROVED
ID: BOISE,01/01/2023 09:25:00,,2919.00,1713.00,446.00,235.00,129.00,153.00,89.00,31.00,APPROVED
ID: BOISE,01/01/2023 10:25:00,,2914.00,1671.00,443.00,229.00,127.00,150.00,90.00,31.00,APPROVED
ID: BOISE,01/01/2023 11:25:00,,2932.00,1682.00,443.00,231.00,127.00,148.00,88.00,31.00,APPROVED
ID: BOISE,01/01/2023 12:25:00,,2918.00,1687.00,441.00,231.00,126.00,146.00,88.00,32.00,APPROVED
ID: BOISE,01/01/2023 13:26:00,,2920.00,1670.00,439.00,227.00,130.00,148.00,88.00,30.00,APPROVED
ID: BOISE,01/01/2023 14:26:00,,2918.00,1661.00,441.00,226.00,125.00,146.00,87.00,30.00,APPROVED
ID: BOISE,01/01/2023 15:26:00,,2894.00,1658.00,441.00,225.00,127.00,149.00,87.00,30.00,APPROVED
ID: BOISE,01/01/2023 16:26:00,,2890.00,1661.00,436.00,224.00,126.00,147.00,87.00,31.00,APPROVED
ID: BOISE,01/01/2023 17:26:00,,2908.00,1661.00,441.00,227.00,125.00,146.00,86.00,31.00,APPROVED
ID: BOISE,01/01/2023 18:27:00,,2895.00,1649.00,435.00,226.00,127.00,147.00,87.00,30.00,APPROVED
ID: BOISE,01/01/2023 19:27:00,,2871.00,1633.00,432.00,221.00,124.00,144.00,86.00,30.00,APPROVED
ID: BOISE,01/01/2023 20:27:00,,2852.00,1610.00,428.00,220.00,122.00,140.00,84.00,31.00,APPROVED
ID: BOISE,01/01/2023 21:27:00,,2834.00,1582.00,429.00,212.00,123.00,141.00,82.00,29.00,APPROVED
ID: BOISE,01/01/2023 22:28:00,,2754.00,1534.00,419.00,206.00,118.00,139.00,82.00,28.00,APPROVED
ID: BOISE,01/01/2023 23:28:00,,2675.00,1492.00,404.00,200.00,119.00,135.00,80.00,28.00,APPROVED
ID: BOISE,01/02/2023 00:28:00,,2660.00,1475.00,399.00,193.00,116.00,129.00,77.00,28.00,APPROVED
ID: BOISE,01/02/2023 01:28:00,,2688.00,1474.00,401.00,191.00,116.00,128.00,76.00,28.00,APPROVED
ID: BOISE,01/02/2023 02:28:00,,2746.00,1503.00,397.00,192.00,114.00,130.00,75.00,27.00,APPROVED
ID: BOISE,01/02/2023 03:29:00,,2771.00,1505.00,398.00,196.00,117.00,128.00,77.00,28.00,APPROVED
ID: BOISE,01/02/2023 04:29:00,,2767.00,1526.00,402.00,197.00,114.00,125.00,78.00,26.00,APPROVED
ID: BOISE,01/02/2023 05:29:00,,2783.00,1528.00,403.00,195.00,114.00,130.00,80.00,27.00,APPROVED
ID: BOISE,01/02/2023 06:29:00,,2798.00,1544.00,408.00,195.00,116.00,129.00,78.00,28.00,APPROVED
ID: BOISE,01/02/2023 07:30:00,,2792.00,1543.00,407.00,199.00,118.00,127.00,80.00,28.00,APPROVED
ID: BOISE,01/02/2023 08:30:00,,2796.00,1554.00,411.00,199.00,115.00,131.00,77.00,27.00,APPROVED
ID: BOISE,01/02/2023 09:30:00,,2805.00,1543.00,410.00,202.00,119.00,130.00,79.00,29.00,APPROVED
ID: BOISE,01/02/2023 10:30:00,,2809.00,1564.00,406.00,202.00,116.00,129.00,82.00,29.00,APPROVED
ID: BOISE,01/02/2023 11:30:00,,2853.00,1586.00,419.00,205.00,115.00,132.00,79.00,30.00,APPROVED
ID: BOISE,01/02/2023 12:31:00,,2902.00,1623.00,425.00,214.00,120.00,138.00,81.00,29.00,APPROVED
ID: BOISE,01/02/2023 13:31:00,,2939.00,1661.00,431.00,223.00,123.00,141.00,84.00,31.00,APPROVED
ID: BOISE,01/02/2023 14:31:00,,2998.00,1718.00,444.00,228.00,126.00,144.00,86.00,31.00,APPROVED
ID: BOISE,01/02/2023 15:31:00,,2993.00,1733.00,450.00,231.00,128.00,151.00,90.00,32.00,APPROVED
ID: BOISE,01/02/2023 16:32:00,,3017.00,1747.00,454.00,235.00,129.00,151.00,90.00,31.00,APPROVED
ID: BOISE,01/02/2023 17:32:00,,3036.00,1749.00,452.00,233.00,128.00,151.00,88.00,30.00,APPROVED
ID: BOISE,01/02/2023 18:32:00,,3035.00,1769.00,459.00,240.00,134.00,156.00,92.00,32.00,APPROVED
ID: BOISE,01/02/2023 19:32:00,,3087.00,1853.00,486.00,260.00,140.00,167.00,97.00,34.00,APPROVED
ID: BOISE,01/02/2023 20:32:00,,3156.00,1904.00,499.00,282.00,142.00,176.00,100.00,35.00,APPROVED
ID: BOISE,01/02/2023 21:33:00,,3120.00,1882.00,497.00,273.00,145.00,177.00,101.00,35.00,APPROVED
ID: BOISE,01/02/2023 22:33:00,,3010.00,1775.00,472.00,251.00,137.00,166.00,95.00,34.00,APPROVED
ID: BOISE,01/02/2023 23:33:00,,2930.00,1699.00,453.00,235.00,132.00,154.00,89.00,31.00,APPROVED
ID: BOISE,01/03/2023 00:33:00,,2907.00,1669.00,444.00,225.00,127.00,148.00,87.00,30.00,APPROVED
ID: BOISE,01/03/2023 01:34:00,,2898.00,1657.00,436.00,223.00,124.00,146.00,88.00,30.00,APPROVED
ID: BOISE,01/03/2023 02:34:00,,2855.00,1613.00,422.00,216.00,123.00,137.00,83.00,29.00,APPROVED
ID: BOISE,01/03/2023 03:34:00,,2822.00,1590.00,419.00,209.00,123.00,137.00,82.00,29.00,APPROVED
ID: BOISE,01/03/2023 04:34:00,,2834.00,1584.00,419.00,209.00,120.00,136.00,79.00,30.00,APPROVED
ID: BOISE,01/03/2023 05:34:00,,2861.00,1620.00,427.00,214.00,120.00,135.00,82.00,29.00,APPROVED
ID: BOISE,01/03/2023 06:35:00,,2905.00,1639.00,429.00,219.00,124.00,140.00,82.00,29.00,APPROVED
ID: BOISE,01/03/2023 07:35:00,,2968.00,1674.00,434.00,224.00,124.00,147.00,85.00,31.00,APPROVED
ID: BOISE,01/03/2023 08:35:00,,2963.00,1681.00,436.00,226.00,127.00,146.00,89.00,29.00,APPROVED
ID: BOISE,01/03/2023 09:35:00,,2976.00,1693.00,443.00,225.00,126.00,145.00,86.00,31.00,APPROVED
ID: BOISE,01/03/2023 10:35:00,,2993.00,1702.00,444.00,227.00,127.00,145.00,87.00,32.00,APPROVED
ID: BOISE,01/03/2023 11:36:00,,3052.00,1755.00,452.00,236.00,131.00,151.00,91.00,33.00,APPROVED
ID: BOISE,01/03/2023 12:36:00,,3022.00,1736.00,450.00,233.00,131.00,152.00,88.00,29.00,APPROVED
ID: BOISE,01/03/2023 13:36:00,,3044.00,1747.00,453.00,231.00,130.00,150.00,89.00,32.00,APPROVED
ID: BOISE,01/03/2023 14:36:00,,3063.00,1755.00,456.00,234.00,129.00,151.00,89.00,32.00,APPROVED
ID: BOISE,01/03/2023 15:37:00,,3060.00,1771.00,454.00,236.00,131.00,153.00,92.00,32.00,APPROVED
ID: BOISE,01/03/2023 16:37:00,,3094.00,1797.00,469.00,241.00,134.00,155.00,91.00,32.00,APPROVED
ID: BOISE,01/03/2023 17:37:00,,3065.00,1757.00,458.00,239.00,132.00,156.00,91.00,31.00,APPROVED
ID: BOISE,01/03/2023 18:37:00,,3084.00,1775.00,463.00,239.00,133.00,158.00,91.00,32.00,APPROVED
ID: BOISE,01/03/2023 19:37:00,,3059.00,1766.00,461.00,237.00,132.00,154.00,92.00,32.00,APPROVED
ID: BOISE,01/03/2023 20:38:00,,3054.00,1776.00,462.00,245.00,130.00,156.00,96.00,32.00,APPROVED
ID: BOISE,01/03/2023 21:38:00,,3026.00,1764.00,469.00,245.00,135.00,162.00,92.00,32.00,APPROVED
ID: BOISE,01/03/2023 22:38:00,,2985.00,1726.00,460.00,235.00,130.00,156.00,89.00,31.00,APPROVED
ID: BOISE,01/03/2023 23:38:00,,2986.00,1709.00,454.00,232.00,130.00,151.00,89.00,31.00,APPROVED
ID: BOISE,01/04/2023 00:39:00,,3044.00,1785.00,468.00,249.00,134.00,158.00,90.00,32.00,APPROVED
