LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
IL: AURORA,05/24/2023 18:07:00,53.00,1475.00,793.00,248.00,125.00,89.00,126.00,57.00,30.00,APPROVED
IL: AURORA,05/24/2023 19:07:00,53.00,1469.00,796.00,243.00,127.00,89.00,127.00,59.00,30.00,APPROVED
IL: AURORA,05/24/2023 20:07:00,53.00,1472.00,794.00,249.00,124.00,92.00,127.00,59.00,32.00,APPROVED
IL: AURORA,05/24/2023 21:08:00,53.00,1469.00,791.00,247.00,124.00,90.00,125.00,56.00,31.00,APPROVED
IL: AURORA,05/24/2023 22:08:00,53.00,1457.00,785.00,247.00,126.00,89.00,122.00,57.00,31.00,APPROVED
IL: AURORA,05/24/2023 23:08:00,52.00,1452.00,777.00,246.00,120.00,90.00,123.00,53.00,31.00,APPROVED
IL: AURORA,05/25/2023 00:08:00,52.00,1443.00,764.00,242.00,122.00,91.00,127.00,52.00,31.00,APPROVED
IL: AURORA,05/25/2023 01:08:00,54.00,1440.00,759.00,238.00,119.00,92.00,124.00,49.00,31.00,APPROVED
IL: AURORA,05/25/2023 02:09:00,50.00,1438.00,755.00,238.00,122.00,89.00,126.00,48.00,31.00,APPROVED
IL: AURORA,05/25/2023 03:09:00,51.00,1436.00,752.00,238.00,117.00,90.00,125.00,46.00,31.00,APPROVED
IL: AURORA,05/25/2023 04:09:00,50.00,1424.00,742.00,236.00,120.00,92.00,126.00,44.00,31.00,APPROVED
IL: AURORA,05/25/2023 05:09:00,50.00,1423.00,747.00,239.00,119.00,91.00,127.00,45.00,31.00,APPROVED
IL: AURORA,05/25/2023 06:09:00,51.00,1420.00,743.00,235.00,123.00,91.00,126.00,43.00,31.00,APPROVED
IL: AURORA,05/25/2023 07:10:00,53.00,1429.00,729.00,232.00,118.00,92.00,127.00,41.00,30.00,APPROVED
IL: AURORA,05/25/2023 08:10:00,53.00,1429.00,746.00,241.00,119.00,92.00,125.00,43.00,31.00,APPROVED
IL: AURORA,05/25/2023 09:10:00,53.00,1433.00,747.00,237.00,119.00,90.00,122.00,43.00,31.00,APPROVED
IL: AURORA,05/25/2023 10:10:00,53.00,1429.00,741.00,235.00,118.00,90.00,126.00,41.00,30.00,APPROVED
IL: AURORA,05/25/2023 11:10:00,53.00,1435.00,742.00,238.00,116.00,94.00,125.00,42.00,30.00,APPROVED
IL: AURORA,05/25/2023 12:11:00,52.00,1435.00,735.00,239.00,121.00,90.00,125.00,41.00,32.00,APPROVED
IL: AURORA,05/25/2023 13:11:00,52.00,1425.00,741.00,233.00,119.00,92.00,125.00,41.00,30.00,APPROVED
IL: AURORA,05/25/2023 14:11:00,52.00,1427.00,745.00,239.00,117.00,91.00,127.00,42.00,31.00,APPROVED
IL: AURORA,05/25/2023 15:11:00,49.00,1436.00,745.00,237.00,121.00,90.00,124.00,46.00,31.00,APPROVED
IL: AURORA,05/25/2023 16:12:00,51.00,1420.00,752.00,237.00,120.00,90.00,123.00,46.00,30.00,APPROVED
IL: AURORA,05/25/2023 17:12:00,52.00,1430.00,755.00,238.00,120.00,88.00,127.00,47.00,31.00,APPROVED
IL: AURORA,05/25/2023 18:12:00,51.00,1434.00,757.00,237.00,121.00,88.00,125.00,49.00,31.00,APPROVED
IL: AURORA,05/25/2023 19:12:00,49.00,1430.00,759.00,239.00,122.00,92.00,126.00,52.00,31.00,APPROVED
IL: AURORA,05/25/2023 20:12:00,50.00,1423.00,759.00,237.00,118.00,89.00,124.00,52.00,31.00,APPROVED
IL: AURORA,05/25/2023 21:13:00,51.00,1425.00,757.00,238.00,121.00,91.00,125.00,51.00,30.00,APPROVED
IL: AURORA,05/25/2023 22:13:00,50.00,1430.00,755.00,240.00,120.00,89.00,123.00,50.00,30.00,APPROVED
IL: AURORA,05/25/2023 23:13:00,54.00,1438.00,765.00,238.00,118.00,90.00,128.00,51.00,31.00,APPROVED
IL: AURORA,05/26/2023 00:13:00,51.00,1422.00,764.00,239.00,124.00,91.00,123.00,51.00,30.00,APPROVED
IL: AURORA,05/26/2023 01:13:00,50.00,1432.00,755.00,236.00,121.00,89.00,124.00,48.00,30.00,APPROVED
IL: AURORA,05/26/2023 02:14:00,52.00,1446.00,756.00,235.00,119.00,90.00,126.00,46.00,31.00,APPROVED
IL: AURORA,05/26/2023 03:14:00,52.00,1434.00,749.00,235.00,119.00,91.00,127.00,43.00,30.00,APPROVED
IL: AURORA,05/26/2023 04:14:00,51.00,1432.00,740.00,236.00,120.00,91.00,125.00,43.00,30.00,APPROVED
IL: AURORA,05/26/2023 05:14:00,52.00,1435.00,742.00,235.00,120.00,89.00,122.00,41.00,31.00,APPROVED
IL: AURORA,05/26/2023 06:14:00,50.00,1444.00,752.00,240.00,122.00,94.00,123.00,41.00,30.00,APPROVED
IL: AURORA,05/26/2023 07:15:00,51.00,1457.00,750.00,242.00,122.00,92.00,126.00,42.00,31.00,APPROVED
IL: AURORA,05/26/2023 08:15:00,52.00,1461.00,765.00,243.00,124.00,95.00,127.00,43.00,31.00,APPROVED
IL: AURORA,05/26/2023 09:15:00,54.00,1464.00,773.00,243.00,122.00,91.00,126.00,43.00,31.00,APPROVED
IL: AURORA,05/26/2023 10:15:00,54.00,1473.00,770.00,243.00,122.00,92.00,126.00,42.00,31.00,APPROVED
IL: AURORA,05/26/2023 11:15:00,55.00,1460.00,772.00,246.00,122.00,97.00,126.00,42.00,31.00,APPROVED
IL: AURORA,05/26/2023 12:16:00,56.00,1486.00,773.00,248.00,123.00,95.00,126.00,43.00,30.00,APPROVED
IL: AURORA,05/26/2023 13:16:00,54.00,1479.00,773.00,244.00,120.00,93.00,127.00,43.00,31.00,APPROVED
IL: AURORA,05/26/2023 14:16:00,53.00,1472.00,783.00,242.00,122.00,91.00,129.00,47.00,31.00,APPROVED
IL: AURORA,05/26/2023 16:16:00,52.00,1625.00,845.00,258.00,133.00,90.00,127.00,62.00,30.00,APPROVED
IL: AURORA,05/26/2023 17:17:00,51.00,1608.00,844.00,253.00,132.00,92.00,124.00,66.00,31.00,APPROVED
IL: AURORA,05/26/2023 18:17:00,51.00,1612.00,846.00,253.00,131.00,91.00,124.00,66.00,29.00,APPROVED
IL: AURORA,05/26/2023 19:17:00,51.00,1616.00,843.00,252.00,132.00,90.00,127.00,66.00,31.00,APPROVED
IL: AURORA,05/26/2023 20:17:00,49.00,1608.00,850.00,254.00,134.00,89.00,126.00,65.00,31.00,APPROVED
IL: AURORA,05/26/2023 21:17:00,52.00,1621.00,853.00,254.00,134.00,91.00,126.00,65.00,29.00,APPROVED
IL: AURORA,05/26/2023 22:18:00,53.00,1629.00,859.00,254.00,132.00,90.00,129.00,66.00,29.00,APPROVED
