LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
IN: INDIANAPOLIS,01/01/2023 00:23:00,,1743.00,951.00,304.00,134.00,88.00,118.00,44.00,31.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 01:23:00,,1754.00,984.00,312.00,134.00,95.00,118.00,45.00,30.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 02:23:00,,1761.00,1007.00,318.00,140.00,97.00,121.00,45.00,32.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 03:23:00,,1795.00,1010.00,324.00,140.00,99.00,120.00,45.00,32.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 04:23:00,,1787.00,1020.00,327.00,140.00,98.00,122.00,46.00,32.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 05:24:00,,1789.00,1028.00,331.00,144.00,100.00,125.00,47.00,31.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 06:24:00,,1813.00,1055.00,339.00,147.00,101.00,129.00,49.00,33.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 07:24:00,,1850.00,1088.00,354.00,151.00,107.00,133.00,51.00,33.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 08:24:00,,1841.00,1091.00,360.00,152.00,107.00,137.00,49.00,32.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 09:24:00,,1832.00,1080.00,359.00,154.00,106.00,135.00,51.00,33.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 10:25:00,,1836.00,1102.00,362.00,158.00,111.00,137.00,52.00,33.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 11:25:00,,1811.00,1074.00,362.00,155.00,105.00,140.00,50.00,32.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 12:25:00,,1762.00,1028.00,341.00,147.00,98.00,133.00,48.00,32.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 13:25:00,,1746.00,1007.00,332.00,144.00,99.00,132.00,47.00,32.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 14:25:00,,1728.00,1000.00,325.00,142.00,94.00,129.00,46.00,31.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 15:26:00,,1716.00,982.00,316.00,139.00,94.00,128.00,45.00,31.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 16:26:00,,1702.00,952.00,307.00,135.00,90.00,123.00,45.00,32.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 17:26:00,,1729.00,981.00,311.00,134.00,93.00,125.00,44.00,33.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 18:26:00,,1750.00,985.00,316.00,138.00,91.00,130.00,44.00,30.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 19:26:00,,1717.00,962.00,306.00,134.00,90.00,124.00,44.00,31.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 20:27:00,,1676.00,920.00,292.00,128.00,86.00,119.00,40.00,30.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 21:27:00,,1652.00,899.00,281.00,126.00,83.00,115.00,42.00,30.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 22:27:00,,1650.00,888.00,273.00,123.00,85.00,113.00,41.00,29.00,APPROVED
IN: INDIANAPOLIS,01/01/2023 23:27:00,,1637.00,884.00,274.00,122.00,81.00,115.00,39.00,29.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 00:28:00,,1650.00,890.00,277.00,120.00,82.00,117.00,40.00,29.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 01:28:00,,1636.00,884.00,276.00,121.00,84.00,111.00,38.00,31.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 02:28:00,,1646.00,885.00,273.00,122.00,83.00,115.00,40.00,29.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 03:28:00,,1668.00,911.00,290.00,127.00,87.00,115.00,41.00,30.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 04:28:00,,1687.00,925.00,291.00,130.00,87.00,120.00,42.00,30.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 05:29:00,,1705.00,948.00,297.00,131.00,88.00,121.00,44.00,31.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 06:29:00,,1735.00,1001.00,316.00,140.00,93.00,129.00,45.00,32.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 07:29:00,,1759.00,1040.00,337.00,146.00,99.00,134.00,46.00,32.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 08:29:00,,1757.00,1035.00,339.00,145.00,96.00,137.00,48.00,31.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 09:29:00,,1771.00,1043.00,342.00,146.00,97.00,137.00,49.00,33.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 10:30:00,,1785.00,1067.00,346.00,151.00,99.00,140.00,49.00,32.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 11:30:00,,1840.00,1103.00,358.00,156.00,101.00,144.00,51.00,34.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 12:30:00,,1859.00,1135.00,377.00,159.00,109.00,149.00,53.00,33.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 13:30:00,,1904.00,1177.00,395.00,165.00,110.00,155.00,56.00,34.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 14:30:00,,1939.00,1230.00,415.00,170.00,114.00,160.00,59.00,34.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 15:31:00,,1946.00,1225.00,408.00,170.00,113.00,161.00,59.00,35.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 16:31:00,,1935.00,1216.00,401.00,168.00,113.00,160.00,60.00,34.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 17:31:00,,1927.00,1199.00,398.00,165.00,111.00,158.00,57.00,34.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 18:31:00,,1833.00,1107.00,365.00,158.00,107.00,147.00,55.00,33.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 19:32:00,,1830.00,1077.00,350.00,151.00,100.00,141.00,51.00,33.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 20:32:00,,1806.00,1060.00,340.00,145.00,98.00,133.00,50.00,33.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 21:32:00,,1778.00,1023.00,324.00,141.00,93.00,135.00,48.00,32.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 22:32:00,,1826.00,1049.00,331.00,145.00,95.00,136.00,50.00,31.00,APPROVED
IN: INDIANAPOLIS,01/02/2023 23:32:00,,1895.00,1110.00,357.00,154.00,100.00,143.00,52.00,33.00,APPROVED
IN: INDIANAPOLIS,01/03/2023 00:33:00,,1870.00,1113.00,361.00,152.00,100.00,145.00,53.00,33.00,APPROVED
IN: INDIANAPOLIS,01/03/2023 01:33:00,,1822.00,1071.00,338.00,148.00,99.00,140.00,50.00,33.00,APPROVED
IN: INDIANAPOLIS,01/03/2023 02:33:00,,1762.00,1012.00,326.00,141.00,94.00,132.00,48.00,31.00,APPROVED
IN: INDIANAPOLIS,01/03/2023 03:33:00,,1790.00,1043.00,329.00,144.00,96.00,136.00,49.00,33.00,APPROVED
IN: INDIANAPOLIS,01/03/2023 04:33:00,,1820.00,1076.00,341.00,151.00,99.00,141.00,50.00,33.00,APPROVED
IN: INDIANAPOLIS,01/03/2023 05:34:00,,1964.00,1192.00,379.00,163.00,105.00,153.00,56.00,34.00,APPROVED
IN: INDIANAPOLIS,01/03/2023 06:34:00,,2325.00,1462.00,453.00,188.00,120.00,174.00,65.00,36.00,APPROVED
IN: INDIANAPOLIS,01/03/2023 07:34:00,,2182.00,1333.00,424.00,176.00,113.00,166.00,64.00,34.00,APPROVED
IN: INDIANAPOLIS,01/03/2023 08:34:00,,1940.00,1118.00,367.00,151.00,102.00,144.00,54.00,35.00,APPROVED
IN: INDIANAPOLIS,01/03/2023 09:35:00,,1814.00,1046.00,331.00,142.00,92.00,136.00,48.00,32.00,APPROVED
IN: INDIANAPOLIS,01/03/2023 10:35:00,,1766.00,1020.00,320.00,137.00,88.00,130.00,47.00,31.00,APPROVED
IN: INDIANAPOLIS,01/03/2023 11:35:00,,1735.00,957.00,303.00,131.00,89.00,122.00,42.00,30.00,APPROVED
IN: INDIANAPOLIS,01/03/2023 12:35:00,,1678.00,926.00,283.00,127.00,82.00,117.00,43.00,31.00,APPROVED
IN: INDIANAPOLIS,01/03/2023 13:35:00,,1716.00,945.00,295.00,129.00,84.00,120.00,43.00,32.00,APPROVED
IN: INDIANAPOLIS,01/03/2023 14:36:00,,1729.00,964.00,301.00,131.00,85.00,123.00,44.00,31.00,APPROVED
IN: INDIANAPOLIS,01/03/2023 19:34:00,,1517.00,928.00,253.00,140.00,80.00,100.00,69.00,29.00,APPROVED
IN: INDIANAPOLIS,01/03/2023 20:35:00,,1510.00,930.00,251.00,141.00,79.00,104.00,67.00,30.00,APPROVED
