LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
KS: DODGE CITY,01/01/2023 00:43:00,,2510.00,1633.00,505.00,263.00,165.00,213.00,113.00,40.00,APPROVED
KS: DODGE CITY,01/01/2023 01:44:00,,2565.00,1694.00,519.00,273.00,167.00,220.00,113.00,40.00,APPROVED
KS: DODGE CITY,01/01/2023 02:44:00,,2585.00,1723.00,529.00,274.00,172.00,224.00,120.00,40.00,APPROVED
KS: DODGE CITY,01/01/2023 03:44:00,,2568.00,1706.00,526.00,274.00,168.00,223.00,115.00,39.00,APPROVED
KS: DODGE CITY,01/01/2023 04:44:00,,2551.00,1704.00,530.00,270.00,172.00,224.00,115.00,41.00,APPROVED
KS: DODGE CITY,01/01/2023 05:44:00,,2509.00,1661.00,519.00,271.00,166.00,226.00,110.00,39.00,APPROVED
KS: DODGE CITY,01/01/2023 06:45:00,,2459.00,1616.00,508.00,260.00,167.00,216.00,111.00,40.00,APPROVED
KS: DODGE CITY,01/01/2023 07:45:00,,2423.00,1574.00,495.00,255.00,161.00,212.00,105.00,38.00,APPROVED
KS: DODGE CITY,01/01/2023 08:45:00,,2447.00,1570.00,492.00,248.00,158.00,209.00,102.00,38.00,APPROVED
KS: DODGE CITY,01/01/2023 09:45:00,,2482.00,1599.00,499.00,258.00,161.00,209.00,106.00,39.00,APPROVED
KS: DODGE CITY,01/01/2023 10:45:00,,2463.00,1608.00,495.00,252.00,161.00,215.00,103.00,38.00,APPROVED
KS: DODGE CITY,01/01/2023 11:46:00,,2478.00,1605.00,504.00,254.00,163.00,220.00,106.00,38.00,APPROVED
KS: DODGE CITY,01/01/2023 12:46:00,,2478.00,1624.00,511.00,260.00,163.00,220.00,105.00,39.00,APPROVED
KS: DODGE CITY,01/01/2023 13:46:00,,2584.00,1702.00,537.00,275.00,169.00,228.00,107.00,39.00,APPROVED
KS: DODGE CITY,01/01/2023 14:46:00,,2740.00,1927.00,602.00,302.00,184.00,266.00,121.00,44.00,APPROVED
KS: DODGE CITY,01/01/2023 15:46:00,,2886.00,2088.00,669.00,339.00,201.00,291.00,132.00,47.00,APPROVED
KS: DODGE CITY,01/01/2023 16:47:00,,2915.00,2115.00,677.00,345.00,207.00,299.00,136.00,47.00,APPROVED
KS: DODGE CITY,01/01/2023 17:47:00,,2772.00,1985.00,636.00,325.00,195.00,280.00,128.00,46.00,APPROVED
KS: DODGE CITY,01/01/2023 18:47:00,,2655.00,1821.00,575.00,297.00,180.00,251.00,122.00,44.00,APPROVED
KS: DODGE CITY,01/01/2023 19:47:00,,2633.00,1754.00,552.00,283.00,178.00,239.00,118.00,41.00,APPROVED
KS: DODGE CITY,01/01/2023 20:47:00,,2652.00,1762.00,546.00,283.00,174.00,233.00,116.00,40.00,APPROVED
KS: DODGE CITY,01/01/2023 21:48:00,,2629.00,1754.00,535.00,282.00,174.00,230.00,120.00,42.00,APPROVED
KS: DODGE CITY,01/01/2023 22:48:00,,2708.00,1803.00,557.00,294.00,178.00,236.00,122.00,43.00,APPROVED
