LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
LA: SHREVEPORT,01/07/2021 13:46:00,,2634.00,1592.00,441.00,237.00,135.00,170.00,102.00,39.00,APPROVED
LA: SHREVEPORT,01/07/2021 14:46:00,,2589.00,1540.00,426.00,228.00,135.00,167.00,96.00,37.00,APPROVED
LA: SHREVEPORT,01/07/2021 15:46:00,,2682.00,1615.00,449.00,241.00,139.00,172.00,99.00,37.00,APPROVED
LA: SHREVEPORT,01/07/2021 16:47:00,,2663.00,1614.00,447.00,244.00,140.00,176.00,100.00,38.00,APPROVED
LA: SHREVEPORT,01/07/2021 17:47:00,,2651.00,1589.00,440.00,238.00,138.00,170.00,98.00,38.00,APPROVED
LA: SHREVEPORT,01/07/2021 18:47:00,,2705.00,1620.00,447.00,247.00,140.00,174.00,101.00,39.00,APPROVED
LA: SHREVEPORT,01/07/2021 19:47:00,,2663.00,1592.00,438.00,240.00,140.00,172.00,97.00,38.00,APPROVED
LA: SHREVEPORT,01/07/2021 20:47:00,,2640.00,1578.00,433.00,238.00,142.00,168.00,98.00,36.00,APPROVED
LA: SHREVEPORT,01/07/2021 21:48:00,,2627.00,1566.00,429.00,237.00,136.00,171.00,98.00,38.00,APPROVED
LA: SHREVEPORT,01/07/2021 22:48:00,,2600.00,1545.00,426.00,228.00,137.00,166.00,95.00,36.00,APPROVED
LA: SHREVEPORT,01/07/2021 23:48:00,,2575.00,1533.00,418.00,228.00,133.00,166.00,93.00,35.00,APPROVED
LA: SHREVEPORT,01/08/2021 00:48:00,,2532.00,1506.00,417.00,227.00,134.00,164.00,93.00,36.00,APPROVED
LA: SHREVEPORT,01/08/2021 01:48:00,,2531.00,1492.00,416.00,220.00,134.00,160.00,92.00,36.00,APPROVED
LA: SHREVEPORT,01/08/2021 02:49:00,,2517.00,1486.00,412.00,219.00,134.00,162.00,91.00,35.00,APPROVED
LA: SHREVEPORT,01/08/2021 04:49:00,,2498.00,1467.00,413.00,221.00,135.00,161.00,88.00,33.00,APPROVED
LA: SHREVEPORT,01/08/2021 05:49:00,,2486.00,1451.00,410.00,218.00,135.00,163.00,88.00,34.00,APPROVED
LA: SHREVEPORT,01/08/2021 06:49:00,,2494.00,1456.00,409.00,219.00,133.00,160.00,87.00,34.00,APPROVED
LA: SHREVEPORT,01/08/2021 07:49:00,,2526.00,1459.00,413.00,219.00,134.00,158.00,87.00,35.00,APPROVED
LA: SHREVEPORT,01/08/2021 08:50:00,,2517.00,1459.00,410.00,217.00,134.00,157.00,88.00,35.00,APPROVED
LA: SHREVEPORT,01/08/2021 09:50:00,,2493.00,1440.00,405.00,215.00,131.00,155.00,83.00,34.00,APPROVED
LA: SHREVEPORT,01/08/2021 10:50:00,,2506.00,1441.00,410.00,213.00,134.00,159.00,86.00,33.00,APPROVED
LA: SHREVEPORT,01/08/2021 11:50:00,,2532.00,1462.00,408.00,218.00,133.00,159.00,85.00,34.00,APPROVED
LA: SHREVEPORT,01/08/2021 12:51:00,,2542.00,1463.00,411.00,214.00,133.00,158.00,85.00,36.00,APPROVED
LA: SHREVEPORT,01/08/2021 13:51:00,,2542.00,1456.00,407.00,218.00,134.00,159.00,85.00,34.00,APPROVED
LA: SHREVEPORT,01/08/2021 14:51:00,,2507.00,1458.00,410.00,217.00,131.00,161.00,85.00,34.00,APPROVED
LA: SHREVEPORT,01/08/2021 15:51:00,,2469.00,1421.00,403.00,215.00,131.00,158.00,85.00,33.00,APPROVED
LA: SHREVEPORT,01/08/2021 16:51:00,,2402.00,1394.00,405.00,209.00,134.00,159.00,83.00,33.00,APPROVED
LA: SHREVEPORT,01/08/2021 17:52:00,,2415.00,1397.00,396.00,208.00,133.00,156.00,82.00,33.00,APPROVED
LA: SHREVEPORT,01/08/2021 18:52:00,,2417.00,1393.00,403.00,211.00,131.00,155.00,82.00,34.00,APPROVED
LA: SHREVEPORT,01/08/2021 19:52:00,,2413.00,1395.00,399.00,208.00,129.00,154.00,83.00,33.00,APPROVED
LA: SHREVEPORT,01/08/2021 20:52:00,,2391.00,1386.00,398.00,207.00,134.00,155.00,82.00,32.00,APPROVED
LA: SHREVEPORT,01/08/2021 21:52:00,,2328.00,1355.00,399.00,206.00,130.00,155.00,81.00,33.00,APPROVED
LA: SHREVEPORT,01/08/2021 22:53:00,,2337.00,1363.00,391.00,204.00,132.00,155.00,80.00,33.00,APPROVED
LA: SHREVEPORT,01/08/2021 23:53:00,,2362.00,1362.00,401.00,208.00,130.00,155.00,80.00,33.00,APPROVED
LA: SHREVEPORT,01/09/2021 00:53:00,,2411.00,1381.00,400.00,207.00,130.00,157.00,81.00,32.00,APPROVED
LA: SHREVEPORT,01/09/2021 01:53:00,,2447.00,1393.00,405.00,208.00,130.00,158.00,79.00,33.00,APPROVED
LA: SHREVEPORT,01/09/2021 02:53:00,,2463.00,1412.00,404.00,212.00,134.00,159.00,79.00,32.00,APPROVED
LA: SHREVEPORT,01/09/2021 03:53:00,,2480.00,1419.00,410.00,210.00,133.00,159.00,80.00,33.00,APPROVED
LA: SHREVEPORT,01/09/2021 04:54:00,,2470.00,1415.00,406.00,212.00,134.00,157.00,80.00,32.00,APPROVED
LA: SHREVEPORT,01/09/2021 05:54:00,,2503.00,1421.00,404.00,211.00,132.00,156.00,80.00,34.00,APPROVED
LA: SHREVEPORT,01/09/2021 06:54:00,,2531.00,1438.00,409.00,215.00,135.00,159.00,79.00,33.00,APPROVED
LA: SHREVEPORT,01/09/2021 07:54:00,,2544.00,1450.00,412.00,216.00,134.00,162.00,79.00,33.00,APPROVED
LA: SHREVEPORT,01/09/2021 08:54:00,,2568.00,1467.00,417.00,214.00,132.00,164.00,82.00,34.00,APPROVED
LA: SHREVEPORT,01/09/2021 09:55:00,,2607.00,1490.00,417.00,219.00,135.00,161.00,82.00,34.00,APPROVED
LA: SHREVEPORT,01/09/2021 10:55:00,,2648.00,1504.00,422.00,225.00,135.00,164.00,81.00,34.00,APPROVED
LA: SHREVEPORT,01/09/2021 16:56:00,,2480.00,1534.00,442.00,238.00,138.00,178.00,102.00,38.00,APPROVED
LA: SHREVEPORT,01/09/2021 17:56:00,,2334.00,1419.00,412.00,223.00,140.00,164.00,95.00,36.00,APPROVED
LA: SHREVEPORT,01/09/2021 18:56:00,,2265.00,1375.00,407.00,218.00,133.00,160.00,89.00,36.00,APPROVED
LA: SHREVEPORT,01/09/2021 19:57:00,,2226.00,1350.00,400.00,214.00,131.00,160.00,88.00,35.00,APPROVED
LA: SHREVEPORT,01/09/2021 20:57:00,,2267.00,1355.00,402.00,210.00,133.00,161.00,90.00,34.00,APPROVED
LA: SHREVEPORT,01/09/2021 21:57:00,,2342.00,1387.00,398.00,211.00,135.00,158.00,87.00,33.00,APPROVED
LA: SHREVEPORT,01/09/2021 22:57:00,,2417.00,1422.00,406.00,211.00,134.00,160.00,84.00,34.00,APPROVED
LA: SHREVEPORT,01/09/2021 23:57:00,,2446.00,1439.00,403.00,213.00,134.00,160.00,84.00,32.00,APPROVED
LA: SHREVEPORT,01/10/2021 00:58:00,,2461.00,1436.00,405.00,212.00,133.00,159.00,84.00,34.00,APPROVED
LA: SHREVEPORT,01/10/2021 01:58:00,,2503.00,1449.00,405.00,212.00,135.00,158.00,86.00,34.00,APPROVED
LA: SHREVEPORT,01/10/2021 02:58:00,,2528.00,1455.00,411.00,216.00,133.00,161.00,87.00,33.00,APPROVED
LA: SHREVEPORT,01/10/2021 03:58:00,,2557.00,1454.00,411.00,218.00,135.00,161.00,85.00,34.00,APPROVED
LA: SHREVEPORT,01/10/2021 04:58:00,,2569.00,1468.00,413.00,211.00,135.00,160.00,85.00,34.00,APPROVED
LA: SHREVEPORT,01/10/2021 05:59:00,,2582.00,1473.00,416.00,215.00,136.00,159.00,83.00,33.00,APPROVED
LA: SHREVEPORT,01/10/2021 06:59:00,,2590.00,1490.00,416.00,222.00,137.00,164.00,83.00,34.00,APPROVED
LA: SHREVEPORT,01/10/2021 07:59:00,,2589.00,1484.00,416.00,218.00,135.00,160.00,85.00,34.00,APPROVED
LA: SHREVEPORT,01/10/2021 08:59:00,,2588.00,1494.00,418.00,217.00,137.00,163.00,85.00,34.00,APPROVED
LA: SHREVEPORT,01/10/2021 09:59:00,,2617.00,1491.00,424.00,222.00,137.00,162.00,85.00,34.00,APPROVED
LA: SHREVEPORT,01/10/2021 11:00:00,,2609.00,1490.00,420.00,221.00,135.00,161.00,85.00,35.00,APPROVED
LA: SHREVEPORT,01/10/2021 12:00:00,,2606.00,1492.00,422.00,221.00,138.00,165.00,86.00,34.00,APPROVED
LA: SHREVEPORT,01/10/2021 13:00:00,,2635.00,1495.00,418.00,223.00,138.00,165.00,84.00,34.00,APPROVED
LA: SHREVEPORT,01/10/2021 14:00:00,,2646.00,1514.00,416.00,223.00,138.00,164.00,85.00,34.00,APPROVED
LA: SHREVEPORT,01/10/2021 15:00:00,,2636.00,1515.00,427.00,225.00,137.00,166.00,84.00,35.00,APPROVED
LA: SHREVEPORT,01/10/2021 16:01:00,,2598.00,1500.00,421.00,224.00,136.00,163.00,84.00,34.00,APPROVED
LA: SHREVEPORT,01/10/2021 17:01:00,,2538.00,1470.00,414.00,222.00,136.00,165.00,87.00,33.00,APPROVED
LA: SHREVEPORT,01/10/2021 18:01:00,,2520.00,1454.00,410.00,218.00,139.00,161.00,86.00,35.00,APPROVED
LA: SHREVEPORT,01/10/2021 19:01:00,,2520.00,1462.00,420.00,216.00,137.00,161.00,83.00,33.00,APPROVED
LA: SHREVEPORT,01/10/2021 20:01:00,,2514.00,1458.00,412.00,216.00,135.00,160.00,84.00,33.00,APPROVED
