LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
MI: GRAND RAPIDS,01/01/2023 00:22:00,51.00,1805.00,1099.00,347.00,174.00,104.00,127.00,77.00,50.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 01:23:00,50.00,1798.00,1083.00,350.00,173.00,104.00,127.00,73.00,49.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 02:23:00,50.00,1800.00,1115.00,349.00,178.00,104.00,131.00,78.00,51.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 03:23:00,49.00,1805.00,1120.00,357.00,179.00,106.00,133.00,77.00,50.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 04:23:00,52.00,1805.00,1107.00,354.00,174.00,101.00,130.00,76.00,49.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 05:23:00,51.00,1785.00,1097.00,350.00,170.00,102.00,130.00,76.00,49.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 06:24:00,50.00,1782.00,1093.00,345.00,169.00,101.00,128.00,77.00,51.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 07:24:00,51.00,1783.00,1089.00,348.00,168.00,106.00,124.00,74.00,49.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 08:24:00,49.00,1787.00,1093.00,347.00,169.00,104.00,126.00,76.00,49.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 09:24:00,51.00,1780.00,1091.00,348.00,172.00,100.00,126.00,75.00,51.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 10:25:00,53.00,1834.00,1133.00,360.00,179.00,106.00,131.00,77.00,51.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 11:25:00,55.00,1945.00,1245.00,396.00,198.00,114.00,146.00,85.00,51.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 12:25:00,63.00,2201.00,1458.00,444.00,234.00,130.00,167.00,95.00,55.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 13:25:00,60.00,2178.00,1431.00,444.00,236.00,132.00,169.00,97.00,56.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 14:25:00,54.00,1957.00,1246.00,397.00,203.00,115.00,147.00,86.00,52.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 15:26:00,52.00,1899.00,1203.00,378.00,196.00,110.00,138.00,83.00,52.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 16:26:00,52.00,1922.00,1231.00,384.00,204.00,114.00,145.00,86.00,52.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 17:26:00,54.00,2015.00,1325.00,414.00,221.00,123.00,161.00,91.00,54.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 18:26:00,55.00,2005.00,1320.00,409.00,221.00,122.00,159.00,91.00,54.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 19:26:00,54.00,1950.00,1269.00,399.00,210.00,115.00,154.00,89.00,52.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 20:27:00,52.00,1920.00,1253.00,392.00,211.00,115.00,152.00,86.00,52.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 21:27:00,51.00,1921.00,1237.00,388.00,207.00,115.00,151.00,85.00,53.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 22:27:00,51.00,1901.00,1221.00,384.00,203.00,114.00,144.00,86.00,53.00,APPROVED
MI: GRAND RAPIDS,01/01/2023 23:27:00,49.00,1890.00,1198.00,377.00,195.00,110.00,142.00,82.00,52.00,APPROVED
MI: GRAND RAPIDS,01/02/2023 00:27:00,51.00,1871.00,1198.00,369.00,199.00,108.00,143.00,82.00,50.00,APPROVED
MI: GRAND RAPIDS,01/02/2023 01:28:00,51.00,1862.00,1174.00,367.00,189.00,110.00,138.00,80.00,53.00,APPROVED
MI: GRAND RAPIDS,01/02/2023 02:28:00,52.00,1860.00,1168.00,371.00,191.00,109.00,136.00,81.00,51.00,APPROVED
MI: GRAND RAPIDS,01/02/2023 03:28:00,51.00,1856.00,1174.00,368.00,190.00,108.00,136.00,80.00,52.00,APPROVED
MI: GRAND RAPIDS,01/02/2023 04:28:00,51.00,1862.00,1179.00,377.00,196.00,110.00,139.00,81.00,51.00,APPROVED
MI: GRAND RAPIDS,01/02/2023 05:29:00,51.00,1878.00,1192.00,384.00,200.00,111.00,141.00,83.00,51.00,APPROVED
MI: GRAND RAPIDS,01/02/2023 06:29:00,52.00,1898.00,1216.00,378.00,199.00,115.00,144.00,85.00,52.00,APPROVED
MI: GRAND RAPIDS,01/02/2023 07:29:00,52.00,1896.00,1226.00,378.00,201.00,114.00,147.00,83.00,52.00,APPROVED
MI: GRAND RAPIDS,01/02/2023 08:29:00,51.00,1898.00,1236.00,386.00,207.00,114.00,146.00,87.00,52.00,APPROVED
MI: GRAND RAPIDS,01/02/2023 09:29:00,52.00,1943.00,1279.00,393.00,216.00,118.00,154.00,88.00,54.00,APPROVED
MI: GRAND RAPIDS,01/02/2023 10:30:00,52.00,1944.00,1293.00,404.00,224.00,122.00,157.00,93.00,55.00,APPROVED
MI: GRAND RAPIDS,01/02/2023 11:30:00,52.00,1934.00,1281.00,403.00,217.00,121.00,154.00,88.00,54.00,APPROVED
MI: GRAND RAPIDS,01/02/2023 12:30:00,50.00,1931.00,1267.00,396.00,217.00,120.00,154.00,88.00,54.00,APPROVED
MI: GRAND RAPIDS,01/02/2023 13:30:00,52.00,1926.00,1276.00,397.00,215.00,120.00,153.00,90.00,55.00,APPROVED
