LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
MN: ST. PAUL,01/01/2023 00:43:00,,1621.00,1056.00,296.00,188.00,111.00,130.00,75.00,30.00,APPROVED
MN: ST. PAUL,01/01/2023 01:44:00,,1626.00,1060.00,297.00,184.00,109.00,130.00,77.00,33.00,APPROVED
MN: ST. PAUL,01/01/2023 02:44:00,,1630.00,1058.00,293.00,188.00,110.00,133.00,79.00,33.00,APPROVED
MN: ST. PAUL,01/01/2023 03:44:00,,1660.00,1098.00,305.00,196.00,114.00,134.00,81.00,32.00,APPROVED
MN: ST. PAUL,01/01/2023 04:44:00,,1707.00,1139.00,314.00,206.00,119.00,140.00,83.00,35.00,APPROVED
MN: ST. PAUL,01/01/2023 05:44:00,,1723.00,1179.00,325.00,222.00,120.00,146.00,85.00,36.00,APPROVED
MN: ST. PAUL,01/01/2023 06:45:00,,1772.00,1220.00,329.00,225.00,126.00,152.00,87.00,38.00,APPROVED
MN: ST. PAUL,01/01/2023 07:45:00,,1798.00,1238.00,339.00,233.00,127.00,152.00,88.00,39.00,APPROVED
MN: ST. PAUL,01/01/2023 08:45:00,,1829.00,1256.00,339.00,239.00,127.00,154.00,90.00,39.00,APPROVED
MN: ST. PAUL,01/01/2023 09:45:00,,1833.00,1288.00,343.00,246.00,129.00,159.00,91.00,41.00,APPROVED
MN: ST. PAUL,01/01/2023 10:45:00,,1809.00,1276.00,345.00,247.00,131.00,165.00,89.00,41.00,APPROVED
MN: ST. PAUL,01/01/2023 11:46:00,,1783.00,1241.00,334.00,239.00,127.00,158.00,89.00,38.00,APPROVED
MN: ST. PAUL,01/01/2023 12:46:00,,1737.00,1188.00,327.00,222.00,122.00,148.00,85.00,36.00,APPROVED
MN: ST. PAUL,01/01/2023 13:46:00,,1726.00,1180.00,321.00,219.00,122.00,145.00,85.00,37.00,APPROVED
MN: ST. PAUL,01/01/2023 14:46:00,,1741.00,1193.00,327.00,228.00,122.00,150.00,87.00,37.00,APPROVED
MN: ST. PAUL,01/01/2023 15:47:00,,1755.00,1208.00,330.00,234.00,126.00,153.00,88.00,38.00,APPROVED
MN: ST. PAUL,01/01/2023 16:47:00,,1764.00,1236.00,336.00,237.00,129.00,157.00,88.00,40.00,APPROVED
MN: ST. PAUL,01/01/2023 17:47:00,,1772.00,1239.00,336.00,248.00,129.00,157.00,89.00,40.00,APPROVED
MN: ST. PAUL,01/01/2023 18:47:00,,1769.00,1230.00,338.00,239.00,126.00,155.00,90.00,37.00,APPROVED
MN: ST. PAUL,01/01/2023 19:47:00,,1772.00,1235.00,332.00,238.00,127.00,154.00,88.00,38.00,APPROVED
MN: ST. PAUL,01/01/2023 20:48:00,,1791.00,1223.00,334.00,231.00,126.00,150.00,85.00,38.00,APPROVED
MN: ST. PAUL,01/01/2023 21:48:00,,1819.00,1248.00,337.00,230.00,128.00,154.00,88.00,38.00,APPROVED
MN: ST. PAUL,01/01/2023 22:48:00,,1870.00,1294.00,352.00,238.00,131.00,158.00,90.00,41.00,APPROVED
MN: ST. PAUL,01/01/2023 23:48:00,,1896.00,1304.00,350.00,240.00,132.00,158.00,89.00,40.00,APPROVED
