LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
MO: JEFFERSON CITY,01/01/2023 00:51:00,,1504.00,839.00,255.00,135.00,101.00,110.00,64.00,27.00,APPROVED
MO: JEFFERSON CITY,01/01/2023 01:51:00,,1514.00,848.00,262.00,140.00,100.00,110.00,66.00,25.00,APPROVED
MO: JEFFERSON CITY,01/01/2023 02:51:00,,1497.00,846.00,260.00,142.00,98.00,112.00,66.00,26.00,APPROVED
MO: JEFFERSON CITY,01/01/2023 03:51:00,,1462.00,826.00,256.00,141.00,100.00,112.00,68.00,26.00,APPROVED
MO: JEFFERSON CITY,01/01/2023 04:52:00,,1431.00,812.00,248.00,141.00,98.00,105.00,66.00,25.00,APPROVED
MO: JEFFERSON CITY,01/01/2023 05:52:00,,1409.00,783.00,245.00,135.00,98.00,106.00,63.00,24.00,APPROVED
MO: JEFFERSON CITY,01/01/2023 06:52:00,,1394.00,775.00,240.00,134.00,94.00,105.00,62.00,25.00,APPROVED
MO: JEFFERSON CITY,01/01/2023 07:52:00,,1388.00,765.00,238.00,132.00,95.00,105.00,61.00,26.00,APPROVED
MO: JEFFERSON CITY,01/01/2023 08:52:00,,1393.00,773.00,239.00,132.00,97.00,101.00,63.00,24.00,APPROVED
MO: JEFFERSON CITY,01/01/2023 09:53:00,,1398.00,773.00,238.00,134.00,94.00,102.00,63.00,27.00,APPROVED
MO: JEFFERSON CITY,01/01/2023 10:53:00,,1408.00,781.00,243.00,135.00,96.00,106.00,63.00,25.00,APPROVED
