LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NH: PORTSMOUTH,01/01/2023 00:07:00,,2900.00,1538.00,437.00,231.00,148.00,166.00,101.00,43.00,APPROVED
NH: PORTSMOUTH,01/01/2023 01:08:00,,2950.00,1577.00,453.00,236.00,151.00,171.00,104.00,42.00,APPROVED
NH: PORTSMOUTH,01/01/2023 02:08:00,,2898.00,1546.00,441.00,232.00,149.00,170.00,99.00,41.00,APPROVED
NH: PORTSMOUTH,01/01/2023 03:08:00,,2882.00,1532.00,434.00,231.00,147.00,169.00,101.00,42.00,APPROVED
NH: PORTSMOUTH,01/01/2023 04:08:00,,2919.00,1565.00,444.00,239.00,149.00,171.00,103.00,41.00,APPROVED
NH: PORTSMOUTH,01/01/2023 05:09:00,,2960.00,1587.00,452.00,242.00,152.00,171.00,103.00,42.00,APPROVED
NH: PORTSMOUTH,01/01/2023 06:09:00,,3044.00,1657.00,469.00,251.00,160.00,179.00,109.00,43.00,APPROVED
NH: PORTSMOUTH,01/01/2023 07:09:00,,3004.00,1649.00,463.00,253.00,159.00,184.00,107.00,44.00,APPROVED
NH: PORTSMOUTH,01/01/2023 08:09:00,,2966.00,1612.00,458.00,245.00,154.00,175.00,104.00,43.00,APPROVED
NH: PORTSMOUTH,01/01/2023 09:09:00,,2923.00,1548.00,447.00,233.00,147.00,170.00,102.00,42.00,APPROVED
NH: PORTSMOUTH,01/01/2023 10:10:00,,2925.00,1558.00,449.00,231.00,147.00,174.00,103.00,41.00,APPROVED
NH: PORTSMOUTH,01/01/2023 11:10:00,,2888.00,1520.00,436.00,224.00,148.00,164.00,96.00,41.00,APPROVED
NH: PORTSMOUTH,01/01/2023 12:10:00,,2862.00,1497.00,430.00,224.00,146.00,167.00,96.00,42.00,APPROVED
NH: PORTSMOUTH,01/01/2023 13:10:00,,2867.00,1489.00,431.00,220.00,144.00,162.00,96.00,40.00,APPROVED
NH: PORTSMOUTH,01/01/2023 14:10:00,,2887.00,1492.00,425.00,221.00,144.00,160.00,97.00,40.00,APPROVED
NH: PORTSMOUTH,01/01/2023 15:11:00,,2948.00,1562.00,447.00,228.00,149.00,168.00,102.00,42.00,APPROVED
NH: PORTSMOUTH,01/01/2023 16:11:00,,3070.00,1628.00,463.00,242.00,158.00,178.00,107.00,43.00,APPROVED
NH: PORTSMOUTH,01/01/2023 17:11:00,,2875.00,1514.00,435.00,227.00,142.00,164.00,99.00,40.00,APPROVED
NH: PORTSMOUTH,01/01/2023 18:11:00,,2903.00,1527.00,437.00,222.00,145.00,163.00,99.00,41.00,APPROVED
NH: PORTSMOUTH,01/01/2023 19:12:00,,2909.00,1546.00,439.00,230.00,149.00,165.00,100.00,40.00,APPROVED
NH: PORTSMOUTH,01/01/2023 20:12:00,,2909.00,1549.00,435.00,232.00,148.00,166.00,100.00,41.00,APPROVED
NH: PORTSMOUTH,01/01/2023 21:12:00,,2914.00,1550.00,442.00,230.00,147.00,166.00,100.00,41.00,APPROVED
NH: PORTSMOUTH,01/01/2023 22:12:00,,2905.00,1532.00,430.00,229.00,150.00,164.00,99.00,41.00,APPROVED
NH: PORTSMOUTH,01/01/2023 23:12:00,,2870.00,1495.00,428.00,222.00,144.00,165.00,95.00,40.00,APPROVED
NH: PORTSMOUTH,01/02/2023 00:13:00,,2876.00,1506.00,425.00,220.00,144.00,161.00,99.00,41.00,APPROVED
NH: PORTSMOUTH,01/02/2023 01:13:00,,2870.00,1495.00,430.00,220.00,142.00,165.00,94.00,42.00,APPROVED
NH: PORTSMOUTH,01/02/2023 02:13:00,,2865.00,1479.00,426.00,213.00,144.00,163.00,93.00,40.00,APPROVED
NH: PORTSMOUTH,01/02/2023 03:13:00,,2917.00,1504.00,438.00,221.00,146.00,169.00,92.00,40.00,APPROVED
NH: PORTSMOUTH,01/02/2023 04:13:00,,2876.00,1485.00,432.00,213.00,142.00,165.00,92.00,40.00,APPROVED
NH: PORTSMOUTH,01/02/2023 05:14:00,,2863.00,1477.00,427.00,212.00,142.00,162.00,92.00,40.00,APPROVED
NH: PORTSMOUTH,01/02/2023 06:14:00,,2855.00,1474.00,425.00,213.00,141.00,163.00,91.00,41.00,APPROVED
NH: PORTSMOUTH,01/02/2023 07:14:00,,2873.00,1483.00,432.00,214.00,141.00,167.00,88.00,40.00,APPROVED
NH: PORTSMOUTH,01/02/2023 08:14:00,,2863.00,1473.00,425.00,213.00,140.00,168.00,85.00,39.00,APPROVED
