LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NM: ALBUQUERQUE,01/01/2023 00:41:00,86.00,2302.00,1254.00,359.00,206.00,125.00,151.00,89.00,46.00,APPROVED
NM: ALBUQUERQUE,01/01/2023 01:41:00,88.00,2303.00,1238.00,360.00,200.00,121.00,147.00,88.00,44.00,APPROVED
NM: ALBUQUERQUE,01/01/2023 02:41:00,86.00,2321.00,1265.00,359.00,206.00,123.00,147.00,91.00,45.00,APPROVED
NM: ALBUQUERQUE,01/01/2023 03:41:00,88.00,2324.00,1268.00,363.00,204.00,125.00,153.00,91.00,46.00,APPROVED
NM: ALBUQUERQUE,01/01/2023 04:42:00,85.00,2345.00,1271.00,364.00,214.00,124.00,154.00,90.00,44.00,APPROVED
NM: ALBUQUERQUE,01/01/2023 05:42:00,91.00,2334.00,1278.00,371.00,211.00,126.00,151.00,91.00,45.00,APPROVED
NM: ALBUQUERQUE,01/01/2023 08:42:00,85.00,2374.00,1331.00,382.00,220.00,129.00,156.00,92.00,48.00,APPROVED
NM: ALBUQUERQUE,01/01/2023 11:43:00,90.00,2452.00,1408.00,404.00,237.00,135.00,165.00,98.00,48.00,APPROVED
NM: ALBUQUERQUE,01/01/2023 12:43:00,91.00,2471.00,1424.00,408.00,246.00,138.00,171.00,101.00,50.00,APPROVED
NM: ALBUQUERQUE,01/01/2023 13:44:00,94.00,2511.00,1439.00,413.00,248.00,139.00,174.00,99.00,50.00,APPROVED
NM: ALBUQUERQUE,01/01/2023 14:44:00,92.00,2572.00,1502.00,425.00,259.00,141.00,179.00,104.00,52.00,APPROVED
NM: ALBUQUERQUE,01/01/2023 15:44:00,89.00,2502.00,1444.00,414.00,252.00,139.00,171.00,101.00,52.00,APPROVED
NM: ALBUQUERQUE,01/01/2023 20:45:00,95.00,2484.00,1417.00,406.00,240.00,136.00,170.00,100.00,50.00,APPROVED
NM: ALBUQUERQUE,01/01/2023 21:45:00,92.00,2508.00,1426.00,404.00,237.00,137.00,168.00,99.00,50.00,APPROVED
NM: ALBUQUERQUE,01/01/2023 22:46:00,93.00,2505.00,1447.00,405.00,240.00,137.00,169.00,100.00,50.00,APPROVED
NM: ALBUQUERQUE,01/01/2023 23:46:00,93.00,2484.00,1428.00,406.00,239.00,138.00,169.00,99.00,49.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 00:46:00,91.00,2435.00,1381.00,394.00,232.00,133.00,164.00,100.00,49.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 01:46:00,90.00,2403.00,1347.00,388.00,224.00,131.00,163.00,96.00,48.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 02:47:00,95.00,2421.00,1340.00,385.00,222.00,130.00,159.00,96.00,47.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 03:47:00,100.00,2607.00,1522.00,432.00,252.00,145.00,178.00,103.00,51.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 04:47:00,105.00,2873.00,1736.00,498.00,293.00,160.00,201.00,115.00,56.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 05:47:00,96.00,2503.00,1424.00,416.00,240.00,140.00,170.00,100.00,51.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 06:47:00,102.00,2610.00,1520.00,438.00,251.00,142.00,177.00,104.00,51.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 07:48:00,95.00,2431.00,1355.00,393.00,225.00,131.00,163.00,96.00,48.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 08:48:00,89.00,2314.00,1264.00,371.00,210.00,124.00,149.00,88.00,47.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 09:48:00,86.00,2344.00,1279.00,374.00,210.00,129.00,151.00,88.00,47.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 10:48:00,89.00,2340.00,1287.00,377.00,217.00,127.00,153.00,91.00,46.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 11:49:00,86.00,2315.00,1267.00,360.00,210.00,122.00,148.00,89.00,46.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 12:49:00,91.00,2317.00,1260.00,363.00,206.00,125.00,148.00,89.00,45.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 13:49:00,91.00,2292.00,1245.00,364.00,208.00,125.00,148.00,89.00,46.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 14:49:00,90.00,2336.00,1251.00,368.00,211.00,126.00,150.00,89.00,48.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 15:50:00,87.00,2333.00,1242.00,369.00,200.00,124.00,149.00,89.00,46.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 16:50:00,89.00,2319.00,1235.00,360.00,202.00,124.00,151.00,85.00,48.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 17:50:00,90.00,2267.00,1191.00,351.00,191.00,121.00,153.00,81.00,45.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 18:50:00,88.00,2263.00,1176.00,353.00,194.00,118.00,147.00,81.00,42.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 19:50:00,88.00,2263.00,1194.00,350.00,192.00,121.00,147.00,84.00,45.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 20:51:00,89.00,2258.00,1194.00,352.00,193.00,122.00,148.00,83.00,44.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 21:51:00,90.00,2259.00,1191.00,356.00,190.00,120.00,148.00,82.00,44.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 22:51:00,89.00,2274.00,1179.00,356.00,186.00,122.00,154.00,80.00,44.00,APPROVED
NM: ALBUQUERQUE,01/02/2023 23:51:00,90.00,2274.00,1213.00,360.00,194.00,121.00,148.00,85.00,44.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 00:52:00,91.00,2274.00,1198.00,359.00,196.00,122.00,149.00,84.00,45.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 01:52:00,89.00,2278.00,1195.00,352.00,196.00,118.00,148.00,81.00,44.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 02:52:00,89.00,2276.00,1208.00,357.00,198.00,122.00,148.00,84.00,46.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 03:52:00,87.00,2295.00,1228.00,353.00,201.00,122.00,149.00,86.00,43.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 04:52:00,88.00,2303.00,1232.00,356.00,208.00,123.00,146.00,86.00,45.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 05:53:00,88.00,2302.00,1227.00,358.00,204.00,123.00,148.00,88.00,47.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 06:53:00,88.00,2298.00,1248.00,359.00,207.00,122.00,146.00,90.00,47.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 07:53:00,91.00,2299.00,1239.00,366.00,207.00,123.00,147.00,88.00,45.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 08:53:00,87.00,2306.00,1236.00,361.00,204.00,126.00,148.00,89.00,46.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 09:54:00,88.00,2317.00,1241.00,359.00,204.00,123.00,148.00,86.00,45.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 10:54:00,89.00,2314.00,1240.00,362.00,203.00,125.00,150.00,87.00,46.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 11:54:00,89.00,2327.00,1247.00,365.00,206.00,126.00,150.00,89.00,45.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 12:54:00,87.00,2323.00,1257.00,366.00,205.00,126.00,151.00,89.00,46.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 13:54:00,88.00,2327.00,1263.00,370.00,208.00,125.00,149.00,91.00,47.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 14:55:00,87.00,2323.00,1253.00,366.00,206.00,126.00,150.00,93.00,48.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 15:55:00,93.00,2307.00,1252.00,361.00,205.00,123.00,149.00,90.00,46.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 16:55:00,87.00,2314.00,1255.00,362.00,204.00,128.00,148.00,88.00,46.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 17:55:00,90.00,2293.00,1238.00,360.00,202.00,122.00,150.00,85.00,45.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 18:56:00,87.00,2281.00,1228.00,360.00,200.00,121.00,149.00,87.00,44.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 19:56:00,87.00,2259.00,1188.00,355.00,189.00,123.00,153.00,83.00,43.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 20:56:00,88.00,2265.00,1195.00,356.00,186.00,124.00,154.00,80.00,42.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 21:56:00,88.00,2282.00,1213.00,358.00,200.00,122.00,149.00,85.00,44.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 22:56:00,89.00,2308.00,1218.00,361.00,204.00,124.00,150.00,85.00,44.00,APPROVED
NM: ALBUQUERQUE,01/03/2023 23:57:00,88.00,2349.00,1273.00,374.00,210.00,125.00,150.00,91.00,45.00,APPROVED
NM: ALBUQUERQUE,01/04/2023 00:57:00,90.00,2317.00,1225.00,361.00,202.00,125.00,148.00,86.00,44.00,APPROVED
NM: ALBUQUERQUE,01/04/2023 01:57:00,88.00,2280.00,1188.00,351.00,194.00,120.00,150.00,80.00,43.00,APPROVED
