LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NY: ALBANY,01/01/2023 00:40:00,,1648.00,986.00,294.00,168.00,102.00,139.00,85.00,47.00,APPROVED
NY: ALBANY,01/01/2023 01:40:00,,1646.00,969.00,299.00,169.00,103.00,136.00,85.00,46.00,APPROVED
NY: ALBANY,01/01/2023 02:40:00,,1613.00,954.00,292.00,168.00,101.00,134.00,86.00,46.00,APPROVED
NY: ALBANY,01/01/2023 03:41:00,,1599.00,935.00,288.00,160.00,101.00,132.00,84.00,45.00,APPROVED
NY: ALBANY,01/01/2023 04:41:00,,1622.00,947.00,286.00,167.00,101.00,135.00,84.00,46.00,APPROVED
NY: ALBANY,01/01/2023 05:41:00,,1603.00,949.00,294.00,165.00,99.00,134.00,85.00,46.00,APPROVED
NY: ALBANY,01/01/2023 06:41:00,,1624.00,965.00,291.00,170.00,101.00,136.00,87.00,47.00,APPROVED
NY: ALBANY,01/01/2023 07:41:00,,1633.00,976.00,301.00,171.00,104.00,136.00,88.00,47.00,APPROVED
NY: ALBANY,01/01/2023 08:42:00,,1649.00,992.00,305.00,176.00,103.00,141.00,87.00,47.00,APPROVED
NY: ALBANY,01/01/2023 09:42:00,,1628.00,981.00,301.00,174.00,101.00,137.00,87.00,47.00,APPROVED
NY: ALBANY,01/01/2023 10:42:00,,1657.00,976.00,296.00,168.00,102.00,137.00,85.00,46.00,APPROVED
NY: ALBANY,01/01/2023 11:42:00,,1675.00,1009.00,304.00,173.00,105.00,140.00,87.00,47.00,APPROVED
NY: ALBANY,01/01/2023 12:42:00,,1658.00,996.00,307.00,175.00,103.00,139.00,86.00,46.00,APPROVED
NY: ALBANY,01/01/2023 13:43:00,,1639.00,985.00,299.00,170.00,102.00,137.00,86.00,46.00,APPROVED
NY: ALBANY,01/01/2023 14:43:00,,1644.00,975.00,297.00,172.00,103.00,139.00,85.00,46.00,APPROVED
NY: ALBANY,01/01/2023 15:43:00,,1642.00,975.00,300.00,170.00,102.00,136.00,84.00,48.00,APPROVED
NY: ALBANY,01/01/2023 16:43:00,,1636.00,964.00,298.00,170.00,102.00,137.00,86.00,46.00,APPROVED
NY: ALBANY,01/01/2023 17:43:00,,1631.00,966.00,298.00,165.00,101.00,137.00,83.00,47.00,APPROVED
NY: ALBANY,01/01/2023 18:44:00,,1632.00,965.00,296.00,167.00,100.00,134.00,82.00,48.00,APPROVED
NY: ALBANY,01/01/2023 19:44:00,,1630.00,962.00,298.00,165.00,101.00,134.00,82.00,45.00,APPROVED
NY: ALBANY,01/01/2023 20:44:00,,1627.00,963.00,292.00,167.00,102.00,137.00,85.00,46.00,APPROVED
NY: ALBANY,01/01/2023 21:44:00,,1641.00,974.00,296.00,169.00,102.00,137.00,85.00,46.00,APPROVED
NY: ALBANY,01/01/2023 22:44:00,,1640.00,973.00,297.00,169.00,100.00,135.00,83.00,45.00,APPROVED
NY: ALBANY,01/01/2023 23:45:00,,1642.00,966.00,297.00,169.00,102.00,138.00,86.00,46.00,APPROVED
NY: ALBANY,01/02/2023 00:45:00,,1645.00,965.00,297.00,168.00,102.00,135.00,85.00,47.00,APPROVED
