LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NY: SYRACUSE,01/01/2023 00:14:00,,1292.00,733.00,202.00,115.00,69.00,89.00,61.00,36.00,APPROVED
NY: SYRACUSE,01/01/2023 01:14:00,,1368.00,785.00,222.00,125.00,75.00,96.00,64.00,37.00,APPROVED
NY: SYRACUSE,01/01/2023 02:14:00,,1344.00,749.00,214.00,122.00,72.00,93.00,61.00,34.00,APPROVED
NY: SYRACUSE,01/01/2023 05:15:00,,1369.00,783.00,220.00,127.00,76.00,95.00,65.00,37.00,APPROVED
NY: SYRACUSE,01/01/2023 06:15:00,,1350.00,772.00,216.00,125.00,75.00,95.00,66.00,38.00,APPROVED
NY: SYRACUSE,01/01/2023 08:16:00,,1481.00,881.00,246.00,150.00,83.00,109.00,72.00,40.00,APPROVED
NY: SYRACUSE,01/01/2023 09:16:00,,1398.00,815.00,230.00,140.00,79.00,101.00,68.00,38.00,APPROVED
NY: SYRACUSE,01/01/2023 10:16:00,,1358.00,793.00,222.00,134.00,77.00,99.00,68.00,38.00,APPROVED
NY: SYRACUSE,01/01/2023 11:16:00,,1338.00,773.00,215.00,127.00,75.00,95.00,65.00,36.00,APPROVED
NY: SYRACUSE,01/01/2023 12:17:00,,1326.00,761.00,215.00,122.00,72.00,93.00,64.00,37.00,APPROVED
NY: SYRACUSE,01/01/2023 15:17:00,,1333.00,757.00,208.00,124.00,73.00,94.00,65.00,37.00,APPROVED
NY: SYRACUSE,01/01/2023 21:18:00,,1360.00,796.00,221.00,132.00,78.00,100.00,65.00,38.00,APPROVED
NY: SYRACUSE,01/01/2023 22:19:00,,1365.00,793.00,222.00,133.00,76.00,96.00,66.00,38.00,APPROVED
NY: SYRACUSE,01/01/2023 23:19:00,,1356.00,785.00,216.00,132.00,75.00,101.00,65.00,38.00,APPROVED
NY: SYRACUSE,01/02/2023 00:19:00,,1331.00,768.00,216.00,129.00,74.00,98.00,63.00,38.00,APPROVED
NY: SYRACUSE,01/02/2023 01:19:00,,1325.00,761.00,214.00,129.00,74.00,95.00,66.00,38.00,APPROVED
NY: SYRACUSE,01/02/2023 02:20:00,,1330.00,766.00,211.00,128.00,76.00,96.00,64.00,38.00,APPROVED
NY: SYRACUSE,01/02/2023 03:20:00,,1349.00,780.00,216.00,131.00,75.00,95.00,64.00,39.00,APPROVED
NY: SYRACUSE,01/02/2023 04:20:00,,1359.00,797.00,220.00,133.00,75.00,97.00,65.00,38.00,APPROVED
NY: SYRACUSE,01/02/2023 07:21:00,,1386.00,813.00,225.00,137.00,78.00,101.00,67.00,39.00,APPROVED
NY: SYRACUSE,01/02/2023 08:21:00,,1386.00,827.00,228.00,139.00,79.00,102.00,67.00,40.00,APPROVED
NY: SYRACUSE,01/02/2023 09:21:00,,1379.00,818.00,224.00,137.00,78.00,101.00,67.00,40.00,APPROVED
NY: SYRACUSE,01/02/2023 10:21:00,,1374.00,806.00,226.00,139.00,77.00,101.00,68.00,38.00,APPROVED
NY: SYRACUSE,01/02/2023 11:21:00,,1369.00,805.00,223.00,135.00,76.00,101.00,68.00,37.00,APPROVED
NY: SYRACUSE,01/02/2023 12:22:00,,1382.00,809.00,223.00,137.00,80.00,102.00,68.00,39.00,APPROVED
NY: SYRACUSE,01/02/2023 13:22:00,,1374.00,815.00,224.00,137.00,79.00,102.00,68.00,41.00,APPROVED
NY: SYRACUSE,01/02/2023 14:22:00,,1377.00,810.00,222.00,139.00,78.00,97.00,68.00,37.00,APPROVED
NY: SYRACUSE,01/02/2023 15:22:00,,1387.00,808.00,223.00,138.00,77.00,103.00,69.00,38.00,APPROVED
NY: SYRACUSE,01/02/2023 16:22:00,,1378.00,817.00,223.00,140.00,78.00,102.00,70.00,39.00,APPROVED
NY: SYRACUSE,01/02/2023 18:23:00,,1378.00,818.00,224.00,137.00,81.00,103.00,67.00,39.00,APPROVED
NY: SYRACUSE,01/02/2023 19:23:00,,1373.00,812.00,226.00,140.00,79.00,99.00,67.00,38.00,APPROVED
NY: SYRACUSE,01/02/2023 20:23:00,,1355.00,798.00,222.00,137.00,79.00,100.00,68.00,38.00,APPROVED
NY: SYRACUSE,01/02/2023 21:24:00,,1363.00,796.00,221.00,135.00,76.00,98.00,66.00,38.00,APPROVED
NY: SYRACUSE,01/02/2023 22:24:00,,1353.00,781.00,216.00,129.00,78.00,99.00,64.00,38.00,APPROVED
NY: SYRACUSE,01/02/2023 23:24:00,,1341.00,777.00,215.00,128.00,74.00,96.00,65.00,39.00,APPROVED
NY: SYRACUSE,01/03/2023 00:24:00,,1346.00,765.00,213.00,124.00,73.00,96.00,67.00,38.00,APPROVED
NY: SYRACUSE,01/03/2023 01:24:00,,1331.00,763.00,208.00,127.00,73.00,95.00,63.00,37.00,APPROVED
NY: SYRACUSE,01/03/2023 02:25:00,,1325.00,758.00,215.00,126.00,73.00,95.00,65.00,36.00,APPROVED
NY: SYRACUSE,01/03/2023 04:25:00,,1338.00,769.00,215.00,126.00,74.00,95.00,64.00,37.00,APPROVED
NY: SYRACUSE,01/03/2023 05:25:00,,1337.00,779.00,218.00,129.00,75.00,98.00,67.00,38.00,APPROVED
NY: SYRACUSE,01/03/2023 06:25:00,,1350.00,780.00,216.00,128.00,77.00,97.00,68.00,36.00,APPROVED
NY: SYRACUSE,01/03/2023 07:26:00,,1373.00,800.00,220.00,134.00,79.00,101.00,68.00,38.00,APPROVED
NY: SYRACUSE,01/03/2023 08:26:00,,1369.00,815.00,225.00,138.00,79.00,102.00,69.00,38.00,APPROVED
NY: SYRACUSE,01/03/2023 09:26:00,,1369.00,808.00,222.00,139.00,80.00,103.00,69.00,38.00,APPROVED
NY: SYRACUSE,01/03/2023 10:26:00,,1381.00,817.00,221.00,139.00,79.00,102.00,68.00,38.00,APPROVED
NY: SYRACUSE,01/03/2023 11:27:00,,1380.00,827.00,229.00,143.00,79.00,104.00,68.00,39.00,APPROVED
NY: SYRACUSE,01/03/2023 12:27:00,,1377.00,814.00,229.00,140.00,79.00,101.00,70.00,40.00,APPROVED
NY: SYRACUSE,01/03/2023 13:27:00,,1378.00,805.00,229.00,141.00,77.00,99.00,69.00,38.00,APPROVED
NY: SYRACUSE,01/03/2023 15:27:00,,1394.00,821.00,225.00,142.00,82.00,104.00,71.00,38.00,APPROVED
