LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NY: YAPHANK,01/01/2023 00:54:00,40.00,1522.00,866.00,262.00,124.00,70.00,75.00,50.00,29.00,APPROVED
NY: YAPHANK,01/01/2023 01:54:00,39.00,1518.00,871.00,266.00,124.00,69.00,77.00,50.00,28.00,APPROVED
NY: YAPHANK,01/01/2023 02:54:00,36.00,1522.00,882.00,267.00,128.00,71.00,78.00,52.00,28.00,APPROVED
NY: YAPHANK,01/01/2023 03:55:00,39.00,1558.00,903.00,270.00,129.00,75.00,80.00,53.00,29.00,APPROVED
NY: YAPHANK,01/01/2023 04:55:00,41.00,1622.00,953.00,287.00,139.00,75.00,86.00,53.00,30.00,APPROVED
NY: YAPHANK,01/01/2023 05:55:00,43.00,1649.00,985.00,295.00,145.00,78.00,89.00,57.00,31.00,APPROVED
NY: YAPHANK,01/01/2023 06:55:00,39.00,1562.00,919.00,279.00,133.00,73.00,83.00,52.00,30.00,APPROVED
NY: YAPHANK,01/01/2023 07:56:00,37.00,1552.00,901.00,272.00,130.00,72.00,81.00,51.00,30.00,APPROVED
NY: YAPHANK,01/01/2023 08:56:00,38.00,1573.00,928.00,274.00,137.00,72.00,83.00,52.00,30.00,APPROVED
NY: YAPHANK,01/01/2023 09:56:00,38.00,1571.00,925.00,273.00,134.00,77.00,82.00,54.00,29.00,APPROVED
NY: YAPHANK,01/01/2023 10:56:00,38.00,1578.00,920.00,271.00,135.00,74.00,83.00,52.00,29.00,APPROVED
NY: YAPHANK,01/01/2023 11:56:00,39.00,1568.00,923.00,277.00,133.00,73.00,85.00,54.00,29.00,APPROVED
NY: YAPHANK,01/01/2023 12:57:00,39.00,1560.00,913.00,273.00,132.00,75.00,83.00,53.00,30.00,APPROVED
NY: YAPHANK,01/01/2023 13:57:00,38.00,1563.00,916.00,275.00,134.00,73.00,81.00,54.00,29.00,APPROVED
NY: YAPHANK,01/01/2023 14:57:00,38.00,1550.00,906.00,271.00,132.00,75.00,81.00,52.00,30.00,APPROVED
NY: YAPHANK,01/01/2023 15:57:00,39.00,1548.00,900.00,268.00,130.00,71.00,81.00,52.00,29.00,APPROVED
NY: YAPHANK,01/01/2023 16:58:00,39.00,1566.00,915.00,273.00,132.00,73.00,80.00,51.00,30.00,APPROVED
NY: YAPHANK,01/01/2023 17:58:00,38.00,1555.00,921.00,273.00,131.00,76.00,82.00,54.00,30.00,APPROVED
