LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
OK: OKLAHOMA CITY,01/01/2023 00:26:00,69.00,2680.00,1700.00,494.00,263.00,167.00,190.00,115.00,50.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 01:27:00,72.00,2696.00,1691.00,492.00,264.00,167.00,191.00,115.00,49.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 02:27:00,68.00,2678.00,1703.00,494.00,264.00,168.00,189.00,115.00,47.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 03:27:00,69.00,2673.00,1687.00,495.00,263.00,168.00,192.00,113.00,49.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 04:27:00,68.00,2666.00,1679.00,490.00,259.00,167.00,185.00,115.00,48.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 05:27:00,72.00,2671.00,1682.00,489.00,262.00,170.00,182.00,115.00,48.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 06:28:00,68.00,2667.00,1680.00,487.00,261.00,167.00,190.00,113.00,48.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 07:28:00,68.00,2661.00,1671.00,496.00,260.00,166.00,186.00,114.00,49.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 08:28:00,68.00,2661.00,1670.00,493.00,257.00,166.00,189.00,115.00,48.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 09:28:00,67.00,2678.00,1687.00,487.00,262.00,167.00,189.00,113.00,49.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 10:29:00,70.00,2673.00,1682.00,491.00,266.00,165.00,190.00,116.00,49.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 11:29:00,68.00,2682.00,1694.00,495.00,264.00,167.00,193.00,118.00,48.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 12:29:00,68.00,2709.00,1710.00,498.00,268.00,168.00,191.00,115.00,49.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 13:29:00,67.00,2713.00,1733.00,504.00,273.00,171.00,193.00,117.00,49.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 14:29:00,66.00,2737.00,1738.00,509.00,275.00,174.00,195.00,118.00,51.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 15:30:00,70.00,2724.00,1742.00,506.00,280.00,171.00,196.00,119.00,51.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 16:30:00,73.00,2733.00,1758.00,507.00,277.00,174.00,200.00,118.00,51.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 17:30:00,71.00,2758.00,1759.00,508.00,281.00,175.00,198.00,120.00,49.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 18:30:00,73.00,2723.00,1759.00,504.00,279.00,168.00,197.00,120.00,51.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 19:30:00,75.00,2736.00,1764.00,507.00,278.00,173.00,195.00,118.00,53.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 20:31:00,72.00,2741.00,1775.00,516.00,280.00,176.00,198.00,119.00,51.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 21:31:00,72.00,2755.00,1787.00,516.00,283.00,173.00,199.00,124.00,51.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 22:31:00,74.00,2742.00,1760.00,509.00,279.00,171.00,194.00,118.00,50.00,APPROVED
OK: OKLAHOMA CITY,01/01/2023 23:31:00,72.00,2705.00,1738.00,499.00,275.00,173.00,194.00,122.00,50.00,APPROVED
