LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
OK: TULSA,01/01/2023 00:14:00,,2231.00,1350.00,406.00,235.00,149.00,194.00,134.00,81.00,APPROVED
OK: TULSA,01/01/2023 01:15:00,,2225.00,1338.00,404.00,232.00,145.00,196.00,131.00,77.00,APPROVED
OK: TULSA,01/01/2023 02:15:00,,2221.00,1358.00,410.00,236.00,150.00,196.00,131.00,74.00,APPROVED
OK: TULSA,01/01/2023 03:15:00,,2301.00,1464.00,429.00,261.00,155.00,212.00,137.00,80.00,APPROVED
OK: TULSA,01/01/2023 04:15:00,,2423.00,1624.00,469.00,299.00,166.00,230.00,148.00,83.00,APPROVED
OK: TULSA,01/01/2023 05:15:00,,2482.00,1699.00,483.00,321.00,180.00,243.00,154.00,87.00,APPROVED
OK: TULSA,01/01/2023 06:16:00,,2546.00,1791.00,516.00,350.00,188.00,256.00,162.00,89.00,APPROVED
OK: TULSA,01/01/2023 07:16:00,,2611.00,1855.00,535.00,365.00,191.00,270.00,165.00,90.00,APPROVED
OK: TULSA,01/01/2023 08:16:00,,2650.00,1940.00,552.00,385.00,203.00,278.00,169.00,94.00,APPROVED
OK: TULSA,01/01/2023 09:16:00,,2684.00,2000.00,571.00,408.00,209.00,290.00,179.00,98.00,APPROVED
OK: TULSA,01/01/2023 10:16:00,,2741.00,2081.00,595.00,427.00,217.00,302.00,184.00,103.00,APPROVED
OK: TULSA,01/01/2023 11:17:00,,2781.00,2146.00,617.00,445.00,221.00,311.00,189.00,103.00,APPROVED
OK: TULSA,01/01/2023 12:17:00,,2802.00,2189.00,625.00,457.00,223.00,316.00,191.00,106.00,APPROVED
OK: TULSA,01/01/2023 13:17:00,,2784.00,2181.00,629.00,458.00,225.00,314.00,194.00,109.00,APPROVED
OK: TULSA,01/01/2023 14:17:00,,2619.00,1972.00,575.00,412.00,211.00,292.00,182.00,105.00,APPROVED
OK: TULSA,01/01/2023 15:17:00,,2389.00,1588.00,480.00,306.00,174.00,236.00,151.00,93.00,APPROVED
OK: TULSA,01/01/2023 16:18:00,,2305.00,1443.00,434.00,256.00,156.00,206.00,137.00,87.00,APPROVED
OK: TULSA,01/01/2023 17:18:00,,2283.00,1438.00,431.00,249.00,153.00,199.00,134.00,83.00,APPROVED
OK: TULSA,01/01/2023 18:18:00,,2308.00,1449.00,430.00,253.00,156.00,202.00,136.00,83.00,APPROVED
OK: TULSA,01/01/2023 19:18:00,,2295.00,1442.00,434.00,253.00,151.00,206.00,136.00,83.00,APPROVED
OK: TULSA,01/01/2023 20:18:00,,2261.00,1428.00,436.00,252.00,152.00,204.00,133.00,81.00,APPROVED
OK: TULSA,01/01/2023 21:19:00,,2238.00,1410.00,430.00,248.00,152.00,201.00,134.00,82.00,APPROVED
OK: TULSA,01/01/2023 22:19:00,,2211.00,1398.00,425.00,247.00,150.00,204.00,132.00,81.00,APPROVED
OK: TULSA,01/01/2023 23:19:00,,2210.00,1388.00,427.00,244.00,151.00,203.00,132.00,80.00,APPROVED
OK: TULSA,01/02/2023 00:19:00,,2278.00,1454.00,432.00,254.00,154.00,204.00,135.00,81.00,APPROVED
OK: TULSA,01/02/2023 01:19:00,,2393.00,1615.00,474.00,291.00,164.00,226.00,146.00,84.00,APPROVED
OK: TULSA,01/02/2023 02:20:00,,2487.00,1718.00,493.00,324.00,175.00,244.00,154.00,87.00,APPROVED
OK: TULSA,01/02/2023 03:20:00,,2562.00,1812.00,521.00,350.00,184.00,254.00,160.00,90.00,APPROVED
OK: TULSA,01/02/2023 04:20:00,,2632.00,1888.00,543.00,373.00,195.00,264.00,166.00,91.00,APPROVED
OK: TULSA,01/02/2023 05:20:00,,2675.00,1988.00,563.00,398.00,204.00,281.00,172.00,92.00,APPROVED
OK: TULSA,01/02/2023 06:20:00,,2768.00,2110.00,596.00,430.00,214.00,297.00,182.00,97.00,APPROVED
OK: TULSA,01/02/2023 07:21:00,,2834.00,2202.00,624.00,463.00,229.00,312.00,188.00,100.00,APPROVED
OK: TULSA,01/02/2023 08:21:00,,2905.00,2353.00,657.00,499.00,236.00,333.00,198.00,106.00,APPROVED
OK: TULSA,01/02/2023 09:21:00,,2945.00,2426.00,677.00,530.00,250.00,343.00,207.00,108.00,APPROVED
OK: TULSA,01/02/2023 10:21:00,,2894.00,2358.00,664.00,520.00,240.00,339.00,202.00,108.00,APPROVED
OK: TULSA,01/02/2023 11:22:00,,2686.00,2097.00,609.00,455.00,221.00,307.00,188.00,99.00,APPROVED
OK: TULSA,01/02/2023 12:22:00,,2346.00,1607.00,483.00,322.00,175.00,233.00,150.00,85.00,APPROVED
OK: TULSA,01/02/2023 13:22:00,,2217.00,1406.00,429.00,250.00,147.00,196.00,130.00,79.00,APPROVED
OK: TULSA,01/02/2023 14:22:00,,2144.00,1332.00,412.00,228.00,142.00,185.00,128.00,76.00,APPROVED
OK: TULSA,01/02/2023 15:22:00,,2111.00,1306.00,398.00,224.00,141.00,184.00,123.00,73.00,APPROVED
OK: TULSA,01/02/2023 16:23:00,,2107.00,1292.00,395.00,220.00,136.00,180.00,124.00,71.00,APPROVED
OK: TULSA,01/02/2023 17:23:00,,2084.00,1280.00,393.00,212.00,139.00,179.00,121.00,69.00,APPROVED
OK: TULSA,01/02/2023 18:23:00,,2091.00,1271.00,393.00,218.00,140.00,180.00,122.00,69.00,APPROVED
OK: TULSA,01/02/2023 19:23:00,,2151.00,1317.00,409.00,224.00,140.00,184.00,122.00,72.00,APPROVED
OK: TULSA,01/02/2023 20:23:00,,2047.00,1237.00,390.00,211.00,135.00,179.00,120.00,70.00,APPROVED
OK: TULSA,01/02/2023 21:24:00,,2024.00,1201.00,382.00,202.00,133.00,173.00,117.00,68.00,APPROVED
OK: TULSA,01/02/2023 22:24:00,,2042.00,1227.00,383.00,204.00,133.00,173.00,119.00,67.00,APPROVED
OK: TULSA,01/02/2023 23:24:00,,2102.00,1279.00,397.00,216.00,138.00,184.00,122.00,68.00,APPROVED
OK: TULSA,01/03/2023 00:24:00,,2025.00,1220.00,384.00,204.00,134.00,176.00,118.00,65.00,APPROVED
OK: TULSA,01/03/2023 01:24:00,,2072.00,1267.00,387.00,214.00,136.00,178.00,119.00,68.00,APPROVED
