LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
OR: CORVALLIS,01/01/2023 00:22:00,,1684.00,994.00,290.00,148.00,98.00,122.00,66.00,30.00,APPROVED
OR: CORVALLIS,01/01/2023 01:23:00,,1670.00,1028.00,283.00,159.00,100.00,120.00,79.00,31.00,APPROVED
OR: CORVALLIS,01/01/2023 02:23:00,,1666.00,999.00,279.00,155.00,95.00,114.00,74.00,30.00,APPROVED
OR: CORVALLIS,01/01/2023 03:23:00,,1666.00,965.00,280.00,139.00,95.00,121.00,59.00,29.00,APPROVED
OR: CORVALLIS,01/01/2023 04:23:00,,1687.00,959.00,287.00,136.00,94.00,122.00,52.00,29.00,APPROVED
OR: CORVALLIS,01/01/2023 05:23:00,,1690.00,950.00,279.00,134.00,94.00,125.00,51.00,29.00,APPROVED
OR: CORVALLIS,01/01/2023 06:24:00,,1693.00,959.00,279.00,134.00,93.00,124.00,50.00,28.00,APPROVED
OR: CORVALLIS,01/01/2023 07:24:00,,1680.00,947.00,279.00,135.00,92.00,126.00,51.00,28.00,APPROVED
OR: CORVALLIS,01/01/2023 08:24:00,,1666.00,946.00,282.00,132.00,92.00,125.00,50.00,28.00,APPROVED
OR: CORVALLIS,01/01/2023 09:24:00,,1684.00,967.00,278.00,134.00,94.00,124.00,52.00,28.00,APPROVED
OR: CORVALLIS,01/01/2023 10:25:00,,1712.00,991.00,290.00,139.00,95.00,129.00,57.00,28.00,APPROVED
OR: CORVALLIS,01/01/2023 11:25:00,,1749.00,1022.00,297.00,146.00,98.00,131.00,57.00,28.00,APPROVED
OR: CORVALLIS,01/01/2023 12:25:00,,1736.00,1020.00,303.00,149.00,98.00,131.00,56.00,30.00,APPROVED
