LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
PA: PITTSBURGH,01/01/2023 00:47:00,,2434.00,1752.00,473.00,286.00,150.00,178.00,110.00,35.00,APPROVED
PA: PITTSBURGH,01/01/2023 01:47:00,,2356.00,1681.00,463.00,292.00,148.00,177.00,109.00,37.00,APPROVED
PA: PITTSBURGH,01/01/2023 02:47:00,,2126.00,1440.00,403.00,231.00,129.00,150.00,92.00,30.00,APPROVED
PA: PITTSBURGH,01/01/2023 03:47:00,,2066.00,1380.00,392.00,220.00,127.00,143.00,90.00,30.00,APPROVED
PA: PITTSBURGH,01/01/2023 04:47:00,,2051.00,1388.00,391.00,218.00,124.00,142.00,87.00,29.00,APPROVED
PA: PITTSBURGH,01/01/2023 05:48:00,,2057.00,1381.00,383.00,221.00,124.00,146.00,89.00,30.00,APPROVED
PA: PITTSBURGH,01/01/2023 06:48:00,,2050.00,1385.00,387.00,217.00,124.00,144.00,90.00,29.00,APPROVED
PA: PITTSBURGH,01/01/2023 07:48:00,,2054.00,1399.00,392.00,222.00,127.00,146.00,90.00,30.00,APPROVED
PA: PITTSBURGH,01/01/2023 08:48:00,,2026.00,1369.00,381.00,215.00,125.00,143.00,86.00,30.00,APPROVED
PA: PITTSBURGH,01/01/2023 09:48:00,,2013.00,1350.00,384.00,211.00,123.00,142.00,87.00,29.00,APPROVED
PA: PITTSBURGH,01/01/2023 10:49:00,,2036.00,1374.00,385.00,211.00,121.00,142.00,87.00,28.00,APPROVED
PA: PITTSBURGH,01/01/2023 11:49:00,,2060.00,1391.00,391.00,219.00,128.00,145.00,90.00,30.00,APPROVED
PA: PITTSBURGH,01/01/2023 12:49:00,,2060.00,1416.00,394.00,225.00,131.00,148.00,91.00,29.00,APPROVED
PA: PITTSBURGH,01/01/2023 13:49:00,,2071.00,1413.00,399.00,223.00,130.00,150.00,91.00,31.00,APPROVED
PA: PITTSBURGH,01/01/2023 14:50:00,,2086.00,1417.00,397.00,227.00,132.00,150.00,92.00,31.00,APPROVED
PA: PITTSBURGH,01/01/2023 15:50:00,,2094.00,1432.00,405.00,235.00,133.00,152.00,92.00,31.00,APPROVED
PA: PITTSBURGH,01/01/2023 16:50:00,,2086.00,1441.00,404.00,236.00,131.00,154.00,92.00,28.00,APPROVED
PA: PITTSBURGH,01/01/2023 17:50:00,,2077.00,1420.00,403.00,234.00,130.00,153.00,92.00,31.00,APPROVED
PA: PITTSBURGH,01/01/2023 18:50:00,,2025.00,1385.00,392.00,223.00,124.00,145.00,93.00,30.00,APPROVED
PA: PITTSBURGH,01/01/2023 19:51:00,,2010.00,1343.00,381.00,207.00,121.00,141.00,86.00,29.00,APPROVED
PA: PITTSBURGH,01/01/2023 20:51:00,,2004.00,1334.00,376.00,207.00,123.00,137.00,89.00,29.00,APPROVED
PA: PITTSBURGH,01/01/2023 21:51:00,,2001.00,1341.00,380.00,205.00,120.00,138.00,87.00,28.00,APPROVED
PA: PITTSBURGH,01/01/2023 22:51:00,,1993.00,1312.00,370.00,205.00,121.00,132.00,82.00,27.00,APPROVED
PA: PITTSBURGH,01/01/2023 23:51:00,,1991.00,1301.00,368.00,198.00,120.00,131.00,85.00,27.00,APPROVED
PA: PITTSBURGH,01/02/2023 00:52:00,,1971.00,1300.00,368.00,200.00,119.00,134.00,85.00,28.00,APPROVED
PA: PITTSBURGH,01/02/2023 01:52:00,,1986.00,1317.00,378.00,201.00,120.00,138.00,85.00,27.00,APPROVED
PA: PITTSBURGH,01/02/2023 02:52:00,,2009.00,1344.00,378.00,205.00,125.00,137.00,87.00,29.00,APPROVED
