LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
RI: PROVIDENCE,10/18/2023 20:27:00,,1679.00,620.00,445.00,236.00,265.00,149.00,39.00,39.00,APPROVED
RI: PROVIDENCE,10/18/2023 21:27:00,,1671.00,614.00,441.00,234.00,258.00,147.00,40.00,39.00,APPROVED
RI: PROVIDENCE,10/18/2023 22:27:00,,1689.00,615.00,443.00,234.00,262.00,150.00,41.00,37.00,APPROVED
RI: PROVIDENCE,10/18/2023 23:27:00,,1744.00,637.00,451.00,238.00,264.00,150.00,41.00,40.00,APPROVED
RI: PROVIDENCE,10/19/2023 00:28:00,,1778.00,654.00,447.00,241.00,265.00,150.00,41.00,40.00,APPROVED
RI: PROVIDENCE,10/19/2023 01:28:00,,1780.00,650.00,456.00,247.00,263.00,151.00,41.00,39.00,APPROVED
RI: PROVIDENCE,10/19/2023 02:28:00,,1784.00,655.00,457.00,245.00,267.00,151.00,40.00,40.00,APPROVED
RI: PROVIDENCE,10/19/2023 03:28:00,,1797.00,665.00,461.00,248.00,270.00,149.00,42.00,39.00,APPROVED
RI: PROVIDENCE,10/19/2023 04:28:00,,1813.00,668.00,464.00,245.00,270.00,150.00,41.00,40.00,APPROVED
RI: PROVIDENCE,10/19/2023 05:29:00,,1828.00,669.00,464.00,251.00,267.00,154.00,41.00,41.00,APPROVED
RI: PROVIDENCE,10/19/2023 06:29:00,,1831.00,672.00,465.00,246.00,272.00,149.00,43.00,40.00,APPROVED
RI: PROVIDENCE,10/19/2023 07:29:00,,1843.00,680.00,472.00,252.00,276.00,153.00,42.00,41.00,APPROVED
RI: PROVIDENCE,10/19/2023 08:29:00,,1868.00,685.00,474.00,255.00,275.00,155.00,44.00,42.00,APPROVED
RI: PROVIDENCE,10/19/2023 09:29:00,,1850.00,691.00,473.00,258.00,275.00,155.00,43.00,41.00,APPROVED
RI: PROVIDENCE,10/19/2023 10:29:00,,1875.00,687.00,476.00,258.00,276.00,159.00,44.00,42.00,APPROVED
RI: PROVIDENCE,10/19/2023 11:30:00,,1883.00,696.00,477.00,260.00,275.00,156.00,44.00,42.00,APPROVED
RI: PROVIDENCE,10/19/2023 12:30:00,,1886.00,695.00,480.00,261.00,279.00,154.00,43.00,42.00,APPROVED
RI: PROVIDENCE,10/19/2023 13:30:00,,1827.00,676.00,470.00,258.00,273.00,156.00,43.00,43.00,APPROVED
RI: PROVIDENCE,10/19/2023 14:30:00,,1779.00,649.00,458.00,248.00,265.00,152.00,42.00,40.00,APPROVED
RI: PROVIDENCE,10/19/2023 15:30:00,,1648.00,599.00,440.00,232.00,260.00,146.00,43.00,41.00,APPROVED
RI: PROVIDENCE,10/19/2023 16:31:00,,1575.00,579.00,427.00,230.00,258.00,150.00,41.00,40.00,APPROVED
RI: PROVIDENCE,10/19/2023 17:31:00,,1605.00,586.00,433.00,235.00,257.00,146.00,40.00,39.00,APPROVED
RI: PROVIDENCE,10/19/2023 18:31:00,,1559.00,569.00,427.00,226.00,254.00,145.00,40.00,40.00,APPROVED
RI: PROVIDENCE,10/19/2023 19:31:00,,1525.00,555.00,420.00,224.00,249.00,143.00,40.00,40.00,APPROVED
RI: PROVIDENCE,10/19/2023 20:31:00,,1558.00,572.00,422.00,226.00,258.00,147.00,41.00,40.00,APPROVED
RI: PROVIDENCE,10/19/2023 21:32:00,,1603.00,583.00,429.00,228.00,252.00,147.00,39.00,39.00,APPROVED
RI: PROVIDENCE,10/19/2023 22:32:00,,1674.00,606.00,440.00,233.00,257.00,145.00,39.00,40.00,APPROVED
RI: PROVIDENCE,10/19/2023 23:32:00,,1748.00,632.00,449.00,236.00,260.00,145.00,38.00,40.00,APPROVED
RI: PROVIDENCE,10/20/2023 00:32:00,,1786.00,642.00,448.00,238.00,264.00,145.00,40.00,41.00,APPROVED
RI: PROVIDENCE,10/20/2023 01:32:00,,1811.00,646.00,454.00,238.00,259.00,148.00,40.00,41.00,APPROVED
RI: PROVIDENCE,10/20/2023 02:33:00,,1807.00,651.00,448.00,240.00,264.00,146.00,41.00,41.00,APPROVED
RI: PROVIDENCE,10/20/2023 03:33:00,,1795.00,652.00,453.00,240.00,261.00,151.00,40.00,41.00,APPROVED
RI: PROVIDENCE,10/20/2023 04:33:00,,1802.00,649.00,458.00,246.00,261.00,145.00,41.00,40.00,APPROVED
RI: PROVIDENCE,10/20/2023 05:33:00,,1814.00,653.00,461.00,249.00,265.00,150.00,43.00,41.00,APPROVED
RI: PROVIDENCE,10/20/2023 06:33:00,,1811.00,659.00,458.00,242.00,267.00,149.00,42.00,42.00,APPROVED
RI: PROVIDENCE,10/20/2023 07:34:00,,1822.00,666.00,461.00,244.00,267.00,151.00,42.00,41.00,APPROVED
RI: PROVIDENCE,10/20/2023 08:34:00,,1850.00,681.00,466.00,253.00,271.00,154.00,43.00,42.00,APPROVED
RI: PROVIDENCE,10/20/2023 09:34:00,,1893.00,697.00,476.00,255.00,276.00,154.00,42.00,42.00,APPROVED
RI: PROVIDENCE,10/20/2023 10:34:00,,1900.00,710.00,488.00,266.00,283.00,160.00,44.00,42.00,APPROVED
RI: PROVIDENCE,10/20/2023 11:34:00,,1894.00,712.00,485.00,267.00,282.00,157.00,46.00,42.00,APPROVED
RI: PROVIDENCE,10/20/2023 12:35:00,,1802.00,660.00,472.00,254.00,276.00,153.00,45.00,42.00,APPROVED
RI: PROVIDENCE,10/20/2023 13:15:00,,1731.00,636.00,455.00,247.00,270.00,152.00,41.00,42.00,APPROVED
RI: PROVIDENCE,10/20/2023 14:17:00,,2030.00,1243.00,410.00,208.00,146.00,171.00,96.00,32.00,APPROVED
RI: PROVIDENCE,10/20/2023 15:17:00,,1973.00,1205.00,407.00,208.00,143.00,168.00,92.00,32.00,APPROVED
RI: PROVIDENCE,10/20/2023 16:17:00,,1936.00,1182.00,403.00,200.00,142.00,168.00,92.00,32.00,APPROVED
RI: PROVIDENCE,10/20/2023 17:18:00,,1924.00,1186.00,403.00,204.00,142.00,167.00,94.00,32.00,APPROVED
RI: PROVIDENCE,10/20/2023 18:18:00,,1921.00,1174.00,401.00,203.00,145.00,166.00,94.00,31.00,APPROVED
RI: PROVIDENCE,10/20/2023 19:18:00,,1907.00,1179.00,399.00,204.00,142.00,167.00,95.00,32.00,APPROVED
RI: PROVIDENCE,10/20/2023 20:18:00,,1910.00,1171.00,398.00,202.00,140.00,160.00,93.00,32.00,APPROVED
RI: PROVIDENCE,10/20/2023 21:18:00,,1939.00,1187.00,404.00,204.00,143.00,167.00,97.00,31.00,APPROVED
RI: PROVIDENCE,10/20/2023 22:19:00,,1978.00,1212.00,399.00,206.00,142.00,168.00,94.00,31.00,APPROVED
RI: PROVIDENCE,10/20/2023 23:19:00,,2029.00,1237.00,414.00,208.00,141.00,172.00,95.00,32.00,APPROVED
RI: PROVIDENCE,10/21/2023 00:19:00,,2030.00,1243.00,411.00,210.00,141.00,170.00,94.00,31.00,APPROVED
RI: PROVIDENCE,10/21/2023 01:19:00,,2029.00,1251.00,410.00,204.00,146.00,169.00,95.00,32.00,APPROVED
RI: PROVIDENCE,10/21/2023 02:19:00,,2057.00,1254.00,420.00,207.00,145.00,170.00,96.00,32.00,APPROVED
RI: PROVIDENCE,10/21/2023 03:19:00,,2052.00,1271.00,419.00,210.00,144.00,171.00,94.00,32.00,APPROVED
RI: PROVIDENCE,10/21/2023 04:20:00,,2068.00,1270.00,422.00,212.00,149.00,171.00,95.00,34.00,APPROVED
RI: PROVIDENCE,10/21/2023 05:20:00,,2087.00,1289.00,426.00,214.00,148.00,178.00,100.00,33.00,APPROVED
RI: PROVIDENCE,10/21/2023 06:20:00,,2113.00,1300.00,424.00,216.00,149.00,175.00,96.00,34.00,APPROVED
RI: PROVIDENCE,10/21/2023 07:20:00,,2143.00,1324.00,435.00,222.00,153.00,176.00,97.00,33.00,APPROVED
RI: PROVIDENCE,10/21/2023 08:20:00,,2134.00,1314.00,433.00,218.00,147.00,180.00,96.00,32.00,APPROVED
RI: PROVIDENCE,10/21/2023 09:21:00,,2125.00,1311.00,434.00,217.00,150.00,178.00,97.00,35.00,APPROVED
RI: PROVIDENCE,10/21/2023 10:21:00,,2129.00,1322.00,432.00,226.00,150.00,179.00,98.00,32.00,APPROVED
RI: PROVIDENCE,10/21/2023 11:21:00,,2133.00,1328.00,432.00,218.00,151.00,179.00,97.00,32.00,APPROVED
RI: PROVIDENCE,10/21/2023 12:21:00,,2130.00,1326.00,439.00,223.00,147.00,182.00,99.00,33.00,APPROVED
RI: PROVIDENCE,10/21/2023 13:21:00,,2132.00,1317.00,434.00,220.00,150.00,180.00,97.00,33.00,APPROVED
RI: PROVIDENCE,10/21/2023 14:22:00,,2170.00,1343.00,440.00,223.00,152.00,180.00,99.00,34.00,APPROVED
RI: PROVIDENCE,10/21/2023 15:22:00,,2206.00,1384.00,446.00,227.00,153.00,184.00,98.00,34.00,APPROVED
RI: PROVIDENCE,10/21/2023 16:22:00,,2238.00,1412.00,457.00,229.00,155.00,188.00,99.00,35.00,APPROVED
RI: PROVIDENCE,10/21/2023 17:22:00,,2225.00,1398.00,452.00,231.00,154.00,183.00,97.00,33.00,APPROVED
RI: PROVIDENCE,10/21/2023 18:22:00,,2241.00,1410.00,456.00,232.00,156.00,188.00,101.00,34.00,APPROVED
RI: PROVIDENCE,10/21/2023 19:23:00,,2326.00,1454.00,464.00,235.00,156.00,190.00,100.00,34.00,APPROVED
RI: PROVIDENCE,10/21/2023 20:23:00,,2384.00,1457.00,460.00,235.00,157.00,189.00,99.00,35.00,APPROVED
RI: PROVIDENCE,10/21/2023 21:23:00,,2404.00,1448.00,454.00,227.00,152.00,181.00,96.00,33.00,APPROVED
RI: PROVIDENCE,10/21/2023 22:23:00,,2383.00,1439.00,449.00,228.00,151.00,182.00,96.00,34.00,APPROVED
RI: PROVIDENCE,10/21/2023 23:23:00,,2381.00,1451.00,451.00,228.00,154.00,179.00,96.00,34.00,APPROVED
RI: PROVIDENCE,10/22/2023 00:24:00,,2438.00,1496.00,473.00,239.00,159.00,192.00,99.00,34.00,APPROVED
RI: PROVIDENCE,10/22/2023 01:24:00,,2432.00,1513.00,472.00,242.00,162.00,195.00,97.00,35.00,APPROVED
RI: PROVIDENCE,10/22/2023 02:24:00,,2418.00,1485.00,472.00,240.00,157.00,191.00,102.00,34.00,APPROVED
RI: PROVIDENCE,10/22/2023 03:24:00,,2408.00,1481.00,466.00,238.00,157.00,189.00,100.00,35.00,APPROVED
RI: PROVIDENCE,10/22/2023 04:24:00,,2398.00,1484.00,468.00,235.00,158.00,191.00,99.00,32.00,APPROVED
RI: PROVIDENCE,10/22/2023 05:25:00,,2406.00,1487.00,466.00,235.00,157.00,188.00,99.00,32.00,APPROVED
RI: PROVIDENCE,10/22/2023 06:25:00,,2390.00,1475.00,463.00,238.00,156.00,190.00,100.00,33.00,APPROVED
RI: PROVIDENCE,10/22/2023 07:25:00,,2380.00,1464.00,464.00,239.00,154.00,188.00,97.00,33.00,APPROVED
RI: PROVIDENCE,10/22/2023 08:25:00,,2389.00,1453.00,460.00,232.00,153.00,189.00,97.00,34.00,APPROVED
RI: PROVIDENCE,10/22/2023 09:25:00,,2376.00,1448.00,460.00,234.00,153.00,187.00,96.00,34.00,APPROVED
RI: PROVIDENCE,10/22/2023 10:25:00,,2416.00,1470.00,461.00,233.00,156.00,189.00,93.00,35.00,APPROVED
RI: PROVIDENCE,10/22/2023 11:26:00,,2440.00,1485.00,461.00,234.00,152.00,189.00,96.00,35.00,APPROVED
RI: PROVIDENCE,10/22/2023 12:26:00,,2433.00,1475.00,454.00,229.00,153.00,183.00,96.00,35.00,APPROVED
RI: PROVIDENCE,10/22/2023 13:26:00,,2417.00,1452.00,455.00,225.00,154.00,188.00,93.00,34.00,APPROVED
RI: PROVIDENCE,10/22/2023 14:26:00,,2414.00,1442.00,446.00,225.00,151.00,182.00,94.00,33.00,APPROVED
RI: PROVIDENCE,10/22/2023 15:26:00,,2319.00,1413.00,447.00,223.00,151.00,182.00,93.00,34.00,APPROVED
RI: PROVIDENCE,10/22/2023 16:27:00,,2250.00,1361.00,440.00,221.00,150.00,178.00,95.00,31.00,APPROVED
RI: PROVIDENCE,10/22/2023 17:27:00,,2212.00,1348.00,437.00,218.00,149.00,177.00,93.00,31.00,APPROVED
RI: PROVIDENCE,10/22/2023 18:27:00,,2206.00,1337.00,433.00,221.00,152.00,177.00,95.00,34.00,APPROVED
RI: PROVIDENCE,10/22/2023 19:27:00,,2177.00,1330.00,431.00,215.00,148.00,177.00,91.00,33.00,APPROVED
RI: PROVIDENCE,10/22/2023 20:28:00,,2219.00,1348.00,432.00,216.00,150.00,180.00,93.00,32.00,APPROVED
RI: PROVIDENCE,10/22/2023 21:28:00,,2263.00,1360.00,436.00,215.00,146.00,176.00,92.00,32.00,APPROVED
RI: PROVIDENCE,10/22/2023 22:28:00,,2300.00,1378.00,434.00,218.00,149.00,178.00,93.00,32.00,APPROVED
RI: PROVIDENCE,10/22/2023 23:28:00,,2332.00,1396.00,435.00,218.00,146.00,178.00,91.00,33.00,APPROVED
RI: PROVIDENCE,10/23/2023 00:28:00,,2372.00,1401.00,434.00,217.00,146.00,176.00,88.00,32.00,APPROVED
RI: PROVIDENCE,10/23/2023 01:29:00,,2384.00,1412.00,435.00,216.00,146.00,175.00,87.00,33.00,APPROVED
RI: PROVIDENCE,10/23/2023 02:29:00,,2404.00,1412.00,434.00,217.00,146.00,178.00,88.00,35.00,APPROVED
RI: PROVIDENCE,10/23/2023 03:29:00,,2433.00,1428.00,439.00,216.00,149.00,178.00,87.00,35.00,APPROVED
RI: PROVIDENCE,10/23/2023 04:29:00,,2479.00,1439.00,437.00,216.00,146.00,180.00,85.00,36.00,APPROVED
RI: PROVIDENCE,10/23/2023 05:29:00,,2479.00,1446.00,432.00,218.00,149.00,180.00,82.00,37.00,APPROVED
RI: PROVIDENCE,10/23/2023 06:30:00,,2496.00,1464.00,441.00,218.00,148.00,175.00,82.00,36.00,APPROVED
RI: PROVIDENCE,10/23/2023 07:30:00,,2513.00,1465.00,439.00,221.00,151.00,180.00,86.00,37.00,APPROVED
RI: PROVIDENCE,10/23/2023 08:30:00,,2484.00,1472.00,440.00,222.00,152.00,178.00,87.00,36.00,APPROVED
RI: PROVIDENCE,10/23/2023 09:30:00,,2476.00,1460.00,444.00,226.00,152.00,184.00,88.00,36.00,APPROVED
RI: PROVIDENCE,10/23/2023 10:30:00,,2472.00,1450.00,445.00,222.00,150.00,181.00,89.00,36.00,APPROVED
RI: PROVIDENCE,10/23/2023 11:31:00,,2457.00,1453.00,440.00,219.00,152.00,177.00,90.00,36.00,APPROVED
RI: PROVIDENCE,10/23/2023 12:31:00,,2459.00,1449.00,437.00,224.00,146.00,179.00,87.00,36.00,APPROVED
RI: PROVIDENCE,10/23/2023 13:31:00,,2448.00,1457.00,444.00,223.00,150.00,182.00,87.00,34.00,APPROVED
RI: PROVIDENCE,10/23/2023 14:31:00,,2379.00,1440.00,439.00,222.00,151.00,179.00,89.00,32.00,APPROVED
RI: PROVIDENCE,10/23/2023 15:31:00,,2258.00,1373.00,437.00,217.00,152.00,178.00,91.00,32.00,APPROVED
RI: PROVIDENCE,10/23/2023 16:32:00,,2102.00,1297.00,422.00,214.00,148.00,174.00,93.00,32.00,APPROVED
RI: PROVIDENCE,10/23/2023 17:32:00,,2003.00,1237.00,414.00,206.00,147.00,174.00,93.00,31.00,APPROVED
RI: PROVIDENCE,10/23/2023 18:32:00,,1956.00,1211.00,407.00,206.00,144.00,173.00,93.00,31.00,APPROVED
RI: PROVIDENCE,10/23/2023 19:32:00,,1906.00,1186.00,405.00,206.00,146.00,170.00,96.00,30.00,APPROVED
RI: PROVIDENCE,10/23/2023 20:32:00,,1962.00,1201.00,411.00,205.00,145.00,169.00,91.00,30.00,APPROVED
RI: PROVIDENCE,10/23/2023 21:33:00,,2016.00,1233.00,411.00,210.00,143.00,169.00,94.00,30.00,APPROVED
RI: PROVIDENCE,10/23/2023 22:33:00,,2074.00,1275.00,420.00,209.00,145.00,170.00,94.00,30.00,APPROVED
RI: PROVIDENCE,10/23/2023 23:33:00,,2131.00,1291.00,421.00,213.00,146.00,176.00,93.00,32.00,APPROVED
RI: PROVIDENCE,10/24/2023 00:33:00,,2165.00,1310.00,421.00,210.00,149.00,174.00,92.00,31.00,APPROVED
RI: PROVIDENCE,10/24/2023 01:33:00,,2219.00,1346.00,430.00,220.00,149.00,174.00,93.00,32.00,APPROVED
RI: PROVIDENCE,10/24/2023 02:33:00,,2262.00,1370.00,435.00,219.00,149.00,177.00,92.00,33.00,APPROVED
RI: PROVIDENCE,10/24/2023 03:34:00,,2274.00,1378.00,439.00,220.00,149.00,178.00,92.00,32.00,APPROVED
RI: PROVIDENCE,10/24/2023 04:34:00,,2309.00,1380.00,439.00,220.00,150.00,179.00,92.00,32.00,APPROVED
RI: PROVIDENCE,10/24/2023 05:34:00,,2374.00,1421.00,439.00,223.00,153.00,181.00,89.00,33.00,APPROVED
RI: PROVIDENCE,10/24/2023 06:34:00,,2408.00,1449.00,448.00,227.00,149.00,186.00,91.00,34.00,APPROVED
RI: PROVIDENCE,10/24/2023 07:34:00,,2398.00,1446.00,448.00,224.00,152.00,185.00,92.00,34.00,APPROVED
RI: PROVIDENCE,10/24/2023 08:35:00,,2434.00,1471.00,446.00,228.00,155.00,184.00,93.00,37.00,APPROVED
RI: PROVIDENCE,10/24/2023 09:35:00,,2452.00,1475.00,453.00,226.00,151.00,184.00,89.00,36.00,APPROVED
RI: PROVIDENCE,10/24/2023 10:35:00,,2482.00,1484.00,454.00,229.00,153.00,183.00,89.00,37.00,APPROVED
RI: PROVIDENCE,10/24/2023 11:35:00,,2482.00,1492.00,454.00,229.00,155.00,186.00,90.00,37.00,APPROVED
RI: PROVIDENCE,10/24/2023 12:35:00,,2453.00,1484.00,455.00,228.00,150.00,187.00,89.00,36.00,APPROVED
RI: PROVIDENCE,10/24/2023 13:36:00,,2383.00,1456.00,450.00,226.00,151.00,185.00,95.00,35.00,APPROVED
RI: PROVIDENCE,10/24/2023 14:36:00,,2245.00,1367.00,444.00,219.00,150.00,180.00,93.00,34.00,APPROVED
RI: PROVIDENCE,10/24/2023 15:36:00,,2075.00,1280.00,424.00,214.00,145.00,176.00,92.00,31.00,APPROVED
RI: PROVIDENCE,10/24/2023 16:36:00,,1951.00,1197.00,411.00,209.00,144.00,171.00,89.00,31.00,APPROVED
RI: PROVIDENCE,10/24/2023 17:36:00,,1943.00,1203.00,410.00,209.00,146.00,173.00,96.00,32.00,APPROVED
RI: PROVIDENCE,10/24/2023 18:37:00,,1935.00,1196.00,411.00,209.00,143.00,172.00,93.00,33.00,APPROVED
RI: PROVIDENCE,10/24/2023 19:37:00,,1966.00,1210.00,416.00,210.00,145.00,170.00,95.00,32.00,APPROVED
RI: PROVIDENCE,10/24/2023 20:37:00,,1944.00,1201.00,410.00,206.00,146.00,172.00,94.00,32.00,APPROVED
RI: PROVIDENCE,10/24/2023 21:37:00,,1994.00,1233.00,415.00,210.00,144.00,173.00,95.00,32.00,APPROVED
RI: PROVIDENCE,10/24/2023 22:37:00,,2097.00,1285.00,417.00,210.00,146.00,172.00,96.00,33.00,APPROVED
RI: PROVIDENCE,10/24/2023 23:38:00,,2227.00,1348.00,426.00,216.00,149.00,172.00,97.00,32.00,APPROVED
RI: PROVIDENCE,10/25/2023 00:38:00,,2244.00,1363.00,435.00,216.00,149.00,176.00,95.00,32.00,APPROVED
RI: PROVIDENCE,10/25/2023 01:38:00,,2276.00,1381.00,435.00,219.00,151.00,177.00,94.00,33.00,APPROVED
RI: PROVIDENCE,10/25/2023 02:38:00,,2288.00,1384.00,437.00,221.00,148.00,178.00,95.00,32.00,APPROVED
RI: PROVIDENCE,10/25/2023 03:38:00,,2301.00,1396.00,440.00,222.00,151.00,176.00,92.00,32.00,APPROVED
RI: PROVIDENCE,10/25/2023 04:39:00,,2316.00,1402.00,444.00,220.00,149.00,179.00,91.00,32.00,APPROVED
RI: PROVIDENCE,10/25/2023 05:39:00,,2318.00,1394.00,441.00,222.00,151.00,181.00,92.00,33.00,APPROVED
RI: PROVIDENCE,10/25/2023 06:39:00,,2280.00,1372.00,440.00,216.00,152.00,177.00,94.00,32.00,APPROVED
RI: PROVIDENCE,10/25/2023 07:39:00,,2272.00,1375.00,438.00,217.00,150.00,178.00,94.00,33.00,APPROVED
RI: PROVIDENCE,10/25/2023 08:39:00,,2310.00,1401.00,445.00,220.00,153.00,182.00,93.00,35.00,APPROVED
RI: PROVIDENCE,10/25/2023 09:40:00,,2324.00,1415.00,443.00,223.00,152.00,183.00,94.00,33.00,APPROVED
RI: PROVIDENCE,10/25/2023 10:40:00,,2317.00,1413.00,444.00,224.00,153.00,184.00,93.00,35.00,APPROVED
RI: PROVIDENCE,10/25/2023 11:40:00,,2301.00,1407.00,449.00,226.00,150.00,184.00,93.00,32.00,APPROVED
RI: PROVIDENCE,10/25/2023 12:40:00,,2252.00,1395.00,442.00,228.00,152.00,182.00,97.00,32.00,APPROVED
RI: PROVIDENCE,10/25/2023 13:40:00,,2232.00,1371.00,438.00,223.00,153.00,182.00,93.00,34.00,APPROVED
RI: PROVIDENCE,10/25/2023 14:41:00,,2149.00,1337.00,434.00,220.00,151.00,180.00,95.00,33.00,APPROVED
RI: PROVIDENCE,10/25/2023 15:41:00,,2013.00,1258.00,428.00,214.00,148.00,177.00,95.00,33.00,APPROVED
RI: PROVIDENCE,10/25/2023 16:41:00,,1925.00,1195.00,415.00,217.00,149.00,177.00,99.00,33.00,APPROVED
RI: PROVIDENCE,10/25/2023 17:41:00,,1890.00,1185.00,421.00,208.00,145.00,176.00,99.00,32.00,APPROVED
RI: PROVIDENCE,10/25/2023 18:41:00,,1839.00,1141.00,414.00,210.00,147.00,172.00,101.00,32.00,APPROVED
RI: PROVIDENCE,10/25/2023 19:41:00,,1844.00,1159.00,419.00,204.00,149.00,177.00,103.00,33.00,APPROVED
RI: PROVIDENCE,10/25/2023 20:42:00,,1927.00,1204.00,423.00,213.00,148.00,178.00,104.00,35.00,APPROVED
RI: PROVIDENCE,10/25/2023 21:42:00,,1970.00,1233.00,427.00,219.00,149.00,180.00,104.00,34.00,APPROVED
RI: PROVIDENCE,10/25/2023 22:42:00,,2019.00,1264.00,431.00,223.00,152.00,179.00,102.00,34.00,APPROVED
RI: PROVIDENCE,10/25/2023 23:42:00,,2056.00,1294.00,429.00,223.00,148.00,183.00,103.00,34.00,APPROVED
RI: PROVIDENCE,10/26/2023 00:42:00,,2080.00,1306.00,431.00,224.00,154.00,181.00,102.00,33.00,APPROVED
RI: PROVIDENCE,10/26/2023 01:43:00,,2092.00,1314.00,439.00,226.00,152.00,182.00,103.00,34.00,APPROVED
RI: PROVIDENCE,10/26/2023 02:43:00,,2110.00,1322.00,440.00,226.00,153.00,183.00,102.00,34.00,APPROVED
RI: PROVIDENCE,10/26/2023 03:43:00,,2121.00,1334.00,444.00,224.00,154.00,183.00,99.00,35.00,APPROVED
RI: PROVIDENCE,10/26/2023 04:43:00,,2122.00,1334.00,442.00,229.00,154.00,184.00,103.00,32.00,APPROVED
RI: PROVIDENCE,10/26/2023 05:43:00,,2123.00,1338.00,446.00,227.00,153.00,182.00,102.00,34.00,APPROVED
RI: PROVIDENCE,10/26/2023 06:44:00,,2130.00,1344.00,452.00,232.00,152.00,189.00,102.00,36.00,APPROVED
RI: PROVIDENCE,10/26/2023 07:44:00,,2128.00,1361.00,454.00,229.00,152.00,187.00,103.00,35.00,APPROVED
RI: PROVIDENCE,10/26/2023 08:44:00,,2138.00,1361.00,457.00,232.00,158.00,190.00,103.00,34.00,APPROVED
RI: PROVIDENCE,10/26/2023 09:44:00,,2156.00,1373.00,464.00,233.00,156.00,191.00,105.00,35.00,APPROVED
RI: PROVIDENCE,10/26/2023 10:44:00,,2164.00,1384.00,467.00,239.00,156.00,196.00,106.00,37.00,APPROVED
RI: PROVIDENCE,10/26/2023 11:45:00,,2188.00,1397.00,468.00,245.00,160.00,191.00,105.00,38.00,APPROVED
RI: PROVIDENCE,10/26/2023 12:45:00,,2178.00,1404.00,472.00,241.00,161.00,199.00,106.00,35.00,APPROVED
RI: PROVIDENCE,10/26/2023 13:45:00,,2139.00,1379.00,468.00,240.00,158.00,199.00,105.00,37.00,APPROVED
RI: PROVIDENCE,10/26/2023 14:45:00,,2069.00,1333.00,460.00,237.00,162.00,193.00,106.00,35.00,APPROVED
RI: PROVIDENCE,10/26/2023 15:25:00,,1976.00,1267.00,450.00,226.00,157.00,189.00,107.00,34.00,APPROVED
