LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
SC: COLUMBIA,01/01/2023 00:26:00,,2586.00,1483.00,434.00,201.00,128.00,151.00,97.00,72.00,APPROVED
SC: COLUMBIA,01/01/2023 01:27:00,,2647.00,1546.00,442.00,208.00,132.00,153.00,103.00,73.00,APPROVED
SC: COLUMBIA,01/01/2023 02:27:00,,2568.00,1439.00,419.00,194.00,123.00,146.00,95.00,71.00,APPROVED
SC: COLUMBIA,01/01/2023 03:27:00,,2574.00,1439.00,420.00,197.00,121.00,145.00,97.00,71.00,APPROVED
SC: COLUMBIA,01/01/2023 04:27:00,,2688.00,1560.00,436.00,212.00,130.00,152.00,100.00,72.00,APPROVED
SC: COLUMBIA,01/01/2023 05:27:00,,2751.00,1651.00,451.00,226.00,135.00,154.00,107.00,75.00,APPROVED
SC: COLUMBIA,01/01/2023 06:28:00,,2691.00,1573.00,444.00,212.00,132.00,153.00,101.00,74.00,APPROVED
SC: COLUMBIA,01/01/2023 07:28:00,,2518.00,1431.00,405.00,206.00,122.00,147.00,99.00,71.00,APPROVED
SC: COLUMBIA,01/01/2023 08:28:00,,2550.00,1430.00,424.00,202.00,118.00,143.00,94.00,72.00,APPROVED
SC: COLUMBIA,01/01/2023 10:28:00,,2737.00,1648.00,457.00,235.00,134.00,156.00,103.00,73.00,APPROVED
SC: COLUMBIA,01/01/2023 11:29:00,,2665.00,1581.00,447.00,223.00,130.00,150.00,102.00,71.00,APPROVED
SC: COLUMBIA,01/01/2023 12:29:00,,2720.00,1631.00,453.00,232.00,136.00,154.00,101.00,74.00,APPROVED
SC: COLUMBIA,01/01/2023 13:29:00,,2558.00,1440.00,425.00,200.00,121.00,144.00,92.00,69.00,APPROVED
SC: COLUMBIA,01/01/2023 14:29:00,,2728.00,1630.00,457.00,233.00,133.00,155.00,101.00,71.00,APPROVED
SC: COLUMBIA,01/01/2023 20:30:00,,2637.00,1588.00,437.00,228.00,137.00,151.00,107.00,74.00,APPROVED
SC: COLUMBIA,01/01/2023 22:31:00,,2631.00,1549.00,436.00,217.00,131.00,149.00,100.00,73.00,APPROVED
SC: COLUMBIA,01/01/2023 23:31:00,,2521.00,1370.00,410.00,187.00,116.00,138.00,90.00,68.00,APPROVED
SC: COLUMBIA,01/02/2023 00:31:00,,2673.00,1546.00,435.00,211.00,130.00,144.00,100.00,73.00,APPROVED
SC: COLUMBIA,01/02/2023 01:31:00,,2771.00,1636.00,453.00,216.00,131.00,152.00,100.00,75.00,APPROVED
SC: COLUMBIA,01/02/2023 02:32:00,,2822.00,1713.00,462.00,233.00,136.00,157.00,104.00,75.00,APPROVED
SC: COLUMBIA,01/02/2023 03:32:00,,2904.00,1795.00,469.00,251.00,144.00,160.00,112.00,75.00,APPROVED
SC: COLUMBIA,01/02/2023 04:32:00,,2948.00,1862.00,496.00,258.00,149.00,165.00,112.00,77.00,APPROVED
SC: COLUMBIA,01/02/2023 17:35:00,,2917.00,1884.00,503.00,287.00,158.00,181.00,119.00,79.00,APPROVED
SC: COLUMBIA,01/02/2023 18:35:00,,2755.00,1673.00,491.00,230.00,145.00,175.00,108.00,77.00,APPROVED
SC: COLUMBIA,01/02/2023 19:35:00,,2629.00,1540.00,462.00,214.00,137.00,161.00,108.00,77.00,APPROVED
SC: COLUMBIA,01/02/2023 20:35:00,,2633.00,1583.00,449.00,232.00,139.00,153.00,108.00,75.00,APPROVED
SC: COLUMBIA,01/02/2023 21:35:00,,2616.00,1554.00,440.00,229.00,137.00,151.00,110.00,75.00,APPROVED
SC: COLUMBIA,01/02/2023 22:36:00,,2682.00,1617.00,446.00,238.00,141.00,153.00,110.00,74.00,APPROVED
SC: COLUMBIA,01/03/2023 15:39:00,,2773.00,1669.00,478.00,222.00,135.00,163.00,104.00,74.00,APPROVED
SC: COLUMBIA,01/03/2023 16:39:00,,2664.00,1575.00,454.00,208.00,135.00,159.00,104.00,75.00,APPROVED
SC: COLUMBIA,01/03/2023 17:39:00,,2618.00,1520.00,445.00,203.00,134.00,152.00,103.00,76.00,APPROVED
SC: COLUMBIA,01/03/2023 18:39:00,,2545.00,1480.00,440.00,200.00,134.00,153.00,104.00,76.00,APPROVED
SC: COLUMBIA,01/03/2023 19:40:00,,2483.00,1448.00,433.00,196.00,132.00,147.00,100.00,75.00,APPROVED
SC: COLUMBIA,01/03/2023 20:40:00,,2498.00,1433.00,432.00,199.00,129.00,151.00,104.00,74.00,APPROVED
SC: COLUMBIA,01/03/2023 21:40:00,,2531.00,1463.00,434.00,201.00,132.00,149.00,101.00,75.00,APPROVED
SC: COLUMBIA,01/03/2023 22:40:00,,2596.00,1514.00,439.00,205.00,134.00,148.00,102.00,73.00,APPROVED
SC: COLUMBIA,01/03/2023 23:40:00,,2647.00,1554.00,446.00,208.00,135.00,153.00,100.00,75.00,APPROVED
SC: COLUMBIA,01/04/2023 00:41:00,,2552.00,1419.00,425.00,194.00,122.00,144.00,96.00,75.00,APPROVED
SC: COLUMBIA,01/04/2023 01:41:00,,2703.00,1609.00,452.00,216.00,135.00,152.00,103.00,76.00,APPROVED
SC: COLUMBIA,01/04/2023 02:41:00,,2735.00,1637.00,458.00,220.00,138.00,157.00,104.00,77.00,APPROVED
SC: COLUMBIA,01/04/2023 03:41:00,,2787.00,1679.00,471.00,223.00,139.00,159.00,105.00,73.00,APPROVED
SC: COLUMBIA,01/04/2023 04:41:00,,2893.00,1785.00,498.00,240.00,145.00,175.00,111.00,78.00,APPROVED
SC: COLUMBIA,01/04/2023 05:42:00,,2890.00,1795.00,507.00,241.00,145.00,179.00,111.00,76.00,APPROVED
SC: COLUMBIA,01/04/2023 06:42:00,,2760.00,1662.00,478.00,222.00,135.00,160.00,104.00,75.00,APPROVED
SC: COLUMBIA,01/04/2023 07:42:00,,2716.00,1616.00,459.00,218.00,138.00,159.00,104.00,76.00,APPROVED
SC: COLUMBIA,01/04/2023 08:42:00,,2685.00,1587.00,453.00,212.00,135.00,158.00,101.00,73.00,APPROVED
SC: COLUMBIA,01/04/2023 09:42:00,,2667.00,1574.00,446.00,209.00,132.00,154.00,99.00,76.00,APPROVED
SC: COLUMBIA,01/04/2023 10:43:00,,2661.00,1562.00,448.00,211.00,133.00,153.00,100.00,74.00,APPROVED
SC: COLUMBIA,01/04/2023 11:43:00,,2656.00,1561.00,449.00,208.00,131.00,155.00,99.00,76.00,APPROVED
SC: COLUMBIA,01/04/2023 12:43:00,,2666.00,1576.00,444.00,208.00,133.00,159.00,100.00,74.00,APPROVED
SC: COLUMBIA,01/04/2023 14:43:00,,2628.00,1530.00,440.00,205.00,133.00,153.00,100.00,73.00,APPROVED
SC: COLUMBIA,01/04/2023 15:44:00,,2636.00,1543.00,441.00,205.00,130.00,155.00,100.00,74.00,APPROVED
SC: COLUMBIA,01/04/2023 17:14:00,,2981.00,1863.00,532.00,251.00,151.00,183.00,112.00,77.00,APPROVED
SC: COLUMBIA,01/04/2023 19:14:00,,2786.00,1697.00,495.00,231.00,142.00,173.00,107.00,75.00,APPROVED
SC: COLUMBIA,01/04/2023 20:14:00,,2613.00,1531.00,445.00,199.00,133.00,153.00,98.00,74.00,APPROVED
SC: COLUMBIA,01/04/2023 21:14:00,,2539.00,1446.00,418.00,193.00,125.00,146.00,97.00,73.00,APPROVED
SC: COLUMBIA,01/04/2023 22:15:00,,2508.00,1430.00,420.00,185.00,124.00,142.00,95.00,75.00,APPROVED
SC: COLUMBIA,01/04/2023 23:15:00,,2489.00,1419.00,417.00,189.00,125.00,144.00,96.00,72.00,APPROVED
SC: COLUMBIA,01/05/2023 00:15:00,,2517.00,1439.00,419.00,190.00,126.00,146.00,97.00,71.00,APPROVED
SC: COLUMBIA,01/05/2023 01:15:00,,2527.00,1431.00,412.00,192.00,125.00,146.00,96.00,74.00,APPROVED
SC: COLUMBIA,01/05/2023 02:15:00,,2522.00,1436.00,417.00,192.00,127.00,145.00,97.00,72.00,APPROVED
SC: COLUMBIA,01/05/2023 03:16:00,,2540.00,1457.00,425.00,194.00,123.00,148.00,98.00,74.00,APPROVED
SC: COLUMBIA,01/05/2023 04:16:00,,2545.00,1453.00,422.00,193.00,127.00,146.00,97.00,74.00,APPROVED
SC: COLUMBIA,01/05/2023 05:16:00,,2553.00,1469.00,426.00,198.00,128.00,145.00,96.00,73.00,APPROVED
SC: COLUMBIA,01/05/2023 06:16:00,,2592.00,1499.00,432.00,197.00,128.00,148.00,97.00,73.00,APPROVED
SC: COLUMBIA,01/05/2023 07:16:00,,2613.00,1510.00,434.00,193.00,125.00,147.00,95.00,74.00,APPROVED
