LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
TX: CORPUS CHRISTI,01/04/2023 21:21:00,54.00,2139.00,1301.00,379.00,199.00,124.00,142.00,91.00,42.00,APPROVED
TX: CORPUS CHRISTI,01/04/2023 22:22:00,55.00,2165.00,1334.00,382.00,208.00,125.00,147.00,94.00,43.00,APPROVED
TX: CORPUS CHRISTI,01/04/2023 23:22:00,52.00,2155.00,1339.00,380.00,208.00,126.00,145.00,93.00,44.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 00:22:00,54.00,2151.00,1315.00,377.00,204.00,125.00,144.00,94.00,44.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 01:22:00,53.00,2132.00,1309.00,376.00,199.00,124.00,142.00,92.00,43.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 02:23:00,55.00,2137.00,1303.00,376.00,202.00,123.00,144.00,94.00,43.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 03:23:00,55.00,2145.00,1312.00,381.00,203.00,125.00,145.00,93.00,43.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 04:23:00,55.00,2158.00,1318.00,386.00,205.00,125.00,146.00,93.00,44.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 05:23:00,57.00,2171.00,1342.00,388.00,205.00,125.00,148.00,97.00,43.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 06:23:00,55.00,2173.00,1368.00,394.00,215.00,129.00,148.00,97.00,45.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 07:24:00,57.00,2219.00,1428.00,412.00,231.00,135.00,157.00,98.00,46.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 08:24:00,53.00,2276.00,1495.00,432.00,242.00,138.00,168.00,105.00,49.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 09:24:00,59.00,2282.00,1515.00,436.00,251.00,140.00,173.00,105.00,50.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 10:24:00,58.00,2326.00,1564.00,452.00,260.00,144.00,174.00,108.00,50.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 11:24:00,58.00,2343.00,1593.00,464.00,262.00,147.00,184.00,113.00,51.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 12:25:00,57.00,2337.00,1579.00,461.00,263.00,149.00,178.00,111.00,52.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 13:25:00,60.00,2334.00,1570.00,461.00,258.00,146.00,181.00,111.00,51.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 14:25:00,58.00,2323.00,1555.00,455.00,258.00,144.00,177.00,111.00,52.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 15:25:00,56.00,2322.00,1539.00,447.00,248.00,141.00,170.00,108.00,50.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 16:25:00,54.00,2303.00,1498.00,441.00,242.00,139.00,165.00,104.00,50.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 17:26:00,52.00,2260.00,1470.00,428.00,232.00,137.00,162.00,104.00,50.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 18:26:00,54.00,2259.00,1459.00,415.00,230.00,132.00,155.00,104.00,51.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 19:26:00,55.00,2248.00,1447.00,416.00,231.00,135.00,155.00,100.00,49.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 20:26:00,56.00,2247.00,1461.00,412.00,232.00,131.00,157.00,101.00,50.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 21:26:00,52.00,2238.00,1436.00,408.00,230.00,132.00,155.00,102.00,50.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 22:27:00,52.00,2214.00,1417.00,402.00,220.00,128.00,152.00,98.00,47.00,APPROVED
TX: CORPUS CHRISTI,01/05/2023 23:27:00,54.00,2210.00,1413.00,403.00,222.00,131.00,149.00,99.00,49.00,APPROVED
TX: CORPUS CHRISTI,01/06/2023 00:27:00,55.00,2195.00,1384.00,398.00,215.00,129.00,147.00,97.00,47.00,APPROVED
TX: CORPUS CHRISTI,01/06/2023 01:27:00,54.00,2174.00,1378.00,395.00,213.00,129.00,145.00,95.00,47.00,APPROVED
TX: CORPUS CHRISTI,01/06/2023 02:28:00,55.00,2168.00,1357.00,393.00,208.00,125.00,145.00,97.00,47.00,APPROVED
TX: CORPUS CHRISTI,01/06/2023 03:28:00,52.00,2161.00,1342.00,393.00,204.00,125.00,146.00,95.00,45.00,APPROVED
TX: CORPUS CHRISTI,01/06/2023 04:28:00,54.00,2140.00,1331.00,389.00,201.00,124.00,143.00,96.00,45.00,APPROVED
TX: CORPUS CHRISTI,01/06/2023 05:28:00,55.00,2142.00,1336.00,391.00,203.00,124.00,143.00,94.00,44.00,APPROVED
TX: CORPUS CHRISTI,01/06/2023 06:28:00,55.00,2139.00,1329.00,390.00,205.00,124.00,140.00,94.00,45.00,APPROVED
TX: CORPUS CHRISTI,01/06/2023 07:29:00,54.00,2147.00,1323.00,387.00,202.00,124.00,140.00,92.00,45.00,APPROVED
TX: CORPUS CHRISTI,01/06/2023 08:29:00,53.00,2146.00,1327.00,384.00,201.00,126.00,139.00,92.00,44.00,APPROVED
TX: CORPUS CHRISTI,01/06/2023 09:29:00,54.00,2173.00,1358.00,391.00,208.00,129.00,145.00,93.00,46.00,APPROVED
TX: CORPUS CHRISTI,01/06/2023 10:29:00,56.00,2234.00,1458.00,421.00,232.00,134.00,157.00,103.00,48.00,APPROVED
TX: CORPUS CHRISTI,01/06/2023 11:29:00,57.00,2301.00,1561.00,444.00,262.00,145.00,175.00,109.00,51.00,APPROVED
TX: CORPUS CHRISTI,01/06/2023 12:30:00,56.00,2309.00,1563.00,455.00,265.00,143.00,174.00,111.00,52.00,APPROVED
TX: CORPUS CHRISTI,01/06/2023 13:30:00,56.00,2253.00,1479.00,431.00,242.00,138.00,163.00,106.00,50.00,APPROVED
TX: CORPUS CHRISTI,01/06/2023 14:30:00,51.00,2204.00,1403.00,411.00,217.00,133.00,151.00,97.00,49.00,APPROVED
TX: CORPUS CHRISTI,01/06/2023 15:56:00,55.00,2109.00,1269.00,367.00,186.00,121.00,136.00,90.00,40.00,APPROVED
TX: CORPUS CHRISTI,01/06/2023 16:57:00,52.00,2102.00,1279.00,373.00,200.00,122.00,138.00,92.00,42.00,APPROVED
TX: CORPUS CHRISTI,01/06/2023 17:57:00,55.00,2115.00,1293.00,371.00,201.00,122.00,139.00,91.00,44.00,APPROVED
