LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
TX: DALLAS,01/01/2023 00:43:00,40.00,1338.00,857.00,238.00,135.00,87.00,112.00,86.00,20.00,APPROVED
TX: DALLAS,01/01/2023 01:43:00,38.00,1338.00,842.00,238.00,133.00,85.00,110.00,89.00,19.00,APPROVED
TX: DALLAS,01/01/2023 02:43:00,38.00,1347.00,855.00,232.00,136.00,86.00,112.00,87.00,19.00,APPROVED
TX: DALLAS,01/01/2023 03:43:00,39.00,1373.00,876.00,241.00,143.00,86.00,116.00,90.00,20.00,APPROVED
TX: DALLAS,01/01/2023 04:43:00,40.00,1394.00,886.00,250.00,148.00,88.00,120.00,91.00,19.00,APPROVED
TX: DALLAS,01/01/2023 05:44:00,39.00,1400.00,918.00,253.00,147.00,89.00,120.00,91.00,21.00,APPROVED
TX: DALLAS,01/01/2023 06:44:00,39.00,1421.00,929.00,258.00,152.00,91.00,122.00,94.00,20.00,APPROVED
TX: DALLAS,01/01/2023 07:44:00,38.00,1437.00,951.00,265.00,158.00,94.00,124.00,93.00,21.00,APPROVED
TX: DALLAS,01/01/2023 08:44:00,39.00,1474.00,993.00,274.00,166.00,95.00,128.00,96.00,23.00,APPROVED
TX: DALLAS,01/01/2023 09:44:00,40.00,1496.00,1007.00,281.00,175.00,99.00,133.00,99.00,23.00,APPROVED
TX: DALLAS,01/01/2023 10:45:00,42.00,1511.00,1029.00,284.00,179.00,100.00,137.00,103.00,24.00,APPROVED
TX: DALLAS,01/01/2023 11:45:00,42.00,1523.00,1044.00,283.00,179.00,102.00,138.00,100.00,24.00,APPROVED
TX: DALLAS,01/01/2023 12:45:00,42.00,1558.00,1069.00,301.00,187.00,98.00,138.00,105.00,25.00,APPROVED
TX: DALLAS,01/01/2023 13:45:00,41.00,1569.00,1089.00,298.00,190.00,105.00,146.00,105.00,25.00,APPROVED
TX: DALLAS,01/01/2023 14:45:00,40.00,1552.00,1078.00,300.00,190.00,106.00,140.00,104.00,25.00,APPROVED
TX: DALLAS,01/01/2023 15:46:00,39.00,1534.00,1056.00,298.00,188.00,103.00,140.00,103.00,26.00,APPROVED
TX: DALLAS,01/01/2023 16:46:00,40.00,1503.00,1036.00,289.00,180.00,102.00,137.00,100.00,25.00,APPROVED
TX: DALLAS,01/01/2023 17:46:00,40.00,1497.00,1029.00,288.00,182.00,101.00,137.00,101.00,25.00,APPROVED
TX: DALLAS,01/01/2023 18:46:00,40.00,1483.00,1016.00,282.00,177.00,102.00,134.00,100.00,25.00,APPROVED
TX: DALLAS,01/01/2023 19:47:00,41.00,1466.00,993.00,274.00,170.00,96.00,133.00,100.00,24.00,APPROVED
