LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
TX: HARLINGEN,01/04/2023 16:43:00,,1738.00,1023.00,300.00,152.00,91.00,106.00,65.00,26.00,APPROVED
TX: HARLINGEN,01/04/2023 17:43:00,,1623.00,991.00,301.00,154.00,93.00,111.00,71.00,26.00,APPROVED
TX: HARLINGEN,01/04/2023 18:44:00,,1546.00,947.00,296.00,151.00,90.00,108.00,71.00,27.00,APPROVED
TX: HARLINGEN,01/04/2023 19:44:00,,1529.00,932.00,291.00,148.00,90.00,105.00,71.00,27.00,APPROVED
TX: HARLINGEN,01/04/2023 20:44:00,,1513.00,921.00,290.00,143.00,90.00,103.00,70.00,27.00,APPROVED
TX: HARLINGEN,01/04/2023 21:44:00,,1503.00,904.00,281.00,142.00,89.00,102.00,68.00,28.00,APPROVED
TX: HARLINGEN,01/04/2023 22:44:00,,1542.00,924.00,277.00,144.00,89.00,103.00,68.00,27.00,APPROVED
TX: HARLINGEN,01/04/2023 23:45:00,,1605.00,959.00,281.00,142.00,89.00,100.00,67.00,25.00,APPROVED
TX: HARLINGEN,01/05/2023 00:45:00,,1652.00,972.00,283.00,146.00,87.00,100.00,66.00,26.00,APPROVED
TX: HARLINGEN,01/05/2023 01:45:00,,1709.00,1003.00,290.00,147.00,88.00,100.00,67.00,26.00,APPROVED
TX: HARLINGEN,01/05/2023 02:45:00,,1746.00,1023.00,296.00,147.00,90.00,100.00,67.00,26.00,APPROVED
TX: HARLINGEN,01/05/2023 03:45:00,,1819.00,1066.00,300.00,151.00,93.00,105.00,66.00,26.00,APPROVED
TX: HARLINGEN,01/05/2023 04:46:00,,1845.00,1075.00,306.00,154.00,94.00,107.00,68.00,27.00,APPROVED
TX: HARLINGEN,01/05/2023 05:46:00,,1847.00,1084.00,304.00,156.00,94.00,106.00,65.00,25.00,APPROVED
TX: HARLINGEN,01/05/2023 06:46:00,,1862.00,1085.00,307.00,154.00,94.00,107.00,66.00,27.00,APPROVED
TX: HARLINGEN,01/05/2023 07:46:00,,1912.00,1118.00,312.00,162.00,93.00,111.00,66.00,26.00,APPROVED
TX: HARLINGEN,01/05/2023 08:46:00,,1978.00,1177.00,330.00,167.00,98.00,116.00,67.00,28.00,APPROVED
TX: HARLINGEN,01/05/2023 09:47:00,,2051.00,1241.00,342.00,179.00,102.00,124.00,72.00,29.00,APPROVED
TX: HARLINGEN,01/05/2023 10:47:00,,2066.00,1253.00,354.00,178.00,106.00,132.00,71.00,29.00,APPROVED
TX: HARLINGEN,01/05/2023 11:47:00,,2096.00,1259.00,353.00,176.00,104.00,131.00,70.00,30.00,APPROVED
