LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
UT: SALT LAKE CITY,01/01/2023 00:37:00,60.00,1377.00,805.00,238.00,128.00,74.00,85.00,55.00,30.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 01:37:00,65.00,1477.00,900.00,259.00,144.00,82.00,94.00,63.00,32.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 02:37:00,66.00,1519.00,938.00,272.00,152.00,82.00,99.00,63.00,31.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 03:37:00,65.00,1557.00,970.00,278.00,161.00,84.00,102.00,65.00,31.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 04:37:00,69.00,1587.00,992.00,286.00,163.00,88.00,110.00,66.00,33.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 05:38:00,67.00,1545.00,958.00,274.00,157.00,85.00,102.00,65.00,33.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 06:38:00,63.00,1557.00,957.00,279.00,158.00,84.00,103.00,64.00,32.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 07:38:00,67.00,1634.00,1041.00,292.00,174.00,90.00,110.00,68.00,33.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 08:38:00,70.00,1700.00,1104.00,312.00,187.00,97.00,118.00,71.00,35.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 09:39:00,72.00,1692.00,1088.00,310.00,190.00,95.00,117.00,73.00,33.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 10:39:00,69.00,1637.00,1046.00,293.00,178.00,92.00,115.00,69.00,34.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 11:39:00,70.00,1666.00,1085.00,307.00,183.00,91.00,119.00,72.00,34.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 12:39:00,69.00,1672.00,1079.00,302.00,182.00,93.00,119.00,72.00,33.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 13:39:00,72.00,1660.00,1061.00,298.00,177.00,92.00,112.00,71.00,33.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 14:40:00,71.00,1641.00,1034.00,296.00,180.00,92.00,114.00,68.00,34.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 15:40:00,74.00,1694.00,1104.00,310.00,186.00,94.00,116.00,72.00,34.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 16:40:00,75.00,1734.00,1133.00,318.00,194.00,97.00,119.00,76.00,34.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 17:40:00,73.00,1699.00,1085.00,309.00,188.00,94.00,120.00,71.00,34.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 18:40:00,72.00,1655.00,1057.00,302.00,184.00,92.00,115.00,69.00,34.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 19:41:00,71.00,1743.00,1137.00,319.00,196.00,96.00,124.00,74.00,36.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 20:41:00,79.00,1800.00,1206.00,332.00,213.00,101.00,130.00,79.00,36.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 21:41:00,78.00,1811.00,1197.00,339.00,209.00,102.00,133.00,76.00,36.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 22:41:00,77.00,1806.00,1182.00,336.00,209.00,101.00,131.00,75.00,37.00,APPROVED
UT: SALT LAKE CITY,01/01/2023 23:42:00,79.00,1864.00,1257.00,350.00,222.00,109.00,138.00,83.00,37.00,APPROVED
UT: SALT LAKE CITY,01/02/2023 00:42:00,85.00,1996.00,1371.00,378.00,246.00,115.00,153.00,88.00,40.00,APPROVED
UT: SALT LAKE CITY,01/02/2023 01:42:00,82.00,2103.00,1469.00,399.00,269.00,125.00,166.00,92.00,39.00,APPROVED
UT: SALT LAKE CITY,01/02/2023 02:42:00,76.00,1884.00,1274.00,354.00,234.00,110.00,140.00,85.00,37.00,APPROVED
UT: SALT LAKE CITY,01/02/2023 03:42:00,73.00,1846.00,1230.00,343.00,222.00,105.00,140.00,81.00,35.00,APPROVED
UT: SALT LAKE CITY,01/02/2023 04:43:00,78.00,1994.00,1340.00,372.00,238.00,114.00,150.00,86.00,38.00,APPROVED
UT: SALT LAKE CITY,01/02/2023 05:43:00,77.00,2064.00,1413.00,394.00,252.00,116.00,157.00,88.00,39.00,APPROVED
