LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
VA: HARRISONBURG,01/01/2023 00:21:00,57.00,1955.00,1235.00,397.00,233.00,132.00,146.00,90.00,47.00,APPROVED
VA: HARRISONBURG,01/01/2023 01:21:00,51.00,1893.00,1186.00,388.00,226.00,129.00,141.00,90.00,45.00,APPROVED
VA: HARRISONBURG,01/01/2023 02:21:00,50.00,1877.00,1169.00,378.00,217.00,127.00,132.00,88.00,45.00,APPROVED
VA: HARRISONBURG,01/01/2023 03:22:00,50.00,1864.00,1163.00,376.00,215.00,125.00,138.00,86.00,46.00,APPROVED
VA: HARRISONBURG,01/01/2023 04:22:00,51.00,1881.00,1172.00,381.00,218.00,130.00,139.00,88.00,46.00,APPROVED
VA: HARRISONBURG,01/01/2023 05:22:00,53.00,1911.00,1223.00,387.00,230.00,131.00,140.00,91.00,48.00,APPROVED
VA: HARRISONBURG,01/01/2023 06:22:00,53.00,1944.00,1256.00,394.00,237.00,137.00,146.00,94.00,48.00,APPROVED
VA: HARRISONBURG,01/01/2023 07:22:00,50.00,1942.00,1257.00,397.00,234.00,132.00,151.00,93.00,47.00,APPROVED
VA: HARRISONBURG,01/01/2023 08:23:00,52.00,1938.00,1263.00,405.00,235.00,133.00,145.00,93.00,47.00,APPROVED
VA: HARRISONBURG,01/01/2023 09:23:00,51.00,1937.00,1264.00,406.00,237.00,134.00,147.00,94.00,48.00,APPROVED
VA: HARRISONBURG,01/01/2023 10:23:00,51.00,1918.00,1242.00,402.00,232.00,132.00,146.00,93.00,48.00,APPROVED
VA: HARRISONBURG,01/01/2023 11:23:00,51.00,1929.00,1257.00,407.00,240.00,134.00,153.00,95.00,47.00,APPROVED
VA: HARRISONBURG,01/01/2023 12:24:00,52.00,1939.00,1267.00,406.00,239.00,136.00,154.00,94.00,50.00,APPROVED
VA: HARRISONBURG,01/01/2023 13:24:00,52.00,1953.00,1286.00,414.00,241.00,135.00,154.00,96.00,49.00,APPROVED
VA: HARRISONBURG,01/01/2023 14:24:00,55.00,1954.00,1293.00,414.00,246.00,138.00,152.00,97.00,49.00,APPROVED
VA: HARRISONBURG,01/01/2023 15:24:00,53.00,1924.00,1248.00,395.00,234.00,136.00,146.00,92.00,47.00,APPROVED
VA: HARRISONBURG,01/01/2023 16:24:00,51.00,1898.00,1199.00,384.00,225.00,130.00,144.00,89.00,46.00,APPROVED
VA: HARRISONBURG,01/01/2023 17:25:00,50.00,1889.00,1180.00,381.00,218.00,128.00,135.00,88.00,45.00,APPROVED
VA: HARRISONBURG,01/01/2023 18:25:00,50.00,1873.00,1171.00,375.00,219.00,130.00,134.00,88.00,46.00,APPROVED
VA: HARRISONBURG,01/01/2023 19:25:00,50.00,1873.00,1165.00,375.00,212.00,127.00,138.00,88.00,46.00,APPROVED
VA: HARRISONBURG,01/01/2023 20:25:00,50.00,1880.00,1161.00,370.00,213.00,127.00,134.00,87.00,46.00,APPROVED
VA: HARRISONBURG,01/01/2023 21:25:00,50.00,1872.00,1150.00,372.00,215.00,128.00,134.00,88.00,46.00,APPROVED
VA: HARRISONBURG,01/01/2023 22:26:00,51.00,1857.00,1157.00,377.00,213.00,126.00,133.00,88.00,46.00,APPROVED
VA: HARRISONBURG,01/01/2023 23:26:00,49.00,1865.00,1156.00,370.00,213.00,125.00,134.00,88.00,44.00,APPROVED
VA: HARRISONBURG,01/02/2023 00:26:00,50.00,1866.00,1145.00,375.00,211.00,123.00,136.00,90.00,46.00,APPROVED
VA: HARRISONBURG,01/02/2023 01:26:00,50.00,1867.00,1157.00,374.00,214.00,130.00,133.00,87.00,45.00,APPROVED
VA: HARRISONBURG,01/02/2023 02:27:00,49.00,1874.00,1160.00,375.00,218.00,129.00,134.00,88.00,45.00,APPROVED
VA: HARRISONBURG,01/02/2023 03:27:00,52.00,1882.00,1151.00,371.00,214.00,126.00,133.00,87.00,44.00,APPROVED
VA: HARRISONBURG,01/02/2023 04:27:00,50.00,1886.00,1173.00,376.00,218.00,129.00,132.00,90.00,44.00,APPROVED
VA: HARRISONBURG,01/02/2023 05:27:00,49.00,1904.00,1187.00,380.00,218.00,129.00,139.00,89.00,45.00,APPROVED
VA: HARRISONBURG,01/02/2023 06:27:00,51.00,1899.00,1204.00,380.00,218.00,131.00,139.00,88.00,47.00,APPROVED
VA: HARRISONBURG,01/02/2023 07:28:00,53.00,1914.00,1216.00,389.00,226.00,131.00,141.00,91.00,46.00,APPROVED
VA: HARRISONBURG,01/02/2023 08:28:00,52.00,1934.00,1264.00,401.00,242.00,136.00,149.00,96.00,49.00,APPROVED
VA: HARRISONBURG,01/02/2023 09:28:00,52.00,1965.00,1301.00,412.00,245.00,136.00,157.00,96.00,48.00,APPROVED
VA: HARRISONBURG,01/02/2023 10:28:00,54.00,1994.00,1339.00,428.00,258.00,143.00,159.00,99.00,50.00,APPROVED
VA: HARRISONBURG,01/02/2023 11:28:00,54.00,2009.00,1367.00,434.00,260.00,145.00,163.00,100.00,53.00,APPROVED
VA: HARRISONBURG,01/02/2023 12:29:00,52.00,1987.00,1336.00,430.00,255.00,144.00,162.00,101.00,50.00,APPROVED
VA: HARRISONBURG,01/02/2023 13:29:00,51.00,1995.00,1330.00,426.00,251.00,139.00,159.00,99.00,49.00,APPROVED
VA: HARRISONBURG,01/02/2023 14:29:00,52.00,1973.00,1300.00,425.00,252.00,138.00,155.00,99.00,50.00,APPROVED
VA: HARRISONBURG,01/02/2023 15:29:00,51.00,1952.00,1257.00,405.00,239.00,137.00,147.00,97.00,50.00,APPROVED
VA: HARRISONBURG,01/02/2023 16:30:00,51.00,1937.00,1229.00,396.00,232.00,136.00,144.00,94.00,47.00,APPROVED
VA: HARRISONBURG,01/02/2023 17:30:00,51.00,1921.00,1213.00,387.00,231.00,132.00,141.00,95.00,47.00,APPROVED
VA: HARRISONBURG,01/02/2023 18:30:00,54.00,1943.00,1228.00,396.00,228.00,129.00,143.00,92.00,47.00,APPROVED
VA: HARRISONBURG,01/02/2023 19:30:00,52.00,1910.00,1222.00,392.00,227.00,134.00,142.00,91.00,47.00,APPROVED
VA: HARRISONBURG,01/02/2023 20:30:00,51.00,1922.00,1214.00,385.00,228.00,133.00,139.00,91.00,47.00,APPROVED
VA: HARRISONBURG,01/02/2023 21:31:00,51.00,1921.00,1193.00,386.00,221.00,129.00,139.00,91.00,47.00,APPROVED
VA: HARRISONBURG,01/02/2023 22:31:00,52.00,1922.00,1200.00,385.00,224.00,129.00,140.00,89.00,47.00,APPROVED
VA: HARRISONBURG,01/02/2023 23:31:00,52.00,1926.00,1223.00,385.00,225.00,133.00,140.00,92.00,46.00,APPROVED
VA: HARRISONBURG,01/03/2023 00:31:00,50.00,1937.00,1230.00,387.00,230.00,131.00,143.00,89.00,47.00,APPROVED
VA: HARRISONBURG,01/03/2023 01:31:00,49.00,1945.00,1234.00,393.00,231.00,132.00,146.00,91.00,48.00,APPROVED
VA: HARRISONBURG,01/03/2023 02:32:00,53.00,1958.00,1244.00,396.00,232.00,133.00,144.00,92.00,48.00,APPROVED
VA: HARRISONBURG,01/03/2023 03:32:00,51.00,1969.00,1262.00,402.00,240.00,134.00,150.00,95.00,49.00,APPROVED
VA: HARRISONBURG,01/03/2023 04:32:00,52.00,1959.00,1262.00,404.00,234.00,136.00,147.00,94.00,50.00,APPROVED
VA: HARRISONBURG,01/03/2023 05:32:00,52.00,1954.00,1259.00,397.00,238.00,134.00,147.00,95.00,47.00,APPROVED
VA: HARRISONBURG,01/03/2023 06:33:00,50.00,1943.00,1246.00,403.00,234.00,134.00,147.00,92.00,47.00,APPROVED
VA: HARRISONBURG,01/03/2023 07:33:00,49.00,1949.00,1235.00,396.00,231.00,131.00,142.00,90.00,47.00,APPROVED
VA: HARRISONBURG,01/03/2023 08:33:00,51.00,1946.00,1238.00,396.00,238.00,137.00,145.00,92.00,47.00,APPROVED
VA: HARRISONBURG,01/03/2023 09:33:00,53.00,1956.00,1245.00,403.00,232.00,134.00,144.00,93.00,48.00,APPROVED
VA: HARRISONBURG,01/03/2023 10:33:00,52.00,1957.00,1249.00,398.00,232.00,134.00,144.00,95.00,47.00,APPROVED
VA: HARRISONBURG,01/03/2023 11:34:00,53.00,1970.00,1258.00,400.00,236.00,133.00,143.00,92.00,50.00,APPROVED
VA: HARRISONBURG,01/03/2023 12:34:00,52.00,1971.00,1253.00,400.00,236.00,134.00,146.00,93.00,49.00,APPROVED
VA: HARRISONBURG,01/03/2023 13:34:00,51.00,1983.00,1256.00,402.00,237.00,134.00,148.00,94.00,50.00,APPROVED
VA: HARRISONBURG,01/03/2023 14:34:00,52.00,1991.00,1284.00,408.00,243.00,136.00,149.00,95.00,49.00,APPROVED
VA: HARRISONBURG,01/03/2023 15:52:00,53.00,1929.00,1179.00,379.00,214.00,128.00,134.00,86.00,44.00,APPROVED
VA: HARRISONBURG,01/03/2023 16:52:00,50.00,1931.00,1217.00,385.00,231.00,131.00,141.00,89.00,46.00,APPROVED
VA: HARRISONBURG,01/03/2023 17:53:00,51.00,1907.00,1199.00,383.00,226.00,133.00,141.00,92.00,46.00,APPROVED
VA: HARRISONBURG,01/03/2023 18:53:00,53.00,1889.00,1181.00,376.00,218.00,132.00,139.00,89.00,47.00,APPROVED
VA: HARRISONBURG,01/03/2023 19:53:00,53.00,1892.00,1172.00,377.00,218.00,132.00,137.00,89.00,45.00,APPROVED
VA: HARRISONBURG,01/03/2023 20:53:00,52.00,1904.00,1188.00,378.00,219.00,133.00,138.00,89.00,45.00,APPROVED
VA: HARRISONBURG,01/03/2023 21:54:00,54.00,1903.00,1183.00,377.00,221.00,129.00,141.00,88.00,47.00,APPROVED
VA: HARRISONBURG,01/03/2023 22:54:00,51.00,1898.00,1179.00,380.00,220.00,132.00,137.00,89.00,45.00,APPROVED
VA: HARRISONBURG,01/03/2023 23:54:00,53.00,1896.00,1183.00,377.00,219.00,132.00,135.00,89.00,44.00,APPROVED
VA: HARRISONBURG,01/04/2023 00:54:00,51.00,1897.00,1181.00,374.00,220.00,130.00,137.00,91.00,45.00,APPROVED
VA: HARRISONBURG,01/04/2023 01:54:00,54.00,1886.00,1189.00,375.00,218.00,129.00,136.00,92.00,47.00,APPROVED
VA: HARRISONBURG,01/04/2023 02:55:00,51.00,1892.00,1178.00,382.00,219.00,130.00,138.00,91.00,44.00,APPROVED
VA: HARRISONBURG,01/04/2023 03:55:00,53.00,1893.00,1175.00,376.00,220.00,129.00,139.00,89.00,46.00,APPROVED
VA: HARRISONBURG,01/04/2023 04:55:00,50.00,1864.00,1166.00,380.00,213.00,128.00,137.00,86.00,46.00,APPROVED
VA: HARRISONBURG,01/04/2023 05:55:00,51.00,1867.00,1162.00,372.00,215.00,127.00,135.00,89.00,45.00,APPROVED
VA: HARRISONBURG,01/04/2023 07:56:00,52.00,1857.00,1149.00,372.00,216.00,127.00,134.00,85.00,44.00,APPROVED
VA: HARRISONBURG,01/04/2023 08:56:00,50.00,1857.00,1148.00,363.00,212.00,127.00,132.00,87.00,43.00,APPROVED
VA: HARRISONBURG,01/04/2023 09:56:00,51.00,1857.00,1140.00,366.00,213.00,124.00,135.00,88.00,44.00,APPROVED
VA: HARRISONBURG,01/04/2023 10:56:00,52.00,1862.00,1148.00,370.00,215.00,124.00,134.00,87.00,44.00,APPROVED
VA: HARRISONBURG,01/04/2023 11:57:00,50.00,1842.00,1145.00,368.00,213.00,125.00,131.00,88.00,45.00,APPROVED
VA: HARRISONBURG,01/04/2023 12:57:00,50.00,1861.00,1149.00,373.00,216.00,126.00,132.00,89.00,44.00,APPROVED
VA: HARRISONBURG,01/04/2023 14:57:00,50.00,1889.00,1173.00,377.00,221.00,129.00,134.00,88.00,45.00,APPROVED
VA: HARRISONBURG,01/04/2023 15:57:00,53.00,1856.00,1165.00,378.00,217.00,125.00,136.00,90.00,45.00,APPROVED
VA: HARRISONBURG,01/04/2023 16:58:00,53.00,1871.00,1161.00,376.00,216.00,127.00,137.00,88.00,46.00,APPROVED
VA: HARRISONBURG,01/04/2023 17:58:00,53.00,1874.00,1167.00,373.00,215.00,129.00,136.00,91.00,46.00,APPROVED
VA: HARRISONBURG,01/04/2023 18:58:00,53.00,1866.00,1159.00,371.00,215.00,128.00,138.00,88.00,45.00,APPROVED
VA: HARRISONBURG,01/04/2023 19:58:00,53.00,1870.00,1153.00,374.00,214.00,130.00,134.00,89.00,44.00,APPROVED
VA: HARRISONBURG,01/04/2023 20:59:00,52.00,1835.00,1133.00,368.00,208.00,122.00,132.00,87.00,44.00,APPROVED
VA: HARRISONBURG,01/04/2023 21:59:00,52.00,1836.00,1131.00,365.00,204.00,124.00,131.00,86.00,46.00,APPROVED
VA: HARRISONBURG,01/04/2023 22:59:00,52.00,1842.00,1129.00,366.00,209.00,124.00,131.00,84.00,45.00,APPROVED
VA: HARRISONBURG,01/04/2023 23:59:00,52.00,1844.00,1126.00,366.00,210.00,125.00,131.00,88.00,44.00,APPROVED
VA: HARRISONBURG,01/05/2023 00:59:00,51.00,1855.00,1133.00,365.00,209.00,128.00,130.00,86.00,44.00,APPROVED
VA: HARRISONBURG,01/05/2023 02:00:00,51.00,1844.00,1136.00,366.00,212.00,124.00,132.00,88.00,44.00,APPROVED
VA: HARRISONBURG,01/05/2023 03:00:00,49.00,1862.00,1141.00,372.00,212.00,126.00,131.00,86.00,45.00,APPROVED
VA: HARRISONBURG,01/05/2023 04:00:00,52.00,1871.00,1151.00,371.00,213.00,124.00,129.00,87.00,44.00,APPROVED
VA: HARRISONBURG,01/05/2023 05:00:00,50.00,1879.00,1166.00,374.00,215.00,128.00,135.00,89.00,46.00,APPROVED
VA: HARRISONBURG,01/05/2023 07:01:00,52.00,1912.00,1214.00,387.00,226.00,128.00,140.00,91.00,46.00,APPROVED
VA: HARRISONBURG,01/05/2023 08:01:00,52.00,1931.00,1243.00,400.00,232.00,135.00,144.00,94.00,47.00,APPROVED
VA: HARRISONBURG,01/05/2023 09:01:00,52.00,1919.00,1204.00,388.00,224.00,132.00,138.00,89.00,45.00,APPROVED
VA: HARRISONBURG,01/05/2023 10:01:00,52.00,1906.00,1203.00,382.00,218.00,131.00,139.00,91.00,46.00,APPROVED
VA: HARRISONBURG,01/05/2023 11:02:00,54.00,1939.00,1219.00,386.00,224.00,128.00,139.00,89.00,46.00,APPROVED
VA: HARRISONBURG,01/05/2023 12:02:00,54.00,1973.00,1266.00,400.00,235.00,131.00,145.00,92.00,47.00,APPROVED
VA: HARRISONBURG,01/05/2023 13:02:00,56.00,2001.00,1290.00,412.00,240.00,137.00,153.00,95.00,47.00,APPROVED
VA: HARRISONBURG,01/05/2023 14:02:00,55.00,2028.00,1335.00,430.00,243.00,140.00,158.00,99.00,49.00,APPROVED
VA: HARRISONBURG,01/05/2023 15:02:00,55.00,2007.00,1306.00,420.00,254.00,140.00,156.00,96.00,49.00,APPROVED
VA: HARRISONBURG,01/05/2023 16:03:00,54.00,1955.00,1247.00,402.00,238.00,137.00,148.00,93.00,48.00,APPROVED
VA: HARRISONBURG,01/05/2023 17:03:00,52.00,1939.00,1225.00,396.00,227.00,134.00,142.00,91.00,47.00,APPROVED
VA: HARRISONBURG,01/05/2023 18:03:00,53.00,1933.00,1217.00,386.00,225.00,133.00,139.00,93.00,46.00,APPROVED
VA: HARRISONBURG,01/05/2023 19:03:00,54.00,1918.00,1208.00,385.00,225.00,129.00,139.00,92.00,45.00,APPROVED
VA: HARRISONBURG,01/05/2023 20:04:00,53.00,1910.00,1201.00,384.00,222.00,131.00,136.00,90.00,45.00,APPROVED
VA: HARRISONBURG,01/05/2023 21:04:00,56.00,1910.00,1192.00,380.00,221.00,129.00,138.00,87.00,47.00,APPROVED
VA: HARRISONBURG,01/05/2023 22:04:00,54.00,1915.00,1185.00,379.00,223.00,130.00,139.00,89.00,46.00,APPROVED
VA: HARRISONBURG,01/05/2023 23:04:00,51.00,1927.00,1195.00,385.00,219.00,130.00,137.00,91.00,47.00,APPROVED
VA: HARRISONBURG,01/06/2023 00:04:00,52.00,1925.00,1210.00,381.00,224.00,129.00,138.00,92.00,48.00,APPROVED
VA: HARRISONBURG,01/06/2023 01:05:00,54.00,1923.00,1209.00,381.00,223.00,129.00,141.00,89.00,46.00,APPROVED
VA: HARRISONBURG,01/06/2023 02:05:00,53.00,1956.00,1236.00,392.00,227.00,132.00,141.00,90.00,46.00,APPROVED
VA: HARRISONBURG,01/06/2023 03:05:00,52.00,1978.00,1254.00,402.00,238.00,134.00,143.00,94.00,47.00,APPROVED
VA: HARRISONBURG,01/06/2023 04:05:00,52.00,1989.00,1282.00,401.00,237.00,138.00,150.00,94.00,49.00,APPROVED
VA: HARRISONBURG,01/06/2023 05:05:00,52.00,2003.00,1310.00,416.00,245.00,136.00,156.00,98.00,49.00,APPROVED
VA: HARRISONBURG,01/06/2023 06:06:00,53.00,2035.00,1358.00,427.00,253.00,141.00,157.00,98.00,51.00,APPROVED
VA: HARRISONBURG,01/06/2023 07:06:00,54.00,2064.00,1392.00,444.00,260.00,147.00,168.00,102.00,50.00,APPROVED
VA: HARRISONBURG,01/06/2023 08:06:00,54.00,2046.00,1402.00,450.00,260.00,145.00,166.00,107.00,50.00,APPROVED
VA: HARRISONBURG,01/06/2023 09:06:00,54.00,2038.00,1369.00,443.00,254.00,142.00,166.00,100.00,50.00,APPROVED
VA: HARRISONBURG,01/06/2023 10:07:00,52.00,1991.00,1312.00,422.00,247.00,143.00,157.00,96.00,49.00,APPROVED
VA: HARRISONBURG,01/06/2023 11:07:00,53.00,1947.00,1254.00,408.00,237.00,134.00,147.00,95.00,46.00,APPROVED
VA: HARRISONBURG,01/06/2023 12:07:00,50.00,1896.00,1191.00,392.00,220.00,129.00,139.00,89.00,45.00,APPROVED
VA: HARRISONBURG,01/06/2023 13:07:00,50.00,1881.00,1172.00,376.00,216.00,126.00,132.00,87.00,45.00,APPROVED
VA: HARRISONBURG,01/06/2023 14:07:00,52.00,1879.00,1175.00,378.00,219.00,127.00,136.00,87.00,43.00,APPROVED
VA: HARRISONBURG,01/06/2023 15:08:00,51.00,1899.00,1177.00,379.00,218.00,128.00,134.00,90.00,46.00,APPROVED
VA: HARRISONBURG,01/06/2023 16:08:00,51.00,1906.00,1192.00,387.00,218.00,128.00,137.00,88.00,48.00,APPROVED
VA: HARRISONBURG,01/06/2023 17:08:00,53.00,1904.00,1190.00,388.00,220.00,129.00,136.00,89.00,45.00,APPROVED
VA: HARRISONBURG,01/06/2023 18:08:00,50.00,1920.00,1194.00,382.00,221.00,129.00,136.00,91.00,45.00,APPROVED
VA: HARRISONBURG,01/06/2023 19:08:00,49.00,1908.00,1188.00,383.00,221.00,129.00,139.00,90.00,46.00,APPROVED
VA: HARRISONBURG,01/06/2023 20:09:00,51.00,1899.00,1189.00,389.00,218.00,129.00,136.00,92.00,45.00,APPROVED
VA: HARRISONBURG,01/06/2023 21:09:00,53.00,1916.00,1204.00,391.00,223.00,130.00,140.00,88.00,46.00,APPROVED
VA: HARRISONBURG,01/06/2023 22:09:00,51.00,1925.00,1212.00,391.00,225.00,132.00,138.00,92.00,47.00,APPROVED
VA: HARRISONBURG,01/06/2023 23:09:00,52.00,1935.00,1224.00,395.00,227.00,133.00,144.00,92.00,45.00,APPROVED
VA: HARRISONBURG,01/07/2023 00:10:00,49.00,1939.00,1222.00,393.00,229.00,132.00,143.00,91.00,46.00,APPROVED
VA: HARRISONBURG,01/07/2023 01:10:00,51.00,1971.00,1252.00,401.00,228.00,131.00,146.00,92.00,47.00,APPROVED
VA: HARRISONBURG,01/07/2023 02:10:00,51.00,1972.00,1261.00,404.00,233.00,136.00,149.00,95.00,47.00,APPROVED
