LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
VA: RICHMOND,01/01/2023 00:37:00,57.00,2118.00,1450.00,408.00,209.00,123.00,158.00,108.00,50.00,APPROVED
VA: RICHMOND,01/01/2023 01:37:00,56.00,2018.00,1350.00,382.00,201.00,115.00,150.00,102.00,47.00,APPROVED
VA: RICHMOND,01/01/2023 02:38:00,51.00,1864.00,1201.00,333.00,166.00,100.00,132.00,93.00,43.00,APPROVED
VA: RICHMOND,01/01/2023 03:38:00,51.00,1810.00,1147.00,312.00,158.00,98.00,124.00,89.00,43.00,APPROVED
VA: RICHMOND,01/01/2023 04:38:00,50.00,1770.00,1110.00,304.00,151.00,94.00,120.00,87.00,40.00,APPROVED
VA: RICHMOND,01/01/2023 05:38:00,48.00,1771.00,1100.00,296.00,147.00,91.00,121.00,86.00,38.00,APPROVED
VA: RICHMOND,01/01/2023 06:39:00,49.00,1760.00,1092.00,295.00,147.00,93.00,119.00,86.00,40.00,APPROVED
VA: RICHMOND,01/01/2023 07:39:00,48.00,1765.00,1108.00,297.00,147.00,94.00,116.00,86.00,39.00,APPROVED
VA: RICHMOND,01/01/2023 08:39:00,49.00,1769.00,1106.00,299.00,148.00,91.00,119.00,84.00,41.00,APPROVED
VA: RICHMOND,01/01/2023 09:39:00,48.00,1795.00,1124.00,310.00,157.00,96.00,122.00,88.00,41.00,APPROVED
VA: RICHMOND,01/01/2023 10:39:00,49.00,1792.00,1128.00,310.00,156.00,96.00,124.00,87.00,41.00,APPROVED
VA: RICHMOND,01/01/2023 11:40:00,47.00,1793.00,1131.00,313.00,157.00,96.00,125.00,86.00,41.00,APPROVED
VA: RICHMOND,01/01/2023 12:40:00,49.00,1808.00,1134.00,312.00,152.00,93.00,123.00,86.00,40.00,APPROVED
VA: RICHMOND,01/01/2023 13:40:00,48.00,1814.00,1129.00,312.00,153.00,95.00,124.00,85.00,40.00,APPROVED
VA: RICHMOND,01/01/2023 14:40:00,48.00,1798.00,1134.00,312.00,157.00,95.00,127.00,85.00,42.00,APPROVED
VA: RICHMOND,01/01/2023 15:40:00,48.00,1796.00,1126.00,310.00,155.00,96.00,123.00,86.00,40.00,APPROVED
VA: RICHMOND,01/01/2023 16:41:00,50.00,1801.00,1139.00,308.00,156.00,96.00,120.00,87.00,42.00,APPROVED
VA: RICHMOND,01/01/2023 17:41:00,49.00,1795.00,1146.00,308.00,156.00,95.00,120.00,92.00,42.00,APPROVED
