LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
WA: OLYMPIA,01/01/2023 00:15:00,33.00,1053.00,539.00,163.00,88.00,59.00,64.00,41.00,26.00,APPROVED
WA: OLYMPIA,01/01/2023 01:15:00,32.00,1048.00,538.00,158.00,89.00,58.00,64.00,42.00,26.00,APPROVED
WA: OLYMPIA,01/01/2023 02:16:00,31.00,1044.00,538.00,161.00,88.00,59.00,63.00,40.00,26.00,APPROVED
WA: OLYMPIA,01/01/2023 03:16:00,32.00,1054.00,535.00,157.00,87.00,59.00,64.00,39.00,26.00,APPROVED
WA: OLYMPIA,01/01/2023 04:16:00,30.00,1047.00,542.00,162.00,89.00,58.00,64.00,40.00,26.00,APPROVED
WA: OLYMPIA,01/01/2023 05:16:00,31.00,1051.00,541.00,163.00,86.00,60.00,64.00,41.00,27.00,APPROVED
WA: OLYMPIA,01/01/2023 06:17:00,31.00,1057.00,551.00,163.00,91.00,59.00,67.00,41.00,26.00,APPROVED
WA: OLYMPIA,01/01/2023 07:17:00,31.00,1060.00,547.00,164.00,89.00,58.00,63.00,41.00,27.00,APPROVED
WA: OLYMPIA,01/01/2023 08:17:00,32.00,1058.00,551.00,164.00,91.00,60.00,66.00,40.00,27.00,APPROVED
WA: OLYMPIA,01/01/2023 09:17:00,32.00,1069.00,557.00,166.00,93.00,60.00,65.00,42.00,26.00,APPROVED
WA: OLYMPIA,01/01/2023 10:17:00,32.00,1069.00,562.00,165.00,93.00,60.00,68.00,42.00,26.00,APPROVED
WA: OLYMPIA,01/01/2023 11:18:00,33.00,1071.00,558.00,167.00,93.00,61.00,68.00,41.00,26.00,APPROVED
WA: OLYMPIA,01/01/2023 12:18:00,31.00,1072.00,569.00,168.00,95.00,60.00,70.00,41.00,27.00,APPROVED
WA: OLYMPIA,01/01/2023 13:18:00,32.00,1086.00,579.00,174.00,96.00,63.00,70.00,44.00,27.00,APPROVED
WA: OLYMPIA,01/01/2023 14:18:00,31.00,1079.00,577.00,173.00,98.00,61.00,71.00,43.00,27.00,APPROVED
WA: OLYMPIA,01/01/2023 15:19:00,32.00,1083.00,586.00,174.00,100.00,62.00,72.00,45.00,28.00,APPROVED
WA: OLYMPIA,01/01/2023 16:19:00,33.00,1095.00,597.00,177.00,102.00,64.00,74.00,46.00,28.00,APPROVED
WA: OLYMPIA,01/01/2023 17:19:00,35.00,1098.00,603.00,177.00,103.00,64.00,73.00,45.00,26.00,APPROVED
WA: OLYMPIA,01/01/2023 18:19:00,32.00,1095.00,593.00,178.00,103.00,62.00,74.00,44.00,27.00,APPROVED
WA: OLYMPIA,01/01/2023 19:20:00,33.00,1077.00,568.00,169.00,96.00,61.00,71.00,43.00,26.00,APPROVED
