LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
WI: LA CROSSE,07/21/2023 17:20:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/21/2023 18:25:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/21/2023 19:29:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/21/2023 20:34:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/21/2023 21:38:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/21/2023 22:42:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/21/2023 23:47:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 00:52:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 01:56:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 03:01:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 04:05:00,68.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 05:09:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 06:12:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 07:15:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 08:18:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 09:21:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 10:24:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 11:27:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 12:31:00,67.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 13:34:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 14:37:00,67.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 15:40:00,67.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 16:43:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 17:46:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 18:50:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/22/2023 19:52:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/24/2023 16:50:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/24/2023 17:54:00,61.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/24/2023 18:58:00,61.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/24/2023 20:01:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/24/2023 21:05:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/24/2023 22:10:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/24/2023 23:15:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 00:20:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 01:25:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 02:29:00,60.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 03:33:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 04:39:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 05:45:00,61.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 06:49:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 07:53:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 08:59:00,61.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 10:04:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 11:09:00,60.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 13:17:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 14:21:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 15:26:00,66.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 16:30:00,67.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 17:34:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 18:38:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 19:42:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 20:45:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 21:47:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 22:50:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/25/2023 23:53:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 00:56:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 01:59:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 03:01:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 04:03:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 05:06:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 06:10:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 07:15:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 08:19:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 09:25:00,73.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 11:34:00,82.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 12:37:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 13:39:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 14:44:00,86.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 15:50:00,108.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 16:56:00,83.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 18:00:00,68.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 19:03:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 20:06:00,59.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 21:09:00,61.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 22:12:00,61.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/26/2023 23:14:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/27/2023 00:17:00,61.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/27/2023 01:19:00,59.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/27/2023 02:21:00,60.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/27/2023 03:24:00,60.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/27/2023 04:27:00,59.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/27/2023 05:29:00,59.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/27/2023 06:32:00,60.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/27/2023 07:34:00,61.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/27/2023 09:39:00,61.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/27/2023 10:41:00,61.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/27/2023 11:43:00,60.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/27/2023 12:45:00,60.00,,,,,,,,,APPROVED
WI: LA CROSSE,07/27/2023 13:48:00,61.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/02/2023 15:56:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/02/2023 17:00:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/02/2023 18:03:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/02/2023 19:06:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/02/2023 20:09:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/02/2023 21:12:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/02/2023 22:14:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/02/2023 23:17:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 00:20:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 01:23:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 02:26:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 03:29:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 04:32:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 05:35:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 06:38:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 07:41:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 08:44:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 09:47:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 10:51:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 11:53:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 12:55:00,66.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 13:58:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 15:00:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 16:02:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 17:04:00,70.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 18:06:00,68.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 19:08:00,66.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 20:11:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 21:14:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 22:16:00,68.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/03/2023 23:19:00,67.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 00:23:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 01:26:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 02:28:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 03:29:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 04:30:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 05:33:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 06:35:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 07:36:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 08:38:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 09:41:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 10:42:00,67.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 11:45:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 12:50:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 13:54:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 14:58:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 16:02:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 17:05:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 18:09:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 19:13:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 20:17:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 21:21:00,61.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 22:25:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/04/2023 23:28:00,61.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 00:31:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 01:34:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 02:37:00,61.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 03:40:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 04:43:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 05:46:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 06:47:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 07:50:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 08:52:00,60.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 09:55:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 10:57:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 11:59:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 13:01:00,59.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 14:03:00,61.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 15:05:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 16:08:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 17:09:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 18:12:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 19:15:00,61.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 20:17:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 21:19:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 22:22:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/05/2023 23:25:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 00:27:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 01:30:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 02:32:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 03:35:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 04:37:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 05:39:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 06:42:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 07:44:00,62.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 08:46:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 09:49:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 10:51:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 11:53:00,66.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 12:55:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 13:58:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 15:02:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 16:04:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 17:06:00,64.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 18:08:00,63.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 19:10:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 20:13:00,65.00,,,,,,,,,APPROVED
WI: LA CROSSE,08/06/2023 21:15:00,62.00,,,,,,,,,APPROVED
