LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
WI: MADISON,01/01/2023 00:35:00,,2220.00,1524.00,442.00,259.00,142.00,192.00,114.00,45.00,APPROVED
WI: MADISON,01/01/2023 01:35:00,,2041.00,1369.00,400.00,238.00,133.00,175.00,107.00,41.00,APPROVED
WI: MADISON,01/01/2023 02:35:00,,1965.00,1297.00,372.00,221.00,125.00,163.00,100.00,40.00,APPROVED
WI: MADISON,01/01/2023 03:36:00,,1959.00,1284.00,367.00,217.00,124.00,162.00,101.00,39.00,APPROVED
WI: MADISON,01/01/2023 04:36:00,,1927.00,1242.00,362.00,209.00,121.00,156.00,101.00,40.00,APPROVED
WI: MADISON,01/01/2023 05:36:00,,1982.00,1307.00,374.00,217.00,127.00,166.00,100.00,38.00,APPROVED
WI: MADISON,01/01/2023 06:36:00,,1951.00,1275.00,371.00,214.00,124.00,161.00,99.00,40.00,APPROVED
WI: MADISON,01/01/2023 07:37:00,,2135.00,1454.00,413.00,250.00,137.00,181.00,110.00,42.00,APPROVED
WI: MADISON,01/01/2023 08:37:00,,2176.00,1495.00,431.00,260.00,140.00,188.00,111.00,43.00,APPROVED
WI: MADISON,01/01/2023 09:37:00,,2067.00,1399.00,408.00,249.00,134.00,178.00,109.00,42.00,APPROVED
WI: MADISON,01/01/2023 10:37:00,,2010.00,1369.00,395.00,241.00,131.00,177.00,108.00,43.00,APPROVED
WI: MADISON,01/01/2023 11:37:00,,2035.00,1416.00,405.00,252.00,134.00,183.00,111.00,43.00,APPROVED
WI: MADISON,01/01/2023 12:38:00,,2065.00,1471.00,424.00,268.00,143.00,191.00,115.00,43.00,APPROVED
WI: MADISON,01/01/2023 13:38:00,,2066.00,1481.00,434.00,270.00,143.00,196.00,118.00,46.00,APPROVED
WI: MADISON,01/01/2023 14:38:00,,2044.00,1440.00,422.00,265.00,138.00,189.00,113.00,44.00,APPROVED
WI: MADISON,01/01/2023 15:38:00,,2011.00,1409.00,399.00,255.00,138.00,183.00,112.00,45.00,APPROVED
WI: MADISON,01/01/2023 16:39:00,,1989.00,1384.00,398.00,247.00,134.00,180.00,111.00,43.00,APPROVED
WI: MADISON,01/01/2023 17:39:00,,1976.00,1362.00,396.00,240.00,134.00,177.00,111.00,42.00,APPROVED
WI: MADISON,01/01/2023 18:39:00,,1989.00,1368.00,393.00,243.00,132.00,176.00,108.00,43.00,APPROVED
WI: MADISON,01/01/2023 19:39:00,,1974.00,1350.00,382.00,242.00,130.00,171.00,108.00,43.00,APPROVED
WI: MADISON,01/01/2023 20:39:00,,1943.00,1321.00,379.00,233.00,130.00,167.00,105.00,42.00,APPROVED
WI: MADISON,01/01/2023 21:40:00,,1940.00,1304.00,366.00,228.00,130.00,166.00,102.00,41.00,APPROVED
WI: MADISON,01/01/2023 22:40:00,,1936.00,1305.00,372.00,226.00,125.00,165.00,102.00,41.00,APPROVED
WI: MADISON,01/01/2023 23:40:00,,1940.00,1313.00,375.00,227.00,132.00,165.00,104.00,43.00,APPROVED
WI: MADISON,01/02/2023 00:40:00,,1932.00,1304.00,375.00,225.00,126.00,170.00,103.00,43.00,APPROVED
WI: MADISON,01/02/2023 01:40:00,,1922.00,1298.00,383.00,221.00,129.00,169.00,103.00,41.00,APPROVED
WI: MADISON,01/02/2023 02:41:00,,1943.00,1311.00,379.00,226.00,126.00,166.00,104.00,41.00,APPROVED
WI: MADISON,01/02/2023 03:41:00,,1955.00,1314.00,381.00,225.00,128.00,168.00,103.00,40.00,APPROVED
WI: MADISON,01/02/2023 04:41:00,,1955.00,1325.00,384.00,226.00,127.00,167.00,102.00,40.00,APPROVED
WI: MADISON,01/02/2023 05:41:00,,1940.00,1297.00,372.00,224.00,130.00,166.00,103.00,41.00,APPROVED
WI: MADISON,01/02/2023 06:42:00,,1944.00,1305.00,372.00,223.00,127.00,160.00,104.00,40.00,APPROVED
WI: MADISON,01/02/2023 07:42:00,,1976.00,1324.00,379.00,227.00,127.00,166.00,104.00,40.00,APPROVED
WI: MADISON,01/02/2023 08:42:00,,2006.00,1367.00,390.00,237.00,134.00,171.00,108.00,42.00,APPROVED
WI: MADISON,01/02/2023 09:42:00,,2021.00,1378.00,393.00,239.00,133.00,176.00,107.00,43.00,APPROVED
WI: MADISON,01/02/2023 10:42:00,,2028.00,1397.00,398.00,237.00,135.00,176.00,109.00,41.00,APPROVED
WI: MADISON,01/02/2023 11:43:00,,2033.00,1397.00,400.00,244.00,136.00,181.00,111.00,42.00,APPROVED
WI: MADISON,01/02/2023 12:43:00,,2070.00,1423.00,410.00,242.00,134.00,182.00,110.00,42.00,APPROVED
WI: MADISON,01/02/2023 13:43:00,,2119.00,1451.00,418.00,249.00,137.00,186.00,114.00,44.00,APPROVED
WI: MADISON,01/02/2023 14:43:00,,2136.00,1498.00,426.00,262.00,137.00,188.00,117.00,45.00,APPROVED
WI: MADISON,01/02/2023 15:44:00,,2154.00,1513.00,437.00,270.00,147.00,197.00,118.00,46.00,APPROVED
WI: MADISON,01/02/2023 16:44:00,,2149.00,1521.00,435.00,272.00,146.00,198.00,121.00,45.00,APPROVED
WI: MADISON,01/02/2023 17:44:00,,2135.00,1509.00,431.00,268.00,142.00,195.00,119.00,45.00,APPROVED
WI: MADISON,01/02/2023 18:44:00,,2120.00,1493.00,425.00,266.00,144.00,191.00,116.00,44.00,APPROVED
WI: MADISON,01/02/2023 19:44:00,,2091.00,1462.00,422.00,265.00,141.00,191.00,112.00,45.00,APPROVED
WI: MADISON,01/02/2023 20:45:00,,2093.00,1461.00,420.00,254.00,140.00,188.00,114.00,43.00,APPROVED
WI: MADISON,01/02/2023 21:45:00,,2112.00,1474.00,421.00,266.00,141.00,189.00,116.00,44.00,APPROVED
WI: MADISON,01/02/2023 22:45:00,,2136.00,1477.00,432.00,268.00,141.00,193.00,117.00,45.00,APPROVED
WI: MADISON,01/02/2023 23:45:00,,2111.00,1489.00,429.00,264.00,143.00,193.00,117.00,42.00,APPROVED
WI: MADISON,01/03/2023 00:45:00,,2067.00,1444.00,427.00,259.00,141.00,189.00,114.00,44.00,APPROVED
WI: MADISON,01/03/2023 01:46:00,,2017.00,1402.00,409.00,248.00,136.00,184.00,112.00,43.00,APPROVED
WI: MADISON,01/03/2023 02:46:00,,2019.00,1380.00,402.00,244.00,137.00,178.00,108.00,42.00,APPROVED
WI: MADISON,01/03/2023 03:46:00,,2002.00,1386.00,405.00,240.00,135.00,179.00,108.00,42.00,APPROVED
WI: MADISON,01/03/2023 04:46:00,,2035.00,1414.00,411.00,248.00,135.00,182.00,112.00,42.00,APPROVED
WI: MADISON,01/03/2023 05:47:00,,2011.00,1395.00,405.00,243.00,137.00,183.00,109.00,42.00,APPROVED
