LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
WY: CASPER,01/01/2023 00:11:00,103.00,2752.00,1671.00,439.00,262.00,149.00,210.00,112.00,43.00,APPROVED
WY: CASPER,01/01/2023 01:11:00,101.00,2760.00,1683.00,451.00,262.00,150.00,207.00,109.00,42.00,APPROVED
WY: CASPER,01/01/2023 02:11:00,103.00,2755.00,1672.00,448.00,262.00,150.00,208.00,107.00,40.00,APPROVED
WY: CASPER,01/01/2023 03:11:00,101.00,2763.00,1672.00,446.00,255.00,148.00,205.00,110.00,40.00,APPROVED
WY: CASPER,01/01/2023 04:11:00,104.00,2804.00,1701.00,448.00,262.00,152.00,205.00,107.00,42.00,APPROVED
WY: CASPER,01/01/2023 05:12:00,103.00,2824.00,1721.00,449.00,264.00,150.00,206.00,111.00,42.00,APPROVED
WY: CASPER,01/01/2023 06:12:00,103.00,2834.00,1731.00,454.00,267.00,153.00,208.00,111.00,43.00,APPROVED
WY: CASPER,01/01/2023 07:12:00,106.00,2888.00,1772.00,465.00,278.00,154.00,214.00,112.00,44.00,APPROVED
WY: CASPER,01/01/2023 08:12:00,105.00,2890.00,1787.00,468.00,281.00,158.00,215.00,112.00,43.00,APPROVED
WY: CASPER,01/01/2023 09:12:00,106.00,2941.00,1833.00,479.00,291.00,161.00,222.00,113.00,46.00,APPROVED
WY: CASPER,01/01/2023 10:13:00,110.00,3028.00,1929.00,494.00,311.00,171.00,233.00,122.00,48.00,APPROVED
WY: CASPER,01/01/2023 11:13:00,110.00,3027.00,1939.00,506.00,316.00,175.00,235.00,121.00,48.00,APPROVED
WY: CASPER,01/01/2023 12:13:00,108.00,3119.00,1998.00,512.00,327.00,177.00,242.00,124.00,51.00,APPROVED
WY: CASPER,01/01/2023 13:13:00,118.00,,,,,,,,,APPROVED
WY: CASPER,01/01/2023 14:14:00,127.00,,,,,,,,,APPROVED
WY: CASPER,01/01/2023 15:14:00,117.00,,,,,,,,,APPROVED
WY: CASPER,01/01/2023 16:14:00,117.00,,,,,,,,,APPROVED
WY: CASPER,01/01/2023 17:14:00,126.00,,,,,,,,,APPROVED
WY: CASPER,01/01/2023 18:14:00,125.00,,,,,,,,,APPROVED
WY: CASPER,01/01/2023 19:15:00,143.00,,,,,,,,,APPROVED
WY: CASPER,01/01/2023 20:15:00,148.00,,,,,,,,,APPROVED
WY: CASPER,01/01/2023 21:15:00,130.00,,,,,,,,,APPROVED
WY: CASPER,01/01/2023 22:15:00,116.00,,,,,,,,,APPROVED
WY: CASPER,01/01/2023 23:15:00,107.00,2805.00,1700.00,451.00,270.00,156.00,204.00,106.00,43.00,APPROVED
WY: CASPER,01/02/2023 00:16:00,101.00,2652.00,1579.00,424.00,249.00,145.00,192.00,102.00,41.00,APPROVED
WY: CASPER,01/02/2023 02:16:00,98.00,2684.00,1606.00,422.00,246.00,143.00,190.00,102.00,40.00,APPROVED
